method,n,dft_verified,generation_success_count,generation_success_rate,relaxation_success_rate,avg_energy_above_hull_per_atom_ev,e_hull_median_ev_per_atom,e_hull_p75_ev_per_atom,e_hull_p90_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,frac_stable,frac_novel_unique_stable,frac_novel,frac_unique,avg_rmsd_from_relaxation_a,rmsd_median_a,rmsd_p75_a,rmsd_p90_a,rmsd_p95_a,rmsd_max_a,pre_relaxation_atomic_force_norm_mean_ev_per_a,pre_relaxation_atomic_force_norm_p95_ev_per_a,pre_relaxation_atomic_force_norm_p99_ev_per_a,pre_relaxation_atomic_force_norm_max_ev_per_a,pre_relaxation_structure_mean_force_mean_ev_per_a,pre_relaxation_structure_mean_force_median_ev_per_a,pre_relaxation_structure_mean_force_p95_ev_per_a,pre_relaxation_structure_max_force_mean_ev_per_a,pre_relaxation_structure_max_force_median_ev_per_a,pre_relaxation_structure_max_force_p95_ev_per_a,pre_relaxation_structure_max_force_p99_ev_per_a,pre_relaxation_structure_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p75,relaxation_steps_p90,relaxation_steps_p95,relaxation_steps_p99,relaxation_steps_max,generation_seconds_mean,generation_seconds_median,generation_seconds_p95,delta_e_hull_vs_c0_ev_per_atom,delta_stable_vs_c0,delta_nus_vs_c0,delta_novel_vs_c0,delta_unique_vs_c0,delta_rmsd_vs_c0_a,delta_atomic_force_mean_vs_c0_ev_per_a,delta_structure_max_force_mean_vs_c0_ev_per_a,delta_relaxation_steps_mean_vs_c0
C0,32,False,32,1.0,1.0,0.1318584969063746,0.08651368488806144,0.1901175853171284,0.2975395512654457,0.3128749841612184,0.46878532372558546,0.59375,0.3125,0.6875,1.0,0.09477097590974956,0.03369880030939408,0.05345389203089256,0.15575623958946405,0.3385900848819978,1.3314971119058996,0.26434846990062594,0.9723758986078748,1.5230744561477108,2.1414681936850832,0.2023108620318875,0.11456126072290146,0.7482527118953779,0.46767704628747386,0.2517253681170076,1.7415665535329636,2.1055109397869094,2.1414681936850832,51.96875,32.0,51.25,133.00000000000006,205.25,212.83,215,115.88139876542846,115.66069651953876,121.16261906209402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1,32,False,32,1.0,1.0,0.10237888680351315,0.07252586100520908,0.1193927428687056,0.2260244894184727,0.3043276282924813,0.3218304605192124,0.6875,0.4375,0.65625,1.0,0.019938805343739336,0.013693375536381138,0.025541441830445134,0.04345864133989556,0.0580865565554591,0.13712591121072662,0.11816628242468065,0.3811319819656293,0.6560438732279057,0.8626515901921081,0.08886822169237465,0.055700033529578544,0.24862677571581843,0.18387342339726634,0.10520010915948061,0.5695461461556609,0.8141106313323638,0.8626515901921081,25.96875,17.5,40.75,54.800000000000004,66.69999999999999,99.67000000000006,113,117.20524619599746,116.40695456252433,123.20011543105356,-0.02947961010286146,0.09375,0.125,-0.03125,0.0,-0.07483217056601023,-0.1461821874759453,-0.28380362289020755,-26.0
M2,32,False,32,1.0,1.0,0.0819031304759565,0.0628743180571294,0.1194523302812498,0.15530187586092217,0.21561476469391563,0.22825023170696035,0.65625,0.3125,0.5625,0.96875,0.05314676982671668,0.012100057965918995,0.030098376467404153,0.061883667549900004,0.20687172527010994,0.8071452934456428,0.11441586189141895,0.35278462473155175,0.8621263247442928,0.9981231082765284,0.08928607790350895,0.07248510702545832,0.18040665678856682,0.1798093058913329,0.12348220481721513,0.567560612544215,0.8843173640128906,0.9981231082765284,27.09375,19.5,32.0,61.800000000000004,69.74999999999999,100.77000000000004,111,117.13942114020756,116.37719514302444,123.37854551105994,-0.049955366430418105,0.0625,0.0,-0.125,-0.03125,-0.04162420608303288,-0.149932608009207,-0.28786774039614094,-24.875
