relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
data/innovation1/per_seed_metrics.csv,61748,7a8e9c6c835645e48b3d6734e10c5d6a958ce296142750af56584d318c64fd21,data,innovation1,True,see data/*/source_manifest.json,generated,
data/innovation1/per_seed_metrics.json,208584,ce4b521722ec106bff3fe39be543ca618cfab4548ed2c44ba8ee171052708892,data,innovation1,True,see data/*/source_manifest.json,generated,
data/innovation1/source/A0_official_metrics_per_structure.csv,100261,67661edf112c8593b3cf55c854a0c993017bff8e438e7ca2ff71b84d999ae2e1,data,innovation1,True,see data/*/source_manifest.json,original_copy,
data/innovation1/source/C0_official_metrics_per_structure.csv,100349,57aa48fd04b2d0733a3c9ccb0c04b16844fe8e798c4487bca83ee5f27a08e579,data,innovation1,True,see data/*/source_manifest.json,original_copy,
data/innovation1/source/formal_per_seed_records.csv,90378,4efd49e7cf868769adc62da267e621ccaac70d6d62983ec3a9ff0d1785fcb259,data,innovation1,True,see data/*/source_manifest.json,original_copy,
data/innovation1/source_manifest.json,1634,a586e7c805a2b9260bf04a2fb7029ade3b0340a502c8b39148a1f2a8accfe1e3,data,innovation1,True,see data/*/source_manifest.json,generated,
data/innovation2/per_seed_metrics.csv,92258,01d8cb7877c2c27c78e039f47b87d1dc21e6b36740e01b55e41f6fc050110152,data,innovation2,True,see data/*/source_manifest.json,generated,
data/innovation2/per_seed_metrics.json,255220,278d72c8e1238e601ce2a1f9fcec0f601cc7c56b5ff77fb869d6b6dbd4b1638b,data,innovation2,True,see data/*/source_manifest.json,generated,
data/innovation2/source/C0_official_metrics_per_structure.csv,78040,0bd3617f60c9b36f9e576b016d19d92a7b050993aceeaf718d537e2fb9e8bb61,data,innovation2,True,see data/*/source_manifest.json,original_copy,
data/innovation2/source/E3A_official_metrics_per_structure.csv,79927,2a976ff9a3a9be72bdcc8618a434d505dc41dd0f912fd8ffa38241490ce2e815,data,innovation2,True,see data/*/source_manifest.json,original_copy,
