relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
reports/leakage_diagnostic/final_summary.json,14290,c5002bdd2d8b1b92bc28c552e43dc0bb81a5cb011f0670c2f55fce093beef0b4,report,leakage_diagnostic,False,,generated,
reports/leakage_diagnostic/leakage_effect.json,951,f1cdebd7034d6bbc76fa4b0bf9bf284a0fa27a53457e7cdc10a126ef4c85c364,report,leakage_diagnostic,False,,generated,
reports/replication/final_report.md,5422,01a3b7db340a4a8b36a5464967388e5af4a31624b76aaadfb28d3fbdfb17c0c4,report,archive_wide,False,,generated,
reports/replication/final_summary.json,16847,183614c82f11e21b88bea0c225968bd0496dc6d93029e135773f475850db14d3,report,archive_wide,False,,generated,
reports/replication/paired_statistics.csv,2547,99bc0147794504fa82d24acbab3f58b2a8a22cda85429b0388d2aa66c50b972a,report,archive_wide,False,,generated,
requirements-analysis.txt,78,bac6197255d6495bbdf4396599ca08108dfd7c7282b093910cdb5be9a6a5af49,documentation,archive_wide,True,,generated,
tables/csv/recomputed_statistics.csv,2066,a25079b2aff10f69d5be0a4f457192526e46cc3ab8c2a458cf416438a75f6195,result_table,archive_wide,True,,generated,
tables/csv/table_compatibility.csv,264,d0f6ee0ffcaf3cf4d4c09c0213137f5d78b187ad14e82f9a27b66c239715ba19,result_table,archive_wide,True,,generated,
tables/csv/table_innovation1.csv,254,d6f2a56a694283cb9e70e25365ea0ea06c628a2312b1a5d8a77bd6b9d06980de,result_table,innovation1,True,,generated,
tables/csv/table_innovation2.csv,263,943515ab0fc9f07cc0b027a08c70ca980514fd6b93481bb96bba0b78725be467,result_table,innovation2,True,,generated,
tables/csv/table_leakage_diagnostic.csv,373,6359ab26af990bdb0e7d1afa59bbdb017fd1ac676a4bdc7e9e5d6f5961f3cb50,result_table,leakage_diagnostic,True,,generated,
tables/csv/table_replication.csv,263,de5b7b3b6eab9d3fc1ab3affdd26cb70a5cfd7fdb965f1d611f6ad857e433ee2,result_table,archive_wide,True,,generated,
tables/latex/table_compatibility.tex,332,aff73edbe22f1b3c5585acf3973573b09f282a1ab411636e0c5ec050b113fffc,result_table,archive_wide,True,,generated,
tables/latex/table_innovation1.tex,326,25060abcf019b191d6287bf506f4fe43bad2ec8a48862ac2f95579fc58b056e3,result_table,innovation1,True,,generated,
tables/latex/table_innovation2.tex,313,fc7438f7f5467f352383aa344b3c32d6d23da2ba0016521fb7144a7e685876d2,result_table,innovation2,True,,generated,
tables/latex/table_leakage_diagnostic.tex,466,a08d6cce8f2dd5a0c1cb7fceb48915e0ea2e11603d98bb7ae6e6cd5dfd0bdf38,result_table,leakage_diagnostic,True,,generated,
tables/latex/table_replication.tex,328,28c22fc4e161d9969889aff727baed74c99c5602ef5feed1c25119d500631aa7,result_table,archive_wide,True,,generated,
tables/markdown/table_compatibility.md,510,db5a06227702ff709807b16b8acaa2958bffe63ec4e3249748dcac0c46f2ca32,result_table,archive_wide,True,,generated,
tables/markdown/table_innovation1.md,390,b7620e879d25ed2a58bf0d50f292f5712174adcc8233c1b164b5adcf2f49a0b9,result_table,innovation1,True,,generated,
tables/markdown/table_innovation2.md,435,b0927b2c88b76513ac0976db1931378d9fc2126a71bfec86268b01328ac32c2c,result_table,innovation2,True,,generated,
tables/markdown/table_leakage_diagnostic.md,850,8389a58153b37257df653a6e5e8b8c67b5446cfb7fab32a036c629bfd7df984c,result_table,leakage_diagnostic,True,,generated,
tables/markdown/table_replication.md,504,1efa7b133589151620d4c7944a1f7e6c16597ef4e301243a7afb63ce2e855ac7,result_table,archive_wide,True,,generated,
