method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_median_ev_per_a,structure_max_force_p95_ev_per_a,structure_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,relaxation_steps_gt100_count,relaxation_steps_gt200_count,relaxation_steps_gt400_count,generation_seconds_mean
C0,8,1.0,1.0,False,0.10611330909451888,0.11913056152913404,0.2131698579720563,0.2555371696469111,0.375,0.375,1.0,1.0,0.15722431997923428,0.08329322538664162,0.4574976012743445,0.4919447396585788,0.23635455055888446,0.4796741624659897,0.3880555330817599,1.0866046581370499,1.3608700799749514,112.0,52.5,336.29999999999995,372,2,2,0,116.17346263310174
FT0,8,1.0,1.0,False,0.10999776277275397,0.08923194092661113,0.21947481410574873,0.22999588238699786,0.625,0.125,0.5,1.0,0.053439152503574235,0.04714109934809142,0.11063009203712816,0.11337223480533323,0.1860332218850673,0.4350599760438701,0.38101305569767974,0.9610954814284437,1.0081375123888447,45.125,37.5,70.44999999999999,75,0,0,0,117.66241515162983
TCL,8,1.0,1.0,False,0.10046243108093345,0.09326976348269689,0.17514662617378543,0.18009571691189485,0.625,0.375,0.75,1.0,0.03370190095899386,0.020092133376305395,0.07714729511626928,0.08180776873600516,0.10233824264013086,0.19265105858551135,0.11208023021155046,0.41257003061903835,0.4372168545426324,36.0,32.0,56.55,59,0,0,0,117.06339470981038
DML,8,1.0,1.0,False,0.16762978902872272,0.1364767146070882,0.32507099799715083,0.3251960824805913,0.375,0.125,0.75,1.0,0.053178521061999606,0.03898400535391592,0.14019884365661742,0.16367996785375782,0.22399348388570728,0.42226845668306473,0.3768784717466568,0.851546619747908,0.9066926140539726,50.25,37.0,111.49999999999999,122,1,0,0,116.70198425801937
