method,pre_relax_max_force,pre_relax_max_force_median,convergence_rate,relaxation_steps_mean,relaxation_steps_median,rmsd,ehull,ehull_median,ehull_coverage,stable,metastable,nus,msun,novel,unique,composition_validity,structure_validity,relaxation_failure_rate,short_bond_rate,abnormal_cell_rate,relaxation_elapsed_mean,ehull_all_available
A0,0.21730158680797604,0.1028512876702643,1.0,44.75,23.0,0.06969554401717963,0.1227034765141656,0.1007408984386417,1.0,0.5,0.796875,0.265625,0.453125,0.65625,1.0,0.84375,1.0,0.0,0.0,0.0,1.3181568665368104,0.1227034765141656
A0+E3-G,0.1584162688975449,0.0912627609710765,1.0,43.46875,24.5,0.06835385349762219,0.12269321300283549,0.1007204694632184,1.0,0.5,0.796875,0.265625,0.453125,0.65625,1.0,0.84375,1.0,0.0,0.0,0.0,1.2549242868481087,0.12269321300283549
