policy_id,policy_kind,g_atomic,g_pos,g_cell,start,duration,policy_complexity,n,property_mae_mean,property_mae_median,mean_property_gain,median_property_gain,relative_mean_gain,relative_median_gain,wins,ties,losses,property_harm_rate,p75_positive_degradation,p90_positive_degradation,worst_quartile_mean_degradation,e_hull_mean,stable_rate,nus_rate,validity_rate,novel_rate,unique_rate,stable_drop,nus_drop,validity_drop,e_hull_worsening,guardrail_margin,guardrail_pass,e_hull_harm_rate,stable_loss_rate,nus_loss_rate,validity_loss_rate,global_gain,benefit_retention,pareto_front
A19,constant,1.9,2.0,2.0,-1,1000,1,48,0.033746099060060174,0.029931683923877947,0.0013964550696229986,0.0,0.03973686899562836,0.0,22,4,22,0.08333333333333333,3.4903389657670036e-09,9.108756730130692e-09,0.006647318226791034,0.10203141055557476,0.6041666666666666,0.3125,1.0,0.6666666666666666,1.0,0.0,0.041666666666666685,0.0,0.0006138157943261918,0.16666666666666635,True,0.0625,0.041666666666666664,0.0625,0.0,0.002199004321970886,0.6350397112323124,True
APulse,pulse,1.9,2.0,2.0,400,100,2,48,0.03559824295509701,0.03231887822193915,-0.0004556888254138418,-1.122922484164679e-10,-0.01296686699925843,-3.634839473408936e-09,20,3,25,0.020833333333333332,3.333678926225464e-09,1.0484622369952295e-08,0.0021655379019530087,0.1032712728159248,0.6041666666666666,0.3541666666666667,1.0,0.6875,1.0,0.0,0.0,0.0,0.0018536780546762333,0.8146321945323767,True,0.020833333333333332,0.0,0.0,0.0,0.002199004321970886,-0.20722507039250598,True
