policy_id,policy_kind,g_atomic,g_pos,g_cell,start,duration,policy_complexity,n,property_mae_mean,property_mae_median,mean_property_gain,median_property_gain,relative_mean_gain,relative_median_gain,wins,ties,losses,property_harm_rate,p75_positive_degradation,p90_positive_degradation,worst_quartile_mean_degradation,e_hull_mean,stable_rate,nus_rate,validity_rate,novel_rate,unique_rate,stable_drop,nus_drop,validity_drop,e_hull_worsening,guardrail_margin,guardrail_pass,e_hull_harm_rate,stable_loss_rate,nus_loss_rate,validity_loss_rate,global_gain,benefit_retention,quality_improvements_vs_G19,quality_improvements_vs_GPulse,tradeoff_baseline_pass,calibration_eligible
APulse,pulse,1.9,2.0,2.0,400,100,2,48,0.03559824295509701,0.03231887822193915,-0.0004556888254138418,-1.122922484164679e-10,-0.01296686699925843,-3.634839473408936e-09,20,3,25,0.020833333333333332,3.333678926225464e-09,1.0484622369952295e-08,0.0021655379019530087,0.1032712728159248,0.6041666666666666,0.3541666666666667,1.0,0.6875,1.0,0.0,0.0,0.0,0.0018536780546762333,0.8146321945323767,True,0.020833333333333332,0.0,0.0,0.0,0.002199004321970886,-0.20722507039250598,e_hull;stable;nus,e_hull;stable;nus,True,False
A19,constant,1.9,2.0,2.0,-1,1000,1,48,0.033746099060060174,0.029931683923877947,0.0013964550696229986,0.0,0.03973686899562836,0.0,22,4,22,0.08333333333333333,3.4903389657670036e-09,9.108756730130692e-09,0.006647318226791034,0.10203141055557476,0.6041666666666666,0.3125,1.0,0.6666666666666666,1.0,0.0,0.041666666666666685,0.0,0.0006138157943261918,0.16666666666666635,True,0.0625,0.041666666666666664,0.0625,0.0,0.002199004321970886,0.6350397112323124,e_hull;stable;nus,e_hull;stable;nus,True,False
PPulse,pulse,2.0,1.9,2.0,400,100,2,48,0.03651716477808719,0.030554922511499653,-0.0013746106484040204,0.0014414461975233968,-0.03911527441435894,0.04665883541775163,28,0,20,0.2916666666666667,0.006217516059139599,0.0450989286075135,0.032911977273191666,0.11284268292326859,0.6041666666666666,0.2916666666666667,1.0,0.6458333333333334,1.0,0.0,0.0625,0.0,0.011425088162020022,-0.24999999999999994,False,0.2916666666666667,0.16666666666666666,0.14583333333333334,0.0,0.002199004321970886,-0.6251059330215448,e_hull;stable;nus,e_hull;stable,True,False
AC19,constant,1.9,2.0,1.9,-1,1000,2,48,0.038842133642453903,0.0322131169995236,-0.0036995795127707336,-0.0019780994132656445,-0.10527349546417522,-0.06403001036187801,22,0,26,0.5,0.023845420371392,0.04837341538250463,0.044582320958730416,0.11605663327629834,0.5625,0.3541666666666667,1.0,0.7291666666666666,1.0,0.04166666666666663,0.0,0.0,0.014639038515049774,-0.4639038515049773,False,0.4166666666666667,0.2916666666666667,0.1875,0.0,0.002199004321970886,-1.682388468184063,e_hull;stable;nus,e_hull;stable;nus,True,False
C19,constant,2.0,2.0,1.9,-1,1000,1,48,0.039556951057957535,0.0340452102188146,-0.004414396928274367,-0.001978092805904944,-0.1256140038081565,-0.06402979648517836,22,0,26,0.5,0.025792476354321074,0.047387484852727375,0.045522654431927156,0.10344508133332837,0.5208333333333334,0.3333333333333333,1.0,0.75,1.0,0.08333333333333326,0.02083333333333337,0.0,0.002027486572079809,-0.6666666666666651,False,0.4166666666666667,0.2916666666666667,0.1875,0.0,0.002199004321970886,-2.007452593052617,e_hull;stable;nus,e_hull;nus,True,False
AP19,constant,1.9,1.9,2.0,-1,1000,2,48,0.035132345751215266,0.03232954921888715,1.0208378467906442e-05,-0.00042690906949784634,0.00029048481878225037,-0.013818816162732419,22,0,26,0.4583333333333333,0.015922645728087177,0.03314278163011769,0.036113653353906636,0.1271270099372363,0.6041666666666666,0.2708333333333333,1.0,0.6458333333333334,1.0,0.0,0.08333333333333337,0.0,0.025709415175987738,-1.5709415175987735,False,0.375,0.22916666666666666,0.2708333333333333,0.0,0.002199004321970886,0.004642273035078462,e_hull;stable;nus,e_hull;stable,True,False
CPulse,pulse,2.0,2.0,1.9,400,100,2,48,0.034387901149827045,0.023204374298218748,0.0007546529798561258,5.1042446355752114e-05,0.021474050436724172,0.0016522164392429898,26,0,22,0.3333333333333333,0.004432043647856629,0.022112815084459697,0.028729222994452214,0.12828324441477923,0.5833333333333334,0.2916666666666667,1.0,0.625,1.0,0.02083333333333326,0.0625,0.0,0.026865649653530665,-1.6865649653530663,False,0.3541666666666667,0.16666666666666666,0.125,0.0,0.002199004321970886,0.3431793982013452,e_hull;stable;nus,e_hull;stable,True,False
P19,constant,2.0,1.9,2.0,-1,1000,1,48,0.03715530515440496,0.0303429873874314,-0.0020127510247217907,-0.0005957602033162483,-0.057273896976706075,-0.019284436229905055,21,0,27,0.4791666666666667,0.0207465215149791,0.04783522954485155,0.042376346918561215,0.13269179682879517,0.6041666666666666,0.25,1.0,0.625,1.0,0.0,0.10416666666666669,0.0,0.03127420206754661,-2.1274202067546604,False,0.3541666666666667,0.22916666666666666,0.25,0.0,0.002199004321970886,-0.9153010772247308,e_hull;stable;nus,stable,True,False
PC19,constant,2.0,1.9,1.9,-1,1000,2,48,0.034149432845526684,0.02640231961950015,0.0009931212841564902,0.0062846261366074525,0.02825979240130557,0.20342995602186378,28,0,20,0.3541666666666667,0.011592679509306475,0.04015060427499569,0.03894039871501331,0.15927736951537788,0.4583333333333333,0.20833333333333334,1.0,0.6875,1.0,0.14583333333333331,0.14583333333333334,0.0,0.05785977475412932,-4.785977475412931,False,0.4791666666666667,0.2708333333333333,0.22916666666666666,0.0,0.002199004321970886,0.45162316155267596,nus,,False,False
