step,objective,raw_loss,configured_weighted_loss,balance_scale,balanced_weighted_loss,raw_configured_gradient_l2,balanced_gradient_l2,gradient_over_base,cosine_vs_base,t_low_mean,t_high_mean
1,base,0.2260577231645584,0.2260577231645584,1.0,0.2260577231645584,0.6455872034179182,0.6455872034179182,1.0,1.0,0.2572062611579895,0.7946456074714661
1,atomic_tcl,2.3748972415924072,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,position_tcl,0.3172781467437744,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,position_anchor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,cell_anchor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
25,base,0.23903566598892212,0.23903566598892212,1.0,0.23903566598892212,0.2572981735464804,0.2572981735464804,1.0,1.0,0.2726503014564514,0.758704662322998
25,atomic_tcl,1.7869281768798828,0.014439824037253857,1.0,0.014439824037253857,0.016977956667576056,0.016977956667576056,0.06598553123622941,0.4335125388117249,0.2726503014564514,0.758704662322998
25,position_tcl,0.3032380938529968,0.0024504088796675205,1.0,0.0024504088796675205,0.0023200246007836875,0.0023200246007836875,0.009016871627207955,0.9013550117572798,0.2726503014564514,0.758704662322998
25,position_anchor,0.002087244763970375,2.7093603421235457e-05,1.0,2.7093603421235457e-05,0.001384547023889559,0.001384547023889559,0.0053810993090452055,-0.31103852739776955,0.2726503014564514,0.758704662322998
25,cell_anchor,0.0002140263095498085,1.7434211940781097e-06,1.0,1.7434211940781097e-06,0.0001500759532282372,0.0001500759532282372,0.0005832764032470922,-0.136697644545492,0.2726503014564514,0.758704662322998
50,base,0.32835909724235535,0.32835909724235535,1.0,0.32835909724235535,0.17991144725094493,0.17991144725094493,1.0,1.0,0.2230817675590515,0.735301673412323
50,atomic_tcl,1.6462763547897339,0.02716078795492649,1.0,0.02716078795492649,0.026183437381960547,0.026183437381960547,0.14553513843640667,0.48457692883342984,0.2230817675590515,0.735301673412323
50,position_tcl,0.5582890510559082,0.009210829623043537,1.0,0.009210829623043537,0.002237835295521348,0.002237835295521348,0.012438537567873376,0.6052890295130354,0.2230817675590515,0.735301673412323
50,position_anchor,0.0009316504001617432,2.5481873308308423e-05,1.0,2.5481873308308423e-05,0.0008746896821694443,0.0008746896821694443,0.004861778922546299,-0.3362163144617284,0.2230817675590515,0.735301673412323
50,cell_anchor,0.00022879250172991306,5.3165617828199174e-06,1.0,5.3165617828199174e-06,0.0008794299607495257,0.0008794299607495257,0.004888126765624174,-0.11079627537880254,0.2230817675590515,0.735301673412323
75,base,0.29805824160575867,0.29805824160575867,1.0,0.29805824160575867,0.15413709830877093,0.15413709830877093,1.0,1.0,0.2938028573989868,0.7647175788879395
75,atomic_tcl,1.9528698921203613,0.0486573651432991,1.0,0.0486573651432991,0.04293557361594899,0.04293557361594899,0.27855444333031026,0.4260706760001959,0.2938028573989868,0.7647175788879395
75,position_tcl,0.2927633821964264,0.007294441573321819,1.0,0.007294441573321819,0.0025517404346151796,0.0025517404346151796,0.016555005009264386,0.759452315665984,0.2938028573989868,0.7647175788879395
75,position_anchor,0.001098928041756153,4.49371655122377e-05,1.0,4.49371655122377e-05,0.0013569048121727001,0.0013569048121727001,0.008803233141540771,-0.34068126441917057,0.2938028573989868,0.7647175788879395
75,cell_anchor,0.0001835727016441524,5.5404730119335e-06,1.0,5.5404730119335e-06,0.000632551873445755,0.000632551873445755,0.004103826271457458,0.04761642801755097,0.2938028573989868,0.7647175788879395
100,base,0.24675554037094116,0.24675554037094116,1.0,0.24675554037094116,0.18950019961277215,0.18950019961277215,1.0,1.0,0.3178389072418213,0.8194611072540283
100,atomic_tcl,2.7158215045928955,0.09052738547325134,1.0,0.09052738547325134,0.11592345085751984,0.11592345085751984,0.6117326055297025,0.7502016854206575,0.3178389072418213,0.8194611072540283
100,position_tcl,0.43620580434799194,0.014540194533765316,1.0,0.014540194533765316,0.0003333144590030898,0.0003333144590030898,0.0017589134981608994,-0.41300012901310307,0.3178389072418213,0.8194611072540283
100,position_anchor,0.0009484657202847302,3.8965605199337006e-05,1.0,3.8965605199337006e-05,0.001530090456876783,0.001530090456876783,0.008074347467725075,0.349588377560863,0.3178389072418213,0.8194611072540283
100,cell_anchor,0.00011647351493593305,3.4014151424344163e-06,1.0,3.4014151424344163e-06,0.00014536459170832916,0.00014536459170832916,0.0007670946627252613,0.27707155224771585,0.3178389072418213,0.8194611072540283
125,base,0.2778574228286743,0.2778574228286743,1.0,0.2778574228286743,0.16478845887282206,0.16478845887282206,1.0,1.0,0.26738137006759644,0.7114568948745728
125,atomic_tcl,2.023561477661133,0.06745205074548721,1.0,0.06745205074548721,0.07807052748077946,0.07807052748077946,0.4737621069751708,0.5194368217801787,0.26738137006759644,0.7114568948745728
125,position_tcl,0.3366393744945526,0.011221312917768955,1.0,0.011221312917768955,0.0036430949963507622,0.0036430949963507622,0.02210770718574639,0.7198222876496628,0.26738137006759644,0.7114568948745728
125,position_anchor,0.0006273628678172827,3.242147795390338e-05,1.0,3.242147795390338e-05,0.0011630024228058843,0.0011630024228058843,0.0070575477843593925,0.06692701365800742,0.26738137006759644,0.7114568948745728
125,cell_anchor,0.0001735544065013528,6.902814220666187e-06,1.0,6.902814220666187e-06,0.0005795623064431132,0.0005795623064431132,0.0035170078681929966,0.22466426204006706,0.26738137006759644,0.7114568948745728
