atomic_numbers_unchanged,batch_size,config,converged,elapsed_seconds,family,finished_at,generation_summary,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_hash,output_path,pid,precision,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,generation_success,generation_elapsed_seconds,generation_composition_valid,generation_structure_valid,initial_state_hash,minimum_distance_angstrom,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05,metastable_le_0_2,nus,msun_le_0_2
True,4,C0_B4,True,1.398851817997638,quality,2026-07-27T14:29:40+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24087/summary.json,-39.89044952392578,-4.986306190490723,0.6777689768576446,0.0403881636443402,ea216ae164a9f0ddd62fcd150892d74114c6349a6fdea926a28f2f49f0f6a3d6,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24087/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24087,ec044b924ecf173b8a63446fe329e762ed04da3e648801652297675c3bc99974,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24087/relaxed_structure.extxyz,1455385,FP32,7,48,-40.00050735473633,-5.000063419342041,0.0483640879392623,24087,2026-07-27T14:29:39+08:00,success,quality_C0_B4_24087,True,20.561470630491385,True,True,33141290a4f4d5efcccaf40a8b29ab4a74565d70b5952c7a121b3d92b45f26f1,1.866984568054664,0.3931920189352684,0.0565467711027498,False,True,True,True,True,0.0003099695228662,0.0996900304771337,False,False,False,False,False,False
True,4,C0_B4,True,1.2290110400062986,quality,2026-07-27T14:29:36+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24088/summary.json,-49.5830307006836,-7.083290100097656,0.4757177001327084,0.0235231409099657,9e392ac1c8391f5fde7cb9c01857af2d140d05df6166ae9e269baedc00ca1fcf,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24088/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24088,cf4fd1910340cb77e8b30c5951b869534458c4d43e0f1c17dae08ee14f4d761e,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24088/relaxed_structure.extxyz,1455386,FP32,8,39,-49.61333465576172,-7.087619236537388,0.0487219244241714,24088,2026-07-27T14:29:35+08:00,success,quality_C0_B4_24088,True,21.485462551994715,True,True,85f2edb72e41a1d0d958e1decc69189f65c0454c823d6ccab1ca2b1459aeb759,1.962360957064026,0.1920472357680029,0.0198119979085892,False,True,True,True,True,0.0812406815837535,0.0187593184162465,False,True,True,True,False,True
True,4,C0_B4,True,12.442255578003824,quality,2026-07-27T14:30:02+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24089/summary.json,-141.9137420654297,-7.0956871032714846,1.574027013197518,0.0144630964281241,515aef837924cd97afd0f6e01bd1d6b166538523ce2a6c00cb5d81e609711f40,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24089/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24089,80d8ab5357d4205bb7abc0f19e4ae7d60f9ce7ed3337c8b23e3704a88c7556f8,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24089/relaxed_structure.extxyz,1455387,FP32,9,436,-142.44667053222656,-7.122333526611328,0.0499082505702972,24089,2026-07-27T14:29:49+08:00,success,quality_C0_B4_24089,True,22.035952090242063,True,True,5d6b8ef65861364282287eba73cc2fe548ec6f55c2ffd532044042cbd44ac289,1.1311262991150517,0.293129160514276,0.2215907316842784,False,True,True,True,True,0.001766425370566,0.0982335746294339,False,False,False,False,False,False
True,4,C0_B4,True,0.4624617350054905,quality,2026-07-27T14:29:41+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24090/summary.json,-15.251821517944336,-1.906477689743042,0.0974795682743658,0.004804357920094,3e748934be1d9f28009dd8349d655ff50b02c8939fd01caf1a8ed5c09fce250a,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24090/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24090,e0c59c831b1edf8a1899aa438fcef8f8c55b976d1b293f0a1e2e1df4961aa9b6,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24090/relaxed_structure.extxyz,1455388,FP32,10,15,-15.261286735534668,-1.9076608419418333,0.0326040051877498,24090,2026-07-27T14:29:40+08:00,success,quality_C0_B4_24090,True,21.358680862002075,True,True,79ea406d1d2228906174315e6192e2ee3612dae9f379f2a3773b31ddb15b7241,2.908341993269745,0.0724582019503148,0.0150044907362479,True,True,True,False,True,0.0002035571344686,0.0997964428655313,False,False,False,True,False,False
True,4,C0_B4,True,2.612197373993695,quality,2026-07-27T14:29:53+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24091/summary.json,-86.69123077392578,-4.816179487440321,0.2376258966824113,0.013267001055425,59d01086512532257a3598d68cf955a5ee817acb862c4cf63db8093ea7c05b95,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24091/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24091,441f0382f72886954be1848c183e184e540a2db548d81add65b79d02771d03bd,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24091/relaxed_structure.extxyz,1455389,FP32,11,94,-86.83151245117188,-4.823972913953993,0.0464868396520614,24091,2026-07-27T14:29:50+08:00,success,quality_C0_B4_24091,True,21.31228040800488,True,True,627e9563447b1d567e834d7c15ae61dca4902f5867d27d4cade4cfd8488f0acc,2.244067815623985,0.0740132367971675,0.0556259268785094,True,True,True,True,True,0.004543935642375,0.0954560643576249,False,False,False,True,True,True
True,4,C0_B4,True,0.4136203629896045,quality,2026-07-27T14:29:35+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24092/summary.json,-68.11807250976562,-5.676506042480469,0.0426637559039255,0.0013254164369737,173069ad3466ef5023ba80394fb4fdc928c35654906d9ff662e0c388cfe324ae,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24092/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24092,db8ad25a6497106261720db91bd07d374ee5c72cf1340c1cbfed004d1b70b82b,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24092/relaxed_structure.extxyz,1455390,FP32,12,13,-68.1191635131836,-5.676596959431966,0.0367514938116073,24092,2026-07-27T14:29:34+08:00,success,quality_C0_B4_24092,True,21.1686644450092,True,True,b687e96c1bd0fefa66c32f0ffd204721830dddaf0a8650a180cc865d5e1f2f62,2.935916188667655,-0.0008772874139522,0.0021441404157604,True,True,True,False,True,0.0005374482770392,0.0994625517229608,False,False,False,True,False,False
True,4,C0_B4,True,0.0829847789718769,quality,2026-07-27T14:29:35+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24093/summary.json,-19.47349548339844,-4.868373870849609,0.0142974723880606,0.0022207922984836,5d1a9707347ed2f382566d5e6f309ec0a9f833958083628cc69777aba88aa206,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24093/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24093,2fd8c5d603ef6bb5fac693e37ad2472c382a3bc0e2adacdbb6a6b5c5e78ccca5,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24093/relaxed_structure.extxyz,1455391,FP32,13,2,-19.473655700683597,-4.868413925170898,0.0129955261945724,24093,2026-07-27T14:29:35+08:00,success,quality_C0_B4_24093,True,21.642425708501836,True,True,13cd593cf63664819267f4673048e55f1799f738ed4080902aa8b76a73c70faf,2.8805770263451733,0.0558332318337404,0.0011241751429105,True,True,True,False,True,0.0009109634290476,0.0990890365709523,False,False,False,True,False,False
True,4,C0_B4,True,0.2374173399875871,quality,2026-07-27T14:29:33+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24094/summary.json,-15.150736808776855,-3.787684202194214,0.0015577960035812,0.0042630582859594,967cb4973a9976569b6684357a4bc41a875930c2fb795fb02d7687031450fb9a,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24094/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24094,d8d4b256c32b98843fea4d0cdb5517b8cdb0d39cd64ba898a7a3b1a9db04342c,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24094/relaxed_structure.extxyz,1455392,FP32,14,7,-15.15328598022461,-3.788321495056152,0.001304714824073,24094,2026-07-27T14:29:33+08:00,success,quality_C0_B4_24094,True,20.812544006752432,True,True,15c1b7e7fa82608fe32815b876e54d93fc4cd20ac7045862b550f3eb446af13e,3.0326730888753803,0.0251377979972824,0.0005700050175608,True,True,True,False,True,0.0004986380820205,0.0995013619179794,False,False,False,True,False,False
True,4,C0_B4,True,0.4041808600304648,quality,2026-07-27T14:29:39+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24095/summary.json,-15.838643074035645,-1.979830384254456,0.0769993099659601,0.0047156861009752,383d67448ef85c89c689db1b1a9a4c9c1f7db6d635a1575d799084fb9091b8cf,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24095/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24095,348365bd65c31b5d5bae7425a699528cf9244c869828b10c8e0bb50a1fcb2b50,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24095/relaxed_structure.extxyz,1455393,FP32,15,13,-15.86342716217041,-1.9829283952713013,0.0288982316851615,24095,2026-07-27T14:29:39+08:00,success,quality_C0_B4_24095,True,20.561470630491385,False,True,f2bc2df12ee3323ee6369ae6ae8c2667538d84af8f3f523433a85ba7eebf9f90,3.44381185829263,0.0835694623881484,0.0015382507662542,True,False,True,True,True,0.0002538012828026,0.0997461987171973,False,False,False,True,True,True
True,4,C0_B4,True,0.5163880349718966,quality,2026-07-27T14:29:41+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24096/summary.json,-9.484891891479492,-1.053876876831055,0.0489962027619876,0.0017132042114945,e5237ec343da9b17def3d1149fb7533df3209b2792fc6f8e71b1b8214dfdd163,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24096/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24096,efba0a7c97a5d833e1eb89dc1c7c4ef9d0c050603e438ba00257e0ec341242e5,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24096/relaxed_structure.extxyz,1455378,FP32,0,18,-9.52181911468506,-1.057979901631673,0.050663523375988,24096,2026-07-27T14:29:41+08:00,success,quality_C0_B4_24096,True,21.358059807753307,True,True,bf903dbad38b305bd8e5390f5b8194c09950045961304a9c57547a0f5911158d,4.015091756703981,0.044010451084788,0.0052021949398196,True,True,True,True,True,0.0002401822307933,0.0997598177692067,False,False,False,True,True,True
