omitted_seed,atomic_force_ratio,atomic_force_absolute_delta,atomic_force_ratio_ci95_low,atomic_force_ratio_ci95_high,atomic_force_status,max_force_gt1_delta_pp,max_force_gt1_ci95_low,max_force_gt1_ci95_high,max_force_gt1_status,max_force_gt2_delta_pp,max_force_gt2_ci95_low,max_force_gt2_ci95_high,max_force_gt2_status
87019,1.0769552827552829,0.009330958860691,0.586892016031549,1.88766752435264,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87020,1.0760749320141616,0.0092009439419877,0.5851922368286909,1.8885329640228,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87021,1.0818384285813971,0.0098811860371891,0.5907397940250637,1.8960423498958896,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87022,0.980223638209812,-0.0023822739279969,0.5299347419411249,1.7236563965502962,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87023,1.0981847429767426,0.0115469072425647,0.5963245147828059,1.9454480939543677,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87024,1.099420576091994,0.0118088648561753,0.6021776908055029,1.9368500433411888,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87025,1.086226107515954,0.0101564682048223,0.5846255891405122,1.9288441442925937,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87026,1.0805583740835596,0.0096069065910259,0.5846321627069636,1.9083410201746265,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87027,1.0686445479565818,0.0081140848619424,0.5707064673165564,1.9016769256234745,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87028,1.0910933182421485,0.0108365841054929,0.593111364908168,1.9235661191573696,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87029,1.158397419242588,0.0177051733980455,0.634238980189524,2.034205306532097,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87030,1.0630208907416296,0.0076429867037765,0.5765020102014801,1.862893802760412,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
