task_id,stage,config_id,config,seed,gpu,repeat_index,trace,output_dir,status,attempt,failure_reason,started_at,finished_at,return_code,elapsed_seconds
eight_seed_smoke_G1_seed14002_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14002,2,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14002_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:46+08:00,0,69.12729587999638
eight_seed_smoke_G1_seed14003_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14003,3,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14003_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:47+08:00,0,69.41101868700935
eight_seed_smoke_G1_seed14004_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14004,4,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14004_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:48+08:00,0,71.01965138799278
eight_seed_smoke_G1_seed14005_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14005,5,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14005_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:50+08:00,0,72.8667711650487
eight_seed_smoke_G1_seed14006_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14006,6,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14006_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:46+08:00,0,69.05274570599431
eight_seed_smoke_G1_seed14007_rep1,eight_seed_smoke,G1,"{'config_id': 'G1', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.4, 'min_progress': 0.4, 'max_progress': 1.0, 'convergence_threshold': 1.1219068872685298, 'consecutive_stable_steps': 4, 'calibration_interval': 4, 'max_consecutive_skips': 5, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.45, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.13343943612965592, 'atomic_min_stable_steps': 3, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 4, 'calibration_interval_max': 8, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.13, 'probe_estimate': {'scheduled_skips': 1042, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 182, 'estimated_atomic_vetoes': 574, 'budget_used': 1042, 'net_corrector_skips': 1042, 'estimated_corrector_skip_rate': 0.2605, 'estimated_physical_forward_reduction': 0.13025}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14007,7,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G1_seed14007_rep1,success,1,,2026-07-24T17:39:37+08:00,2026-07-24T17:40:46+08:00,0,68.77639487100532
eight_seed_smoke_G2_seed14000_rep1,eight_seed_smoke,G2,"{'config_id': 'G2', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.3, 'min_progress': 0.3, 'max_progress': 1.0, 'convergence_threshold': 1.2916040531399804, 'consecutive_stable_steps': 3, 'calibration_interval': 6, 'max_consecutive_skips': 8, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.6, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.2180201811548675, 'atomic_min_stable_steps': 2, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 6, 'calibration_interval_max': 12, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.21, 'probe_estimate': {'scheduled_skips': 1680, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 175, 'estimated_atomic_vetoes': 263, 'budget_used': 1680, 'net_corrector_skips': 1680, 'estimated_corrector_skip_rate': 0.42, 'estimated_physical_forward_reduction': 0.21}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14000,0,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G2_seed14000_rep1,success,1,,2026-07-24T17:40:52+08:00,2026-07-24T17:42:03+08:00,0,70.84099118900485
eight_seed_smoke_G2_seed14001_rep1,eight_seed_smoke,G2,"{'config_id': 'G2', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.3, 'min_progress': 0.3, 'max_progress': 1.0, 'convergence_threshold': 1.2916040531399804, 'consecutive_stable_steps': 3, 'calibration_interval': 6, 'max_consecutive_skips': 8, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.6, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.2180201811548675, 'atomic_min_stable_steps': 2, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 6, 'calibration_interval_max': 12, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.21, 'probe_estimate': {'scheduled_skips': 1680, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 175, 'estimated_atomic_vetoes': 263, 'budget_used': 1680, 'net_corrector_skips': 1680, 'estimated_corrector_skip_rate': 0.42, 'estimated_physical_forward_reduction': 0.21}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14001,1,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G2_seed14001_rep1,success,1,,2026-07-24T17:40:52+08:00,2026-07-24T17:41:54+08:00,0,62.255623378034215
eight_seed_smoke_G2_seed14002_rep1,eight_seed_smoke,G2,"{'config_id': 'G2', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.3, 'min_progress': 0.3, 'max_progress': 1.0, 'convergence_threshold': 1.2916040531399804, 'consecutive_stable_steps': 3, 'calibration_interval': 6, 'max_consecutive_skips': 8, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.6, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.2180201811548675, 'atomic_min_stable_steps': 2, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 6, 'calibration_interval_max': 12, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.21, 'probe_estimate': {'scheduled_skips': 1680, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 175, 'estimated_atomic_vetoes': 263, 'budget_used': 1680, 'net_corrector_skips': 1680, 'estimated_corrector_skip_rate': 0.42, 'estimated_physical_forward_reduction': 0.21}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14002,2,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G2_seed14002_rep1,success,1,,2026-07-24T17:40:52+08:00,2026-07-24T17:41:58+08:00,0,66.34759272198426
eight_seed_smoke_G2_seed14003_rep1,eight_seed_smoke,G2,"{'config_id': 'G2', 'gating_enabled': True, 'budget_aware_enabled': True, 'warmup_frac': 0.3, 'min_progress': 0.3, 'max_progress': 1.0, 'convergence_threshold': 1.2916040531399804, 'consecutive_stable_steps': 3, 'calibration_interval': 6, 'max_consecutive_skips': 8, 'fallback_threshold': 3.9144905477788186, 'rescue_enabled': True, 'max_skip_ratio': 0.6, 'atomic_veto_enabled': True, 'atomic_stability_threshold': 0.2180201811548675, 'atomic_min_stable_steps': 2, 'adaptive_calibration_enabled': True, 'calibration_interval_min': 6, 'calibration_interval_max': 12, 'field_aggregation': 'all_fields', 'target_physical_forward_reduction': 0.21, 'probe_estimate': {'scheduled_skips': 1680, 'estimated_rescues': 0, 'estimated_fallbacks': 27, 'estimated_calibrations': 175, 'estimated_atomic_vetoes': 263, 'budget_used': 1680, 'net_corrector_skips': 1680, 'estimated_corrector_skip_rate': 0.42, 'estimated_physical_forward_reduction': 0.21}, 'probe_seeds': [14000, 14001, 14002, 14003], 'source_commit': 'f59ebad248c85c7699ee850810cd152607fb5229'}",14003,3,1,off,/data/dxl/results/budget_aware_gating/eight_seed_smoke/eight_seed_smoke_G2_seed14003_rep1,success,1,,2026-07-24T17:40:52+08:00,2026-07-24T17:41:53+08:00,0,61.016258553019725
