loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_diffusion_train_step,loss_repa_alignment_train_step,loss_repa_weighted_train_step,repa_positive_cosine_train_step,epoch,step,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_diffusion_train_epoch,loss_repa_alignment_train_epoch,loss_repa_weighted_train_epoch,repa_positive_cosine_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_diffusion_val,loss_repa_alignment_val,loss_repa_weighted_val,repa_positive_cosine_val
6.52371072769165,2.3831725120544434,0.02332981303334236,0.1453723907470703,0.4070194661617279,6.1166911125183105,6.1166911125183105,0.23174747824668884,0,9,,,,,,,,,,,,,,,,
4.963167190551758,3.061964988708496,0.025832731276750565,0.08295153081417084,0.41498076915740967,4.548186302185059,4.548186302185059,0.4360389709472656,0,19,,,,,,,,,,,,,,,,
4.717395782470703,3.0107522010803223,0.026497235521674156,0.11903335154056549,0.4466058015823364,4.270789623260498,4.270789623260498,0.47192782163619995,0,29,,,,,,,,,,,,,,,,
3.9010589122772217,1.8542780876159668,0.022341206669807434,0.09694704413414001,0.3047160804271698,3.5963425636291504,3.5963425636291504,0.5266190767288208,0,39,,,,,,,,,,,,,,,,
3.915437936782837,2.2333157062530518,0.05308264493942261,0.10832147300243378,0.38473570346832275,3.5307021141052246,3.5307021141052246,0.5373644828796387,0,49,,,,,,,,,,,,,,,,
,,,,,,,,0,52,5.080338954925537,2.6479811668395996,0.031194142997264862,0.11339440196752548,0.40938666462898254,4.670952796936035,4.670952796936035,0.4040343463420868,,,,,,,,
4.326940059661865,2.499201774597168,0.01596158742904663,0.15014322102069855,0.41602498292922974,3.9109151363372803,3.9109151363372803,0.48522135615348816,1,59,,,,,,,,,,,,,,,,
,,,,,,,,1,62,,,,,,,,,3.282837390899658,2.7030439376831055,0.03860028088092804,0.1178644523024559,0.4267691373825073,2.8560683727264404,2.8560683727264404,0.5368403196334839
3.4323086738586426,2.2345473766326904,0.03537287190556526,0.097057044506073,0.3558846712112427,3.0764238834381104,3.0764238834381104,0.5697565674781799,1,69,,,,,,,,,,,,,,,,
4.492257595062256,1.654065489768982,0.014713143929839134,0.19024522602558136,0.3703649342060089,4.12189245223999,4.12189245223999,0.4643310308456421,1,79,,,,,,,,,,,,,,,,
3.9985287189483643,4.323256492614746,0.03296268731355667,0.1274220049381256,0.5927103757858276,3.405818462371826,3.405818462371826,0.5275247097015381,1,89,,,,,,,,,,,,,,,,
4.282384872436523,2.476971387863159,0.028440596535801888,0.15928897261619568,0.4354267120361328,3.8469583988189697,3.8469583988189697,0.4925921857357025,1,99,,,,,,,,,,,,,,,,
,,,,,,,,1,105,3.6413745880126953,2.6235740184783936,0.028380289673805237,0.11215917766094208,0.4028968811035156,3.2384777069091797,3.2384777069091797,0.5525851249694824,,,,,,,,
3.2007174491882324,2.0969724655151367,0.022879714146256447,0.10220947861671448,0.33478644490242004,2.8659310340881348,2.8659310340881348,0.5806471705436707,2,109,,,,,,,,,,,,,,,,
3.7017812728881836,1.5100252628326416,0.016840510070323944,0.14487634599208832,0.3127194046974182,3.38906192779541,3.38906192779541,0.533706545829773,2,119,,,,,,,,,,,,,,,,
,,,,,,,,2,124,,,,,,,,,2.881053924560547,2.7146899700164795,0.03500742465257645,0.11469294875860214,0.4211694002151489,2.4598846435546875,2.4598846435546875,0.5719093084335327
4.057119369506836,2.108928918838501,0.022165536880493164,0.15359294414520264,0.38665133714675903,3.6704680919647217,3.6704680919647217,0.4956127405166626,2,129,,,,,,,,,,,,,,,,
3.146305799484253,1.972212553024292,0.04058951139450073,0.10388561338186264,0.3416963815689087,2.804609775543213,2.804609775543213,0.593071460723877,2,139,,,,,,,,,,,,,,,,
2.8502345085144043,3.4664130210876465,0.0543082095682621,0.07374560832977295,0.4746951162815094,2.3755393028259277,2.3755393028259277,0.6415244340896606,2,149,,,,,,,,,,,,,,,,
,,,,,,,,2,158,3.395986795425415,2.5420918464660645,0.02939656749367714,0.11287286877632141,0.3964785933494568,2.999508857727051,2.999508857727051,0.571740448474884,,,,,,,,
