n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,k,policies,validation_retained,subset_discovery
24,0.025727458813245046,0.01902163302693055,0.07045045181692762,0.75,0.6666666666666666,1.0,0.4583333333333333,1.0,0.20139005743355173,0.03176683520541812,0.375,0.625,1.0,2.0,0.008041264801924446,0.016792971281635354,0.478847052559323,0.23812759089041113,SAFE-A,offline_train,Fixed-K1,1,AC19,True,train_only_exhaustive
12,0.04381200335146592,0.0474849536073841,0.08586071340107075,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.13576787271692106,0.022928958233410634,0.25,0.75,1.0,2.0,0.0004220320250470713,0.019245192777681833,0.02192921785311973,0.009540889079072317,SAFE-A,offline_validation,Fixed-K1,1,AC19,True,train_only_exhaustive
12,0.0260496486868934,0.026656244972486302,0.07473347229399448,0.8333333333333334,0.6666666666666666,1.0,0.5833333333333334,1.0,0.16010180973292637,0.08544928815170454,0.16666666666666666,0.8333333333333334,1.0,2.0,0.002749085224987291,0.01237499028833141,0.22214847534704335,0.09545854458043301,SAFE-A,offline_test,Fixed-K1,1,AC19,True,train_only_exhaustive
24,0.020401500682185627,0.01567730247753735,0.06437530163963577,0.75,0.6666666666666666,1.0,0.4583333333333333,1.0,0.1902751925517804,0.030630898976078208,0.5,0.5,2.0,3.0,0.013367222932983865,0.016792971281635354,0.7960010595386501,0.3958462595541834,SAFE-A,offline_train,Fixed-K2,2,AC19;G19,True,train_only_exhaustive
12,0.04182893165710707,0.0474849536073841,0.08539060494498889,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.12763556803110984,0.11595909546312427,0.3333333333333333,0.6666666666666666,2.0,3.0,0.0024051037194059224,0.019245192777681833,0.12497166160866213,0.05437224297837777,SAFE-A,offline_validation,Fixed-K2,2,AC19;G19,True,train_only_exhaustive
12,0.023329323998928817,0.020318022670721747,0.07927011145584602,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.13365686486940828,0.017701900395447254,0.25,0.75,2.0,3.0,0.005469409912951875,0.01237499028833141,0.4419728650703731,0.18991841550004784,SAFE-A,offline_test,Fixed-K2,2,AC19;G19,True,train_only_exhaustive
24,0.018589447613685122,0.01181929083618245,0.06746375064015771,0.75,0.7083333333333334,1.0,0.5,1.0,0.18985532587006068,0.02853991360314857,0.5833333333333334,0.4166666666666667,3.0,3.6,0.01517927600148437,0.016792971281635354,0.9039065062943502,0.4495069512981408,SAFE-A,offline_train,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
12,0.030354932069189326,0.019711533080334,0.07941726660601411,0.75,0.4166666666666667,1.0,0.25,1.0,0.1170925482874736,0.15038561878123616,0.5833333333333334,0.4166666666666667,3.0,3.6,0.013879103307323667,0.019245192777681833,0.7211724749995185,0.3137652531401888,SAFE-A,offline_validation,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
12,0.0211674166796041,0.02031800607480665,0.07253576590642279,0.8333333333333334,0.5833333333333334,1.0,0.5,1.0,0.20398397192669412,0.02006144869235733,0.4166666666666667,0.5833333333333334,3.0,3.6,0.007631317232276592,0.01237499028833141,0.6166725835310184,0.2649879420264497,SAFE-A,offline_test,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
24,0.017893895948394384,0.01181929083618245,0.06527388117496453,0.75,0.6666666666666666,1.0,0.4583333333333333,1.0,0.32187286684832844,0.057668827603756356,0.7083333333333334,0.2916666666666667,4.0,4.6,0.01587482766677511,0.016792971281635354,0.9453257199418712,0.4701044625697331,SAFE-A,offline_train,Fixed-K4,4,C19;G19;GPulse;P19,True,train_only_exhaustive
