n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,k,hindsight_policy_identity_required,interpretation
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,1.0,1.7666666666666666,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-A,offline_train,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,2.0,2.3666666666666667,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-A,offline_train,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,3.0,2.966666666666667,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-A,offline_train,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,4.0,3.5666666666666664,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-A,offline_train,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.02498884259883116,0.01175122931883785,0.07575084705719969,0.8333333333333334,0.4166666666666667,1.0,0.3333333333333333,1.0,0.12417551743177073,0.06073595003390611,0.6666666666666666,0.3333333333333333,1.0,1.7000000000000002,0.019245192777681833,0.019245192777681833,1.0,0.4350765787898357,SAFE-A,offline_validation,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.02498884259883116,0.01175122931883785,0.07575084705719969,0.8333333333333334,0.4166666666666667,1.0,0.3333333333333333,1.0,0.12417551743177073,0.06073595003390611,0.6666666666666666,0.3333333333333333,2.0,2.3000000000000003,0.019245192777681833,0.019245192777681833,1.0,0.4350765787898357,SAFE-A,offline_validation,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.02498884259883116,0.01175122931883785,0.07575084705719969,0.8333333333333334,0.4166666666666667,1.0,0.3333333333333333,1.0,0.12417551743177073,0.06073595003390611,0.6666666666666666,0.3333333333333333,3.0,2.9,0.019245192777681833,0.019245192777681833,1.0,0.4350765787898357,SAFE-A,offline_validation,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.02498884259883116,0.01175122931883785,0.07575084705719969,0.8333333333333334,0.4166666666666667,1.0,0.3333333333333333,1.0,0.12417551743177073,0.06073595003390611,0.6666666666666666,0.3333333333333333,4.0,3.4999999999999996,0.019245192777681833,0.019245192777681833,1.0,0.4350765787898357,SAFE-A,offline_validation,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.016423743623549283,0.0117971341772295,0.06587803582203132,0.75,0.5833333333333334,1.0,0.5,1.0,0.2141641698156794,0.022542561620983545,0.6666666666666666,0.3333333333333333,1.0,1.7333333333333334,0.01237499028833141,0.01237499028833141,1.0,0.4297060532659807,SAFE-A,offline_test,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.016423743623549283,0.0117971341772295,0.06587803582203132,0.75,0.5833333333333334,1.0,0.5,1.0,0.2141641698156794,0.022542561620983545,0.6666666666666666,0.3333333333333333,2.0,2.3333333333333335,0.01237499028833141,0.01237499028833141,1.0,0.4297060532659807,SAFE-A,offline_test,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
