method,n,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,single_h20_n,time_per_sample,samples_per_hour,speedup,speedup_ci_low,speedup_ci_high,score_calls,second_forward_calls,periodic_exact_calls,atomic_fallback_calls,late_exact_calls,adapter_calls,coverage,forward_reduction,peak_memory_bytes,main_coverage,main_forward_reduction,main_periodic_calls
C0,32,0.11552433038439361,0.59375,0.25,0.59375,1.0,0.08459043684485033,0.18490009562471527,0.5447135193445964,4,113.26307862339308,31.784408862575845,1.0,1.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,321707008.0,0.0,0.0,0.0
V2_Frozen_Atomic75_Late30,32,0.10737237361718573,0.6875,0.3125,0.59375,1.0,0.06381724424701148,0.12960308539542514,0.2614885287003339,4,84.52081106201513,42.59306027433393,1.342121089146989,1.2866437934109969,1.3981085240436841,1357.5,357.5,0.0,57.5,300.0,700.0,0.6425,0.32125,318634368.0,0.59640625,0.298203125,0.0
V3_AnchorK4,32,0.11449702244420601,0.46875,0.21875,0.75,1.0,0.03627863567595216,0.12841835509754368,0.2572678602119747,4,92.23831143579446,39.02933546768036,1.2302579556515663,1.1821602444156336,1.3036203321645565,1480.25,480.25,117.0,63.25,300.0,700.0,0.51975,0.259875,318875776.0,0.48912500000000003,0.24456250000000002,108.34375
V3_AnchorK8,32,0.1051513664247726,0.65625,0.4375,0.78125,1.0,0.022422803857662675,0.11935704990859726,0.26042044304201484,4,87.88875912450021,40.960869579468785,1.2894567420630694,1.270572271316069,1.3203913708004638,1418.25,418.25,62.25,56.0,300.0,700.0,0.58175,0.290875,319874560.0,0.5518125,0.27590625,59.4375
V3_AnchorK16,32,0.11700658209018164,0.59375,0.28125,0.65625,1.0,0.020590862916486978,0.11278597695963433,0.24376966746899698,4,88.80702962557552,40.537331506054976,1.2791895850437065,1.2152884332538876,1.36341666726626,1389.25,389.25,30.25,59.0,300.0,700.0,0.61075,0.305375,318823936.0,0.56940625,0.284703125,27.875
