method,n,p50,p75,p90,p95,p99,max,force_gt1_count,force_gt1,force_gt2_count,force_gt2
C0,32,0.13659225596962252,0.393322804056302,0.6920701138087001,1.2688633905530184,7.133126685181679,9.459702196973183,2,0.0625,1,0.03125
V2_Frozen_Atomic75_Late30,32,0.17667213477159213,0.30479949260460265,0.6820895665745085,0.7112579130376477,1.5679982124876406,1.951370384738497,1,0.03125,0,0.0
V3_AnchorK4,32,0.1990983122899661,0.33329812182083335,0.5260937923777166,0.6588201394140326,1.0763423999990864,1.2074793508895416,1,0.03125,0,0.0
V3_AnchorK8,32,0.1186916054902826,0.25778940680576884,0.6319669931135237,1.0293752724170182,1.5522626610378993,1.5751681331587404,2,0.0625,0,0.0
V3_AnchorK16,32,0.17408390112742095,0.2943367110361257,0.6122663270753808,0.6433205961370196,0.7796223794046028,0.8346555214729904,0,0.0,0,0.0
