method,n,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,single_h20_n,time_per_sample,samples_per_hour,speedup,speedup_ci_low,speedup_ci_high,score_calls,second_forward_calls,periodic_exact_calls,atomic_fallback_calls,late_exact_calls,adapter_calls,coverage,forward_reduction,peak_memory_bytes,main_coverage,main_forward_reduction,main_periodic_calls
C0,64,0.10658571109088864,0.640625,0.34375,0.671875,1.0,0.04263633113020298,0.13433337835446726,0.27301187672313304,16,117.89603219961282,30.535378781066584,1.0,1.0,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,310518976.0,0.0,0.0,0.0
V2_Frozen_Atomic75_Late30,64,0.0970838296357671,0.609375,0.3125,0.6875,1.0,0.08673653291414599,0.12983775731813296,0.261336121558074,16,88.07161936632474,40.87582385678835,1.3451470980831672,1.2915575296690798,1.4002468780591064,1417.4375,417.4375,0.0,117.4375,300.0,700.0,0.5825625000000001,0.29128125000000005,310202848.0,0.582046875,0.2910234375,0.0
V3_AnchorK16,64,0.10538144371292159,0.546875,0.265625,0.703125,1.0,0.07613088673253884,0.15669371474271238,0.3390026035652021,16,91.09690200485056,39.51835815238057,1.2992455590530276,1.2514284924831152,1.3494521808529876,1466.1875,466.1875,25.4375,140.75,300.0,700.0,0.5338125,0.26690625,310843232.0,0.55553125,0.277765625,26.515625
