seed,a0_max_force,a0_e3g_max_force,force_difference,force_relative_change,a0_rmsd,a0_e3g_rmsd,a0_ehull,a0_e3g_ehull,a0_stable,a0_e3g_stable,a0_nus,a0_e3g_nus,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
41000,0.0656282049744411,0.0661103386222025,0.0004821336477613,0.0073464396588199,0.0232657396358465,0.0228951178241224,0.1027267673105285,0.1027197228362446,False,False,False,False,0.8250877384166742,True,False,,0.0024714220696997,True,True
41001,0.1352467672803149,0.1317419151882968,-0.003504852092018,-0.0259144980874394,0.0175094863513838,0.017387556982476,-0.0020278350205504,-0.0020919397365339,True,True,False,False,0.8780240294051863,True,False,,0.0080201396794943,False,True
41002,0.1146158203920665,0.0823665450977058,-0.0322492752943606,-0.2813684462061656,0.0363661595992884,0.0210555875704963,0.0492511987443435,0.0493808170711673,True,True,True,True,0.9442040219331485,True,False,,0.0131385500416829,False,True
41003,0.1203195949172446,0.0768172398412706,-0.043502355075974,-0.3615566949497691,0.0126431604859751,0.0046535629317657,-0.11530727364633,-0.1152699379326254,True,True,True,True,0.9569695634417594,True,False,,0.0119334223001997,False,True
41004,0.0129309155329865,0.0131146484812579,0.0001837329482713,0.014208812036758,0.0008523499013104,0.0008661898212993,0.0348108414937229,0.0348113698292946,True,True,False,False,0.9731955653273368,True,False,,4.098688814668972e-05,True,True
41005,0.4849466081217386,0.2640717475884554,-0.2208748605332832,-0.4554622237461569,0.0170992083043462,0.0115359346636738,0.1614158726424692,0.1614186904321828,False,False,False,False,0.8146837793092754,True,False,,0.0095529129962227,False,True
41006,0.5336487388738993,0.5336484995152467,-2.393586525650804e-07,-4.485322181594073e-07,0.391549766098957,0.3931491301888588,0.220548338596032,0.2204952031328613,False,False,False,False,0.4817767868736481,False,True,,0.0,False,True
41007,0.6977287771270853,0.3144638297134198,-0.3832649474136654,-0.5493036262482507,0.0340186397967645,0.031218485025707,0.2284875778130661,0.2285129379204882,False,False,False,False,0.9422385794343542,True,False,,0.0175908342518653,False,True
41008,0.5586948406702436,0.2506574036533376,-0.3080374370169059,-0.5513518554196167,0.26596555749517,0.26635291651417,0.1295813769309965,0.1294936732261611,False,False,False,False,0.96122799917874,True,False,,0.0170356832716361,False,True
41009,0.2386262296409004,0.2382924848709265,-0.0003337447699739,-0.0013986089059704,0.0168037903065303,0.0174631679504716,0.3240169503859498,0.324015541491093,False,False,False,False,0.6274459662752692,True,False,,0.0086191160494333,False,True
41010,0.0069773092703873,0.0069768027999235,-5.064704638006734e-07,-7.258822049786536e-05,0.0015958556523567,0.0015958521774037,0.1271541368877917,0.1271541368877917,False,False,False,False,0.3775803634791619,False,True,,0.0,False,True
41011,0.065336076289286,0.0840365805390585,0.0187005042497725,0.2862201912305386,0.0018912688906464,0.0031107684948718,0.0335882307043693,0.0335594892492912,True,True,True,True,0.6832903279131476,True,False,,0.0046417546486323,True,True
41012,0.0689045933541055,0.0619144552241361,-0.0069901381299693,-0.1014466204603601,0.002456135534911,0.0024366748915422,0.0097400478030724,0.0097231410647911,True,True,False,False,0.6683729095007442,True,False,,0.0040005333228707,False,True
41013,0.2830281239673538,0.1512705588133595,-0.1317575651539942,-0.465528171925388,0.0159110241014295,0.0126447713652629,0.0987550295667549,0.0987212160901922,True,True,True,True,0.8331042360940717,True,False,,0.0165151617111945,False,True
