metric,preferred_direction,p0_delta,p0_direction,p1_delta,p1_direction,p2_delta,p2_direction,formal_delta,formal_direction,formal_ci95_low,formal_ci95_high,formal_holm_adjusted_pvalue,replicated
e_hull,lower,-0.0095353316918205,down,-0.01779670026529,down,-0.0382170465485367,down,-0.03657621970485929,down,-0.0531096252805184,-0.020384002157595855,0.00024998750062496874,yes_all_four
stable,higher,0.0,flat,28.125,up,14.0625,up,16.40625,up,8.59375,24.21875,,yes_p1_p2_formal
nus,higher,25.0,up,21.875,up,23.4375,up,16.015625,up,9.375,22.65625,0.00024998750062496874,yes_all_four
novel,higher,25.0,up,-9.375,down,10.9375,up,1.5625,up,-5.46875,8.59375,,yes_p2_to_formal_only
unique,higher,0.0,flat,3.125,up,6.25,up,9.765625,up,5.859375,13.671875,,yes_p1_p2_formal
rmsd,lower,-0.0197372515445803,down,-0.0264042993311979,down,-0.0479801341662967,down,-0.0327768352964387,down,-0.06741056399353461,0.0006529377472996038,0.0327983600819959,yes_all_four
atomic_force_mean,lower,-0.0836949792449364,down,-0.0928820763737956,down,-0.1531299719970151,down,-0.11945632330177783,down,-0.17223876590428747,-0.07332742050154296,0.000599970001499925,yes_all_four
structure_max_force,lower,-0.2424089174583587,down,-0.1512213873702444,down,-0.3960606812379783,down,-0.21253949342088474,down,-0.33381506342422307,-0.10062446575693253,0.0012999350032498376,yes_all_four
relaxation_steps,lower,-9.125,down,-22.15625,down,-23.375,down,-19.13671875,down,-38.15244140625,0.08994140624999147,,yes_all_four
