method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,base_checkpoint_sha256,finetuned_checkpoint_sha256,dft_verified
TCL,83007,True,Eu5Pt2,7,111.44992161286063,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83008,True,Cd(Fe2O3)2,11,122.07652233005501,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83008,True,Mg2Mn5B4,11,112.8606839440763,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83008,True,Gd4Fe4O3,11,122.96006595599465,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83009,True,Eu(AlGe)2,5,114.98677702900022,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83009,True,Eu(AlPt)2,5,115.39546381379478,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83009,True,Gd2Al2Pt,5,122.12543776701204,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83010,True,Fe3Co,8,122.8748231891077,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83010,True,MgMn3C4,8,115.44941148301587,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83010,True,Fe5Pt3,8,112.73764209914953,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83011,True,Eu2Mg,12,112.31347123393789,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83011,True,Mn2C,12,113.93129301303998,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83011,True,Eu5Mg3Pt4,12,123.014505547937,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83012,True,SrEu3P,5,114.92704040301032,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83012,True,LiEu2PO,5,115.34649552986957,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83012,True,Sr(LiEu)2,5,114.73286559409462,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83013,True,EuPd2,6,114.84452148387209,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83013,True,Mn2P,6,115.79829023312777,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83013,True,BaEu4Cd,6,115.04616223601624,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83014,True,Eu2MnO6,9,120.59208266902715,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83014,True,Mn7H2,9,113.47411571908742,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83014,True,Eu5(SnO)2,9,118.54306923388503,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83015,True,LiCrFeO4,14,114.7844611229375,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83015,True,Mn9C5,14,116.7728519111406,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83015,True,Mn9C5,14,121.29221819504164,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
