method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,outlier_flags,dft_verified
FT0,83072,Eu(MnP)2,0.45334498967381975,0.0,0.0,1.0,1.0,1.4114334263043005,0.3032326136921451,0.5301817762301005,44,rmsd_gt_0.5,False
FT0,83081,Mn13C6,0.23377837710991045,0.0,0.0,1.0,1.0,0.5644513154238306,1.443773186048897,3.760956167976295,672,rmsd_gt_0.5;max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83084,Mn6FeC6,0.304084832968881,0.0,0.0,1.0,1.0,0.09881487031340881,0.7543460947024272,1.2891195069263268,68,max_force_gt_1,False
FT0,83086,Mn10Fe3IrC6,0.2910839861905554,0.0,0.0,1.0,1.0,0.48465964299955067,2.508264809079012,6.530123160565337,439,max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83087,Mn13C5,0.22046175893719777,0.0,0.0,1.0,1.0,0.1536658299433132,0.42521405518508454,0.6710514439507246,258,steps_gt_200,False
FT0,83088,Mn2C,0.1581188147766639,0.0,0.0,1.0,1.0,0.05993468618260215,0.8626646125036741,1.503114868335762,62,max_force_gt_1,False
FT0,83089,Mn2C,0.33812827522588407,0.0,0.0,1.0,1.0,0.12760199784636903,0.6189806832921796,0.8993778604364643,221,steps_gt_200,False
FT0,83093,Mn2C,0.297388325681613,0.0,0.0,1.0,1.0,0.3192593444354671,0.6101946945808334,1.317504103810919,538,max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83094,Mn12Au2C5,0.3165279666466141,0.0,0.0,1.0,1.0,0.22776727986994,0.3870191445418021,0.7327983478618995,211,steps_gt_200,False
FT0,83102,EuFeAs3,0.1483362173789038,0.0,0.0,1.0,1.0,0.1169712970668301,0.8478267828913039,2.1179263948473976,38,max_force_gt_1;max_force_gt_2,False
FT0,83105,TiMn9,0.12206115537796336,0.0,0.0,1.0,1.0,1.2072027577903681,0.3108874315581799,0.7235694906493029,259,rmsd_gt_0.5;steps_gt_200,False
FT0,83109,Mn5C,0.19437300155898107,0.0,0.0,1.0,1.0,0.2341189288175794,0.333165895578019,0.6132858737477133,275,steps_gt_200,False
FT0,83117,Mn13C7,0.3219237643735564,0.0,0.0,1.0,1.0,0.3536852870110783,1.2237194471984902,3.2711472020086756,325,max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300,False
FT0,83121,Mn7C4,0.2516079221314538,0.0,0.0,1.0,1.0,0.06373541786145577,0.7448018840790606,1.645669603719911,53,max_force_gt_1,False
FT0,83129,Mn11PtWC5,0.30160921986705524,0.0,0.0,1.0,1.0,0.37579600397434093,1.1857516832663113,3.2813215411991545,257,max_force_gt_1;max_force_gt_2;steps_gt_200,False
FT0,83132,MnPtAu2,0.02019349492675815,1.0,0.0,0.0,1.0,1.286274061507186,0.06025961995665877,0.10789268037529422,46,rmsd_gt_0.5,False
FT0,83138,Mn13C7,0.20849831881691472,0.0,0.0,1.0,1.0,0.10627062821791973,0.4976036835881549,1.3670937601455073,181,max_force_gt_1,False
FT0,83145,Mn3C2,0.29402251209001307,0.0,0.0,1.0,1.0,0.21605143199609742,0.7497859559150386,1.3187435572664061,122,max_force_gt_1,False
FT0,83148,Mn7C3,0.11677066485045806,0.0,0.0,1.0,1.0,0.6009472933250378,0.5368261432107666,1.1403456460717782,828,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83156,Mn6As3H,0.12701000521470895,0.0,0.0,1.0,1.0,0.1173480918649173,0.3302272667591601,1.2458158906621746,26,max_force_gt_1,False
FT0,83163,Mn10ReC3,0.2876261459083018,0.0,0.0,1.0,1.0,0.06721802144315243,0.7834123189678378,2.0119486019726476,77,max_force_gt_1;max_force_gt_2,False
FT0,83164,Mn9C5,0.49172654132133253,0.0,0.0,1.0,1.0,0.2709367440756721,0.7513661234765973,2.1185619658038095,248,max_force_gt_1;max_force_gt_2;steps_gt_200,False
FT0,83166,Mn6C5,0.13980437572103455,0.0,0.0,1.0,1.0,0.11507136133227192,0.6461773925264321,1.125661043377794,54,max_force_gt_1,False
FT0,83173,Mn5C3,0.4148601926751443,0.0,0.0,1.0,1.0,0.11885736797359894,0.5820142031002413,1.0741542735435072,53,max_force_gt_1,False
FT0,83174,Mn3C,0.13685503023214451,0.0,0.0,1.0,1.0,0.057323567401131655,0.4681868959901905,1.0696839582089488,71,max_force_gt_1,False
FT0,83185,GdAu,-0.00818620327392594,1.0,0.0,0.0,1.0,1.5159046001250451,0.316917109064358,0.3169171125006673,31,rmsd_gt_0.5,False
FT0,83187,Mn14V,0.1036343889519582,0.0,0.0,1.0,1.0,1.1318571206904426,0.25416122934714364,0.5276992523758234,326,rmsd_gt_0.5;steps_gt_200;steps_gt_300,False
FT0,83191,Mn4C5,0.34252558902428554,0.0,0.0,1.0,1.0,0.07647343957019515,0.8307320773691528,1.4640335548374608,51,max_force_gt_1,False
FT0,83194,Mn5Fe2C5,0.21435799174924952,0.0,0.0,1.0,1.0,0.061752459547942715,0.6154812690275294,1.0689265757287112,56,max_force_gt_1,False
FT0,83196,Mn11C7,0.1435333372502452,0.0,0.0,1.0,1.0,0.10440175677603422,0.36208884801491714,1.0499960047577037,230,max_force_gt_1;steps_gt_200,False
FT0,83219,Mn8C3N,0.15462695767755008,0.0,0.0,1.0,1.0,0.25180567067218346,0.4683735477007702,1.4107048678400473,147,max_force_gt_1,False
FT0,83233,Mn9H,0.0901227512119469,1.0,1.0,1.0,1.0,1.036998614693748,4.619371417312242,8.433248979246752,521,rmsd_gt_0.5;max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83238,Li(Mn2C)4,0.22963809906098298,0.0,0.0,1.0,1.0,0.18213553208635117,1.0177963083846,1.941255057559677,162,max_force_gt_1,False
FT0,83240,Mn5Au,0.24755973366109796,0.0,0.0,1.0,1.0,1.2027958281573499,0.10743731896852483,0.1620410141270734,61,rmsd_gt_0.5,False
FT0,83241,Mn3AsC,0.2654349850222477,0.0,0.0,1.0,1.0,0.4029489146635535,0.3844725365106253,0.6821660210170836,293,steps_gt_200,False
FT0,83243,Mn3C2,0.28925948108415334,0.0,0.0,1.0,1.0,0.44493603823294947,0.9328811799266343,1.9997298332912605,1043,max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,83251,Mn4C,0.19323447672521432,0.0,0.0,1.0,1.0,0.16298568303135053,0.42688157884560923,0.7582097985428382,216,steps_gt_200,False
FT0,83254,Mn3C2,0.16721663440446477,0.0,0.0,1.0,1.0,0.01486003516623266,0.6048807564189523,1.3867364779271945,55,max_force_gt_1,False
TCL,83008,Gd4Fe4O3,0.9276173284232971,0.0,0.0,1.0,1.0,0.7827682928678094,1.061852897009667,1.7491826661719365,588,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83015,Mn9C5,0.12654557208305128,0.0,0.0,1.0,1.0,0.06175718092167511,0.4755349685907882,1.0940008824939689,57,max_force_gt_1,False
TCL,83023,Mn9Al2C,0.20008786908081433,0.0,0.0,1.0,1.0,0.05767452703584521,0.47986718667357603,1.5469404663075357,70,max_force_gt_1,False
TCL,83043,Eu7C8,0.16165401307031324,0.0,0.0,1.0,1.0,0.08909492268903674,1.6035753688047094,5.597731819176095,90,max_force_gt_1;max_force_gt_2,False
TCL,83049,Mn8ZnInIrC,0.2673740570279861,0.0,0.0,1.0,1.0,0.12979387047766142,0.4141988828528161,1.2681529728721175,71,max_force_gt_1,False
TCL,83068,Gd3Dy2Co11Sn3,0.20201368151946042,0.0,0.0,1.0,1.0,0.3214618416315301,0.37132143126536993,0.7903481638432842,499,steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83069,Eu4Mn6Ge5,0.3201866800596278,0.0,0.0,1.0,1.0,1.3670401587399768,0.3255953051146508,0.7619035246810735,490,rmsd_gt_0.5;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83075,Mn8FeHC2,0.20412061051494135,0.0,0.0,1.0,1.0,0.6259781056508915,0.8022184213183557,1.474709875852694,355,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_300,False
TCL,83077,EuMn3(FeO4)2,0.2760158333077616,0.0,0.0,1.0,1.0,0.06971814832434065,0.6478250473701859,3.3074845378370896,81,max_force_gt_1;max_force_gt_2,False
TCL,83090,Fe2HN,0.2755199780814621,0.0,0.0,1.0,1.0,0.07335340217825427,0.86597392850247,1.5458082536732243,34,max_force_gt_1,False
TCL,83094,Mn15C4,0.23370084542477088,0.0,0.0,1.0,1.0,0.14262931225446374,0.6050322845533946,2.2043546338821893,181,max_force_gt_1;max_force_gt_2,False
TCL,83104,Mn3AlC,0.06418842073437503,1.0,1.0,1.0,1.0,0.031155989160688076,0.4987463946250523,1.1707326218609224,51,max_force_gt_1,False
TCL,83109,SrNdEuMn8O7,0.46380062357496854,0.0,0.0,1.0,1.0,0.7672374291266475,0.9068358189149435,1.5362011420595003,388,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_300,False
TCL,83110,Mn8Fe,0.1538119565613023,0.0,0.0,1.0,1.0,0.3235790860813751,0.33749257341526345,0.7704675281211312,522,steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83118,Mn7(AlC)2,0.20103097356471622,0.0,0.0,1.0,1.0,0.48821213476462266,0.3707687717017981,1.3596476874256405,229,max_force_gt_1;steps_gt_200,False
TCL,83127,Mn12FeC5,0.14628434237649124,0.0,0.0,1.0,1.0,0.0562617656200584,0.501492477229629,1.186470330789806,54,max_force_gt_1,False
TCL,83129,Mn9Fe5C4,0.1914416817091258,0.0,0.0,1.0,1.0,0.9099722665943993,0.8626801944260866,1.5205036270679904,441,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83130,Mn,0.1650975674595898,0.0,0.0,1.0,1.0,1.1822450652572465,0.3072493310337505,0.5051549853440886,494,rmsd_gt_0.5;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83135,MnO,0.2084807343359376,0.0,0.0,1.0,1.0,1.1017286257240233,0.1767750269458719,0.4712179824129208,88,rmsd_gt_0.5,False
TCL,83138,Mn15Fe4C,0.1435652334077755,0.0,0.0,1.0,1.0,0.5849775032335467,0.6110097280203113,2.455548610328139,655,rmsd_gt_0.5;max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83150,Mn7GeN4,0.1682836379687469,0.0,0.0,1.0,1.0,0.06076782284809462,0.6467836703862875,1.3102181317821737,66,max_force_gt_1,False
TCL,83176,Gd3Si5Pt3,0.044867710406604644,1.0,1.0,1.0,1.0,0.48384099242171696,1.1873195866876636,1.919013464982349,131,max_force_gt_1,False
TCL,83180,Mn4GeN,0.2553663926692735,0.0,0.0,1.0,1.0,0.10111003446431172,0.6120692223213063,1.1964541803147015,93,max_force_gt_1,False
TCL,83182,Mn5Fe3C4,0.1633173274605113,0.0,0.0,1.0,1.0,0.0756733684262736,0.46565252738830093,1.2212775266078404,66,max_force_gt_1,False
TCL,83202,Mn4CoNi3(CSe)2,0.26793669361368266,0.0,0.0,1.0,1.0,0.2886777704503028,0.3490696565800948,1.1203655988356322,122,max_force_gt_1,False
TCL,83203,Gd2BPd5,0.46999298927856614,0.0,0.0,1.0,1.0,0.7147017384701682,1.2134973899531407,2.3788495161666305,1321,rmsd_gt_0.5;max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,83214,Mn5C2,0.268366457216068,0.0,0.0,1.0,1.0,0.122135264427262,0.7256014195836,1.383795751729871,115,max_force_gt_1,False
TCL,83215,Mn11Fe2C5,0.2096683000562347,0.0,0.0,1.0,1.0,0.06416803681200556,0.7106256421405215,1.20827120987278,80,max_force_gt_1,False
TCL,83233,Fe7As2H,0.12365244985156121,0.0,0.0,1.0,1.0,1.1956703858209143,0.2555640130617694,0.5442853124361461,232,rmsd_gt_0.5;steps_gt_200,False
TCL,83249,Mn2C,0.1535657616625148,0.0,0.0,1.0,1.0,0.2440334851539078,0.7609435520979971,1.7145364770010005,184,max_force_gt_1,False
