method,n,generation_success_count,generation_success_rate,mattersim_success_count,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p90_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_p99_ev_per_atom,e_hull_max_ev_per_atom,rmsd_mean_angstrom,rmsd_median_angstrom,rmsd_p90_angstrom,rmsd_p95_angstrom,rmsd_p99_angstrom,rmsd_max_angstrom,stable_count,stable_rate,nus_count,nus_rate,novel_count,novel_rate,unique_count,unique_rate,atomic_force_mean_ev_per_angstrom,atomic_force_median_ev_per_angstrom,atomic_force_p95_ev_per_angstrom,atomic_force_p99_ev_per_angstrom,atomic_force_max_ev_per_angstrom,structure_max_force_mean_ev_per_angstrom,structure_max_force_median_ev_per_angstrom,structure_max_force_p90_ev_per_angstrom,structure_max_force_p95_ev_per_angstrom,structure_max_force_p99_ev_per_angstrom,structure_max_force_max_ev_per_angstrom,structure_max_force_gt1_count,structure_max_force_gt1_rate,structure_max_force_gt2_count,structure_max_force_gt2_rate,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p90,relaxation_steps_p95,relaxation_steps_p99,relaxation_steps_max,relaxation_steps_gt100_count,relaxation_steps_gt100_rate,relaxation_steps_gt200_count,relaxation_steps_gt200_rate,relaxation_steps_gt300_count,relaxation_steps_gt300_rate,relaxation_steps_gt400_count,relaxation_steps_gt400_rate,generation_seconds_mean,generation_seconds_total
C0,256,256,1.0,256,1.0,False,0.11233169987359322,0.08913820376210468,0.21759302201666486,0.2813510037417202,0.49279518794216587,1.3378470241782905,0.04930017174609214,0.02027016314167801,0.11365307625682815,0.17598354079091372,0.38933912442782814,1.6850458519986173,142,0.5546875,82,0.3203125,193,0.75390625,252,0.984375,0.148647962448829,0.08682084540920526,0.4494007790892978,0.8164863889273075,1.3415851025217536,0.3372120836042153,0.16026632582077024,0.824932045025041,1.048537763934761,2.200286130593083,4.243140910048079,16,0.0625,3,0.01171875,47.08203125,28.5,88.0,142.5,395.0999999999989,656,18,0.0703125,8,0.03125,5,0.01953125,3,0.01171875,117.27662149635216,30022.815103066154
FT0,256,256,1.0,256,1.0,False,0.15101891867060438,0.13303461092062108,0.28692941754301904,0.31849900797394515,0.4793465451696021,0.5158079837792906,0.11565836923732434,0.04107607957728053,0.26937172895295153,0.48968210546507296,1.2427848444629352,1.5159046001250451,89,0.34765625,32,0.125,192,0.75,228,0.890625,0.3018588199164783,0.23486704731603092,0.7909911787146997,1.3775135858723901,4.619371417312242,0.6004462678848372,0.4192294070664079,1.0723905890736125,1.5387535521817992,3.9453319297430207,8.433248979246752,30,0.1171875,10,0.0390625,81.88671875,40.0,213.5,295.0,649.9999999999995,1043,45,0.17578125,27,0.10546875,13,0.05078125,9,0.03515625,116.81207757598258,29903.89185945154
TCL,256,256,1.0,256,1.0,False,0.11444269896574509,0.09644988271364152,0.23441985758190764,0.275643941888037,0.4456461962207422,0.9276173284232971,0.08288153394088565,0.02511557109817241,0.15627619318083757,0.39900217221880385,1.1379610235139728,1.3670401587399768,131,0.51171875,73,0.28515625,196,0.765625,253,0.98828125,0.18240249661470045,0.10298994780424714,0.6207478343375517,1.118312907364764,1.6035753688047094,0.38790677446395255,0.18719777768021362,0.8835800479472278,1.4065242827605766,2.4133641085393083,5.597731819176095,24,0.09375,5,0.01953125,62.75,33.5,109.0,184.25,551.6999999999992,1321,27,0.10546875,12,0.046875,10,0.0390625,8,0.03125,116.860023011257,29916.16589088179
