seed,num_atoms,volume_ang3,minimum_distance_angstrom,chgnet_energy_per_atom_ev,chgnet_max_force_ev_ang,chgnet_mag_density,gate_probability,gate_applied,initial_mattersim_max_force,q3_mattersim_max_force,force_improvement,magnetic_element_count
32000,12.0,144.5720666323654,2.432727846078183,-7.498052597045898,0.3707944936360784,0.1418714393137443,0.0255986900290339,False,0.2607433351129138,0.2607438124514148,-4.773385010037323e-07,9
32001,15.0,247.7006353409328,1.5248164868943368,-8.978657722473145,2.613370338932567,0.0921373920245073,0.9859516773217316,True,2.3513511325314034,1.2207219078667502,1.1306292246646532,4
32002,15.0,176.9810240526826,1.8283966139509888,-7.551291465759277,0.7523547064062244,0.0959677483687571,0.494637789076175,False,1.6688086126716712,1.6688085971238487,1.5547822584949245e-08,5
32003,16.0,179.06715123982616,1.0024635907721762,-7.465636730194092,0.8428386176845023,0.1246320029985014,0.9082382943526248,True,0.8616686810877698,0.35912732391762586,0.502541357170144,5
32004,4.0,39.44135403036313,1.8685921749262044,-7.237188816070557,0.0455491015072072,0.1196372191908031,0.9729890564399978,True,0.026341025939594986,0.018550971247144287,0.007790054692450699,3
32005,10.0,136.9739553334218,1.9340407419370305,-6.986297130584717,0.3420413511869931,0.0835653626004627,0.9125261693185084,True,0.36385311944490384,0.24662154057263144,0.1172315788722724,3
32006,4.0,56.053353670326864,2.599396095219108,-8.188433647155762,0.1269252076587391,0.0533015444863554,0.3707594693263171,False,0.3396002635284425,0.3396002330402216,3.0488220947866296e-08,3
32007,3.0,128.74357193787267,3.8165736067048894,-7.483709812164307,0.0494004350581157,0.1093802829923779,0.0301409849304184,False,0.018443497348128265,0.018443477390745564,1.9957382701302206e-08,2
32008,5.0,208.0393366468252,2.95990955675004,-6.57359504699707,0.0047814421971746,0.1007415689965006,0.90150296416651,True,0.007128645132876329,0.005494980081993876,0.001633665050882453,3
32009,12.0,150.00235032807615,2.351587629058949,-8.941757202148438,0.1165330305160218,0.0916354591187143,0.4540148014786302,False,0.1371891389793334,0.13718885701074626,2.8196858714579776e-07,12
32010,6.0,51.7047126100652,2.0872577774109167,-5.1009039878845215,0.0666923673522413,0.036499714331627,0.7406730466773085,True,0.09861074501133066,0.04195912121071119,0.05665162380061947,2
32011,20.0,194.6024834388922,1.7865112704994748,-6.625204086303711,0.1570075112146039,0.132730852462196,0.977186827733196,True,0.10821435549914679,0.09748256419548602,0.010731791303660768,16
32012,10.0,118.24129149330275,1.964712241209901,-9.405291557312012,0.1306425011328625,0.1701412853212051,0.327856706877571,False,0.16732170434547555,0.16732221769157055,-5.133460949935387e-07,4
32013,15.0,236.35947146174533,2.6494070089178243,-7.058533191680908,0.7844717082860284,0.097546200544571,0.9626760947334596,True,0.27517395610380235,0.18884565071961715,0.0863283053841852,15
32014,20.0,301.5065150726975,0.9105413387423104,-10.341411590576172,3.712800301180633,0.1611876042771041,0.6291375460368783,True,3.9433598159908314,0.5682818255233877,3.3750779904674437,8
32015,7.0,103.49804261013156,2.5401988487083877,-10.081501007080078,0.0243342025633214,0.1937388615317607,0.9769007204994538,True,0.018603362867996718,0.014646402907152644,0.003956959960844074,3
32016,8.0,98.74075393186332,2.2737861443948475,-7.921250343322754,0.0508717307799024,0.1384447345260632,0.6656291583184634,True,0.07977120389624251,0.04567454999752399,0.03409665389871852,3
32017,8.0,317.0021568415685,3.815438693139064,-9.73012351989746,0.01959404684213,0.1544750993175526,0.9058217501210868,True,0.015310872046898547,0.013325896423531613,0.0019849756233669344,8
32018,16.0,158.81375296644967,1.963169856411803,-7.774904727935791,0.159013796495116,0.1344636252812368,0.8452079245076338,True,0.3911752367142153,0.3576956703476514,0.033479566366563906,5
32019,12.0,380.7567714316656,3.149929398517654,-8.537140846252441,0.1519896920063811,0.1454091256311472,0.965194289690209,True,0.08434508160118133,0.07275421523954541,0.011590866361635921,12
32020,20.0,212.34848106583163,1.83850733256096,-7.655865669250488,0.5633193331347268,0.0241205531106919,0.9126760002989908,True,0.6817933129055382,0.44013357384798635,0.2416597390575519,16
32021,11.0,132.73469888799838,2.4195607798696503,-7.440996646881103,0.2294058156691782,0.1375942094707305,0.2061580145017719,False,0.3050291876946588,0.3050292127389382,-2.5044279372554712e-08,8
32022,4.0,127.21027352145131,3.0083672467993106,-8.813461303710938,0.1704663725559096,0.1627543575554611,0.9880238266611088,True,0.07441868776470975,0.047009532787347284,0.027409154977362467,4
32023,12.0,134.40422008715402,2.4712730399488594,-6.872080326080322,0.1083499924982617,0.100335481495063,0.2337348181117091,False,0.09697124418244342,0.09697140758612036,-1.6340367693656876e-07,12
32024,14.0,175.14766417413546,1.854252490847952,-8.251501083374023,0.4286438748601175,0.1209259540005952,0.4490969216363625,False,0.5469662482435418,0.5469658222602971,4.259832446784628e-07,5
32025,12.0,237.55140691226936,2.727544586210367,-8.165145874023438,0.4839066067796031,0.1143666354717673,0.5716733690031806,True,0.21227226883068645,0.13224890298388853,0.08002336584679792,10
32026,16.0,208.23433528473905,1.38016219404739,-7.665216445922852,1.2059218385231518,0.0823318492204032,0.8869685841070615,True,1.0458451712109,0.4098837190139921,0.6359614521969079,4
32027,15.0,165.80320737997891,1.980792675516332,-7.934290885925293,0.3771373664049364,0.1094987786331852,0.9951542676298252,True,0.5279707734910554,0.3765100043192977,0.15146076917175766,11
32028,4.0,45.996645872902825,2.512663718423425,-7.400070190429687,0.0058838174829827,0.1518479208908845,0.007361542260478,False,0.007727221011730929,0.00772629615568052,9.248560504087483e-07,4
32029,6.0,83.68934536120665,2.438582314993999,-8.156730651855469,0.1364846315157396,0.1574894220095655,0.3018042785433381,False,0.039485615397420445,0.03948563579935532,-2.0401934877622985e-08,6
32030,8.0,142.26266844548348,2.4767595093864423,-9.753729820251465,0.1540994233560028,0.190405308160509,0.2663296133315408,False,0.17506740035101062,0.1750673070829385,9.32680721266177e-08,4
