seed,a0_max_force,a0_e3g_max_force,force_difference,force_relative_change,a0_rmsd,a0_e3g_rmsd,a0_ehull,a0_e3g_ehull,a0_stable,a0_e3g_stable,a0_nus,a0_e3g_nus,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
50000,0.2103677988880729,0.1905247522995178,-0.019843046588555,-0.0943254941746701,0.0454712456557793,0.0414611865720854,0.0976592239502291,0.0976761306885105,True,True,True,True,0.8976719168624379,True,False,,0.0192432578633505,False,True
50001,0.8999377034318461,0.3965650335849646,-0.5033726698468814,-0.5593416832379695,0.3113454474589391,0.3114610682399118,0.2104090817866524,0.2103366243368771,False,False,False,False,0.972355762220056,True,False,,0.0216197688015825,False,True
50002,0.3505557030834962,0.3505551793287306,-5.237547656133934e-07,-1.4940700179926733e-06,0.034770279485939,0.0347702674241738,0.090881862741579,0.0908809234783412,True,True,True,True,0.3980228493121546,False,True,,0.0,False,True
50003,0.4979297175280707,0.4979294562723071,-2.61255763578383e-07,-5.24684015397524e-07,1.2709463231922489,1.2709464636766337,0.0984948770384921,0.0984957223754054,True,True,True,True,0.3276314990680818,False,True,,0.0,False,True
50004,1.3541243768727764,0.5342180870769849,-0.8199062897957915,-0.6054881691808018,0.596697715363306,0.5889775594919631,0.3556371292201259,0.3558324020472749,False,False,False,False,0.7015406132890658,True,False,,0.054535528376827,False,True
50005,0.0354609641103109,0.0354610062981934,4.2187882499933333e-08,1.189699252640073e-06,0.0038337581761171,0.0038337551554939,0.0431215099835462,0.0431225666546879,True,True,False,False,0.477320024870194,False,True,,0.0,False,True
50006,0.2604116277065593,0.2455294636711439,-0.0148821640354153,-0.0571486156992387,0.0288205786743526,0.0257486243362701,0.2633150255581533,0.2633894152065892,False,False,False,False,0.7586455111681221,True,False,,0.0083955556430113,False,True
50007,0.7279523035366718,0.4515733605227567,-0.2763789430139151,-0.3796662798800966,0.045532649230999,0.0365895540079088,-0.008592518954364,-0.0085955380147719,True,True,True,True,0.6346118209370123,True,False,,0.0235251695874794,False,True
50008,0.0063900582423646,0.005568907149763,-0.0008211510926016,-0.128504477026134,0.0021955117198773,0.0021597134564655,0.0031100985725434,0.0031095702369716,True,True,False,False,0.539220530299556,True,False,,0.0002630028207072,False,True
50009,0.0230181047080465,0.0230178175075421,-2.872005043993986e-07,-1.247715691809331e-05,0.0004911366280835,0.0004911409076275,0.1660283357731273,0.1660291811100407,False,False,False,False,0.0989913276151811,False,True,,0.0,False,True
50010,0.014192645086937,0.0114947344567887,-0.0026979106301482,-0.1900921648940177,0.0012114097305946,0.0010438092044535,-0.0278586235060558,-0.027860736848341,True,True,True,True,0.9171783141581704,True,False,,0.0003293714623338,False,True
50011,0.1846816338585061,0.171295518277107,-0.0133861155813991,-0.072482115853788,0.0714038424776889,0.0754206729876608,0.0540490709585217,0.0539842617951107,True,True,True,True,0.8671868020572655,True,False,,0.0084754899904312,False,True
