method,n,generation_success_rate,relaxation_success_rate,avg_energy_above_hull_per_atom_ev,frac_stable,frac_novel_unique_stable,frac_novel,frac_unique,avg_rmsd_from_relaxation,pre_relaxation_max_force_mean_ev_per_a,pre_relaxation_max_force_median_ev_per_a,pre_relaxation_max_force_p95_ev_per_a,pre_relaxation_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_max,generation_seconds_mean,delta_e_hull_vs_c0_ev,delta_stable_vs_c0,delta_nus_vs_c0,delta_rmsd_vs_c0,delta_force_mean_vs_c0
C0,8,1.0,1.0,0.16073168000100646,0.375,0.375,0.875,1.0,0.1679763141583728,0.3873780451249331,0.19877701997756958,1.1308955490589139,1.3347300291061401,98.25,601,116.62897073850036,0.0,0.0,0.0,0.0,0.0
M1,8,1.0,1.0,0.13327928280789647,0.375,0.25,0.875,1.0,0.041860823653177365,0.31395127065479755,0.1769733875989914,0.8000024527311325,0.8276750445365906,48.75,159,117.17153719926137,-0.02745239719310999,0.0,-0.125,-0.12611549050519544,-0.07342677447013557
M2,8,1.0,1.0,0.08495462517081642,0.75,0.625,0.75,1.0,0.05972994351612898,0.25886381859891117,0.1485111266374588,0.8430902808904644,1.0882368087768555,50.875,208,118.57481184485368,-0.07577705483019004,0.375,0.25,-0.10824637064224382,-0.12851422652602196
