adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,adapter_streak_max,adapter_streak_mean,adapter_streak_p95,anchor_k,atomic_risk_fallback_calls,checkpoint_sha256,coverage,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nonfinite_adapter_fallback_calls,nonfinite_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,periodic_exact_calls,periodic_trace_calls,run_summary_path,samples_per_hour,second_forward_calls,seed,success
480,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,163,6.075949367088608,7,0,220,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.48,520,Eu3InAg2,0.24,92.54795004683547,0,300,1520,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69003/generated_crystals.extxyz,c7e56a78bf7aae0b4f07f65faa9dadbdc62334ffb8e1cd916ad9f1b93c9181bf,318275072,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69003/run_summary.json,38.898754625879434,520,69003,True
525,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,6.0344827586206895,16,16,154,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.525,475,EuCoH4,0.2625,90.80677057383582,0,300,1475,V3_AnchorK16,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69003/generated_crystals.extxyz,fe73e8440bc0fa535cb1440a431b561c0405a570eb0fe1a6275083f63d5741df,317492736,21,21,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69003/run_summary.json,39.64462095998455,475,69003,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,EuFe3Ni2,0.0,114.87930526793934,0,0,2000,C0,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69004/generated_crystals.extxyz,487749f3684a2a863f52eeb903f775c8df91a10e8caf1202f386f0f4a50c1073,274953728,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69004/run_summary.json,31.337236864407572,1000,69004,True
573,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,216,7.743243243243243,9,0,127,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.573,427,FeNiH,0.2865,89.82864803099073,0,300,1427,V2_Frozen_Atomic75_Late30,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69004/generated_crystals.extxyz,e9552d3e66b41b1bcc83da5d634224b47c448743ea857a9807be117cbc956a91,274040320,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69004/run_summary.json,40.076301702303326,427,69004,True
613,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,9.014705882352942,16,16,60,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.613,387,FeNiH,0.3065,84.59954997594468,0,300,1387,V3_AnchorK16,0,0,6,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69004/generated_crystals.extxyz,e5b02511e436824e730d5460503485477a71e0ff0799a3b621d85de1ec454279,275489280,27,27,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69004/run_summary.json,42.553417849428705,387,69004,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,FeCoSi,0.0,114.7042965318542,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69005/generated_crystals.extxyz,a62b1f72160e14453bc66971b761d3692b52cad0fd52fca52e79914c2beef206,315582464,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69005/run_summary.json,31.38504928627721,1000,69005,True
502,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,172,6.048192771084337,12,0,198,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.502,498,Fe5Co3P4,0.251,92.08276614407077,0,300,1498,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69005/generated_crystals.extxyz,291882c6e78e47aab8825cf0b49c55ced6fb152dc3ab8eb76db09916db4a0450,314965504,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69005/run_summary.json,39.09526343254627,498,69005,True
446,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,5.01123595505618,16,16,238,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.446,554,Fe5Co3P4,0.223,94.75837680208497,0,300,1554,V3_AnchorK16,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69005/generated_crystals.extxyz,5259e366b69817526dbcb599f3d20facf596cbd0c00887585f97038d71b305c4,318162944,16,16,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69005/run_summary.json,37.99136415684982,554,69005,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Fe3Rh,0.0,117.08855243516155,0,0,2000,C0,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69006/generated_crystals.extxyz,d12708e19a66e9200ea25c23e9218ea40bb3268caa8f76f3f872d0e2684182e5,286546944,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69006/run_summary.json,30.74596043019253,1000,69006,True
623,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,216,15.974358974358974,196,0,77,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.623,377,Fe3Rh,0.3115,84.70917826797813,0,300,1377,V2_Frozen_Atomic75_Late30,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69006/generated_crystals.extxyz,216b39c02bfa43bc10717b80746fd0b78594fcb2e9743c394862f148ce89d285,286262272,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69006/run_summary.json,42.498346384749155,377,69006,True
