method,n,successful_n,seed_start,seed_end,generation_success_rate,elapsed_seconds_total,attempted_elapsed_seconds_total,elapsed_seconds_mean,elapsed_seconds_std,time_per_sample_mean,time_per_sample_std,samples_per_hour_mean,samples_per_hour_std,mattergen_score_calls_mean,mattergen_score_calls_std,saved_score_calls_mean,saved_score_calls_std,adapter_calls_mean,adapter_calls_std,adapter_accept_calls_mean,adapter_accept_calls_std,adapter_acceptance_overall_mean,adapter_acceptance_overall_std,adapter_acceptance_eligible_mean,adapter_acceptance_eligible_std,fallback_calls_mean,fallback_calls_std,adapter_coverage_mean,adapter_coverage_std,second_forward_avoidance_mean,second_forward_avoidance_std,forward_reduction_mean,forward_reduction_std,peak_allocated_bytes_mean,peak_allocated_bytes_std,adapter_seconds_mean,adapter_seconds_std,exact_fallback_seconds_mean,exact_fallback_seconds_std,dagger_teacher_seconds_mean,dagger_teacher_seconds_std,dagger_teacher_calls_mean,dagger_teacher_calls_std,late_exact_calls_mean,late_exact_calls_std,early_reuse_calls_mean,early_reuse_calls_std,field_risk_fallback_calls_mean,field_risk_fallback_calls_std,paired_speedup_mean,paired_speedup_std,paired_speedup_n,quality_n,n_input,pre_relaxation_max_force_max,pre_relaxation_max_force_mean,pre_relaxation_max_force_median,pre_relaxation_max_force_p95,relaxation_batch_error,relaxation_failures,relaxation_mode,relaxation_seconds,relaxation_seconds_per_structure,relaxation_steps_max,relaxation_steps_mean,relaxation_success_rate,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_structures,frac_novel_unique_stable_structures,frac_stable_structures,frac_unique_structures,source_summary
B0_C0,16,16,65000,65015,1.0,1878.0832703558262,1878.0832703558262,117.38020439723914,3.5640250627086365,117.38020439723914,3.5640250627086365,30.696190963083254,0.9355794679965235,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303568800.0,37796117.02747568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,16,16,3.366518974304199,0.49401790311094373,0.25165271759033203,1.741100400686264,,[],batch,29.349610314005986,1.8343506446253741,653,93.3125,1.0,0.12366424429291395,0.08891314160902569,0.6875,0.1875,0.5,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B0_C0/quality_summary.json
B1_V1_Global50,16,16,65000,65015,1.0,1548.0286346890498,1548.0286346890498,96.75178966806561,13.805768190899617,96.75178966806561,13.805768190899617,37.90531181644345,5.232436798427789,1510.8125,223.04983561228343,489.1875,223.04983561228343,1000.0,0.0,489.1875,223.04983561228343,0.4891875,0.22304983561228345,0.4891875,0.22304983561228345,510.8125,223.04983561228343,0.4891875,0.22304983561228345,0.4891875,0.22304983561228345,0.24459375,0.11152491780614172,302996512.0,37968417.86771957,4.697565820184536,0.31587076345593024,28.30013359853183,12.698840821821456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366162580998104,0.17967065315173392,16,16,16,0.9038615226745605,0.31798972049728036,0.19685643911361694,0.8806582689285278,,[],batch,15.910801046993583,0.994425065437099,192,49.625,1.0,0.1028805151180412,0.03975138083277152,0.625,0.1875,0.5,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B1_V1_Global50/quality_summary.json
B2_V2_Global50,16,16,65000,65015,1.0,1501.777298340341,1501.777298340341,93.86108114627132,10.7313145503931,93.86108114627132,10.7313145503931,38.81688953481553,4.340128991083562,1484.875,173.22042797160694,515.125,173.22042797160694,1000.0,0.0,515.125,173.22042797160694,0.5151249999999999,0.17322042797160694,0.5151249999999999,0.17322042797160694,484.875,173.22042797160694,0.5151249999999999,0.17322042797160694,0.5151249999999999,0.17322042797160694,0.25756249999999997,0.08661021398580347,303705088.0,39609858.96691689,4.554413988313172,0.2796402222560802,26.432045105306315,9.692311508468459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2662025149981884,0.15173612174453321,16,16,16,1.4175207614898682,0.30085411114851013,0.2422810047864914,0.780497595667839,,[],batch,21.10097067593597,1.318810667245998,339,48.0,1.0,0.1601504736456527,0.06553813080072038,0.875,0.3125,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B2_V2_Global50/quality_summary.json
B3_V2_Global75_Late20,16,16,65000,65015,1.0,1303.7006657649763,1303.7006657649763,81.48129161031102,4.062934616578599,81.48129161031102,4.062934616578599,44.28204220396449,2.143211684740973,1281.9375,59.89487318070999,718.0625,59.89487318070999,800.0,0.0,718.0625,59.89487318070999,0.7180625,0.059894873180710004,0.897578125,0.0748685914758875,281.9375,59.89487318070999,0.7180625,0.059894873180710004,0.7180625,0.059894873180710004,0.35903125,0.029947436590355002,304095360.0,39103175.52840648,3.579048039697227,0.1675104791113128,15.277621896995697,3.2942703311362274,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,1.4444577900957434,0.09357102658619629,16,16,16,1.0827157497406006,0.3021237124921754,0.14142236858606339,0.8531021624803543,,[],batch,26.774191678967327,1.673386979935458,453,73.0625,1.0,0.13211107472351108,0.06437013856004556,0.75,0.3125,0.5,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B3_V2_Global75_Late20/quality_summary.json
B3_V2_Global75_Late30,16,16,65000,65015,1.0,1361.4774259522092,1361.4774259522092,85.09233912201307,4.612608200024251,85.09233912201307,4.612608200024251,42.41858481647779,2.2003598231346837,1356.5625,51.45349842333366,643.4375,51.45349842333366,700.0,0.0,643.4375,51.45349842333366,0.6434375,0.05145349842333366,0.9191964285714286,0.07350499774761952,356.5625,51.45349842333366,0.6434375,0.05145349842333366,0.6434375,0.05145349842333366,0.32171875,0.02572674921166683,304096032.0,39103096.50825926,3.1493995714117773,0.1733091316645772,19.331092241598526,3.1221364202245825,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1.3837024884447517,0.09353096809255279,16,16,16,1.0826566219329834,0.32656063191825524,0.14234914630651474,0.8602333217859268,,[],batch,27.035040918039158,1.6896900573774474,445,78.875,1.0,0.13922217190990388,0.07236242475269392,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B3_V2_Global75_Late30/quality_summary.json
B3_V2_Global75_Late40,16,16,65000,65015,1.0,1423.4064616588876,1423.4064616588876,88.96290385368047,3.2505747099461595,88.96290385368047,3.2505747099461595,40.51639740368422,1.463426388893346,1443.0625,46.57677353932251,556.9375,46.57677353932251,600.0,0.0,556.9375,46.57677353932251,0.5569375,0.0465767735393225,0.9282291666666667,0.07762795589887084,443.0625,46.57677353932251,0.5569375,0.0465767735393225,0.5569375,0.0465767735393225,0.27846875,0.02328838676966125,304095520.0,39103156.69734043,2.693822208297206,0.1769818642535617,23.855983768138685,2.3439211519151435,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,1.3209668339165166,0.060606540809297324,16,16,16,1.3455368280410767,0.3049228294985369,0.1660957783460617,0.9492909610271454,,[],batch,25.69932810915634,1.6062080068222713,426,65.3125,1.0,0.1397327845470714,0.06415255740532845,0.6875,0.3125,0.625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B3_V2_Global75_Late40/quality_summary.json
B4_V2_Field75_Late30,16,16,65000,65015,1.0,1412.1236693742685,1412.1236693742685,88.25772933589178,7.794333865215026,88.25772933589178,7.794333865215026,41.06441689726777,3.334741124015686,1415.8125,135.51443650032272,584.1875,135.51443650032272,700.0,0.0,584.1875,135.51443650032272,0.5841875,0.13551443650032272,0.8345535714285715,0.19359205214331818,415.8125,135.51443650032272,0.5841875,0.13551443650032272,0.5841875,0.13551443650032272,0.29209375,0.06775721825016136,303290816.0,37966937.11778521,3.1248729073558934,0.12375772383110327,22.396866349488846,7.432266256633782,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,115.8125,135.51443650032272,1.3388315988186785,0.11464788836193324,16,16,16,2.800969123840332,0.5000520346220583,0.19512242078781128,1.6961031258106232,,[],batch,22.754505038959906,1.422156564934994,354,59.0625,1.0,0.1260997272638577,0.056555900820717604,0.75,0.375,0.5625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B4_V2_Field75_Late30/quality_summary.json
B4a_V2_Atomic75_Late30,16,16,65000,65015,1.0,1409.2290112222545,1409.2290112222545,88.0768132013909,7.866266083682484,88.0768132013909,7.866266083682484,41.1666110210211,3.5079559528495867,1414.625,136.01023245819903,585.375,136.01023245819903,700.0,0.0,585.375,136.01023245819903,0.585375,0.136010232458199,0.8362499999999999,0.19430033208314146,414.625,136.01023245819903,0.585375,0.136010232458199,0.585375,0.136010232458199,0.2926875,0.0680051162290995,303290816.0,37966937.11778521,3.1252695378498174,0.14796697773303458,22.33105901167437,7.39276652083505,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,114.625,136.01023245819903,1.3419655190068271,0.11786894641471528,16,16,16,1.6166821718215942,0.41700264252722263,0.19512216746807098,1.1747090220451355,,[],batch,23.954057262977585,1.497128578936099,373,66.875,1.0,0.12668823337332918,0.05443177344907782,0.75,0.375,0.5625,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B4a_V2_Atomic75_Late30/quality_summary.json
B5_V2_EarlyReuse20_Field75_Late30,16,16,65000,65015,1.0,1377.7693604291417,1377.7693604291417,86.11058502682135,6.625013099123826,86.11058502682135,6.625013099123826,42.03019048126967,3.1037186947253463,1385.9375,103.59051999740774,614.0625,103.59051999740774,500.0,0.0,414.0625,103.59051999740774,0.4140625,0.10359051999740775,0.828125,0.2071810399948155,385.9375,103.59051999740774,0.6140625,0.10359051999740772,0.6140625,0.10359051999740772,0.30703125,0.05179525999870386,303036000.0,38358816.69036263,2.2851001849776367,0.1595563627582048,20.956691898740246,5.7485576838942745,0.0,0.0,0.0,0.0,300.0,0.0,200.0,0.0,85.9375,103.59051999740774,1.370718401069522,0.11303711091610534,16,16,16,0.9796831011772156,0.3716603868815582,0.16131040453910828,0.9353781491518021,,[],batch,17.192565465113148,1.0745353415695718,385,77.0625,1.0,0.11729129437574753,0.058715692652254584,0.75,0.25,0.4375,1.0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/relaxation/stage_b_quality/B5_V2_EarlyReuse20_Field75_Late30/quality_summary.json
