method,baseline,seed,metric,value,baseline_value,paired_delta
B0_C0,B0_C0,65010,pre_relaxation_max_force,0.10447023063898087,0.10447023063898087,0.0
B0_C0,B0_C0,65011,e_hull,0.14476277359374912,0.14476277359374912,0.0
B0_C0,B0_C0,65011,stable,0.0,0.0,0.0
B0_C0,B0_C0,65011,nus,0.0,0.0,0.0
B0_C0,B0_C0,65011,novel,1.0,1.0,0.0
B0_C0,B0_C0,65011,unique,1.0,1.0,0.0
B0_C0,B0_C0,65011,rmsd,0.024031852117856044,0.024031852117856044,0.0
B0_C0,B0_C0,65011,pre_relaxation_max_force,0.5451765060424805,0.5451765060424805,0.0
B0_C0,B0_C0,65012,e_hull,0.14852389949923328,0.14852389949923328,0.0
B0_C0,B0_C0,65012,stable,0.0,0.0,0.0
B0_C0,B0_C0,65012,nus,0.0,0.0,0.0
B0_C0,B0_C0,65012,novel,1.0,1.0,0.0
B0_C0,B0_C0,65012,unique,1.0,1.0,0.0
B0_C0,B0_C0,65012,rmsd,0.041456576122912606,0.041456576122912606,0.0
B0_C0,B0_C0,65012,pre_relaxation_max_force,0.28138744831085205,0.28138744831085205,0.0
B0_C0,B0_C0,65013,e_hull,0.09789802752344734,0.09789802752344734,0.0
B0_C0,B0_C0,65013,stable,1.0,1.0,0.0
B0_C0,B0_C0,65013,nus,1.0,1.0,0.0
B0_C0,B0_C0,65013,novel,1.0,1.0,0.0
B0_C0,B0_C0,65013,unique,1.0,1.0,0.0
B0_C0,B0_C0,65013,rmsd,0.019026720329645357,0.019026720329645357,0.0
B0_C0,B0_C0,65013,pre_relaxation_max_force,0.07146461308002472,0.07146461308002472,0.0
B0_C0,B0_C0,65014,e_hull,0.0714392717360921,0.0714392717360921,0.0
B0_C0,B0_C0,65014,stable,1.0,1.0,0.0
B0_C0,B0_C0,65014,nus,0.0,0.0,0.0
B0_C0,B0_C0,65014,novel,0.0,0.0,0.0
B0_C0,B0_C0,65014,unique,1.0,1.0,0.0
B0_C0,B0_C0,65014,rmsd,0.002064414494896734,0.002064414494896734,0.0
B0_C0,B0_C0,65014,pre_relaxation_max_force,0.00990274827927351,0.00990274827927351,0.0
B0_C0,B0_C0,65015,e_hull,0.05086550237792942,0.05086550237792942,0.0
B0_C0,B0_C0,65015,stable,1.0,1.0,0.0
B0_C0,B0_C0,65015,nus,0.0,0.0,0.0
B0_C0,B0_C0,65015,novel,0.0,0.0,0.0
B0_C0,B0_C0,65015,unique,1.0,1.0,0.0
B0_C0,B0_C0,65015,rmsd,0.0020346024485453657,0.0020346024485453657,0.0
B0_C0,B0_C0,65015,pre_relaxation_max_force,0.036920465528964996,0.036920465528964996,0.0
B1_V1_Global50,B0_C0,65000,e_hull,0.043271511464840984,0.2182105039063602,-0.17493899244151923
B1_V1_Global50,B0_C0,65000,stable,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65000,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65000,novel,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65000,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65000,rmsd,0.0023650011404160644,0.06397255339087012,-0.06160755225045405
B1_V1_Global50,B0_C0,65000,pre_relaxation_max_force,0.10321740806102753,0.2741708755493164,-0.17095346748828888
B1_V1_Global50,B0_C0,65001,e_hull,0.15731361100261054,0.1593434256253614,-0.0020298146227508695
B1_V1_Global50,B0_C0,65001,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65001,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65001,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65001,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65001,rmsd,0.04423962342885248,0.08798622686308669,-0.043746603434234206
B1_V1_Global50,B0_C0,65001,pre_relaxation_max_force,0.8729238510131836,0.7314927577972412,0.14143109321594238
B1_V1_Global50,B0_C0,65002,e_hull,0.06522658121582126,0.06524279367920016,-1.621246337890625e-05
B1_V1_Global50,B0_C0,65002,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65002,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65002,novel,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65002,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65002,rmsd,0.04725552313920906,0.04964934366115585,-0.0023938205219467892
B1_V1_Global50,B0_C0,65002,pre_relaxation_max_force,0.1459096074104309,0.15262770652770996,-0.006718099117279053
B1_V1_Global50,B0_C0,65003,e_hull,0.10464809714162726,0.06911517929086486,0.0355329178507624
B1_V1_Global50,B0_C0,65003,stable,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65003,nus,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65003,novel,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65003,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65003,rmsd,0.0280003339781251,0.02433187230865006,0.0036684616694750392
B1_V1_Global50,B0_C0,65003,pre_relaxation_max_force,0.31040114164352417,0.190921351313591,0.11947979032993317
B1_V1_Global50,B0_C0,65004,e_hull,0.12904808106249988,0.231977066672016,-0.10292898560951613
B1_V1_Global50,B0_C0,65004,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65004,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65004,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65004,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65004,rmsd,0.03924419755071023,0.6745899969207836,-0.6353457993700734
B1_V1_Global50,B0_C0,65004,pre_relaxation_max_force,0.36431747674942017,3.366518974304199,-3.002201497554779
B1_V1_Global50,B0_C0,65005,e_hull,-0.02006784208496093,0.13009585014648373,-0.15016369223144466
B1_V1_Global50,B0_C0,65005,stable,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65005,nus,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65005,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65005,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65005,rmsd,0.008457692687765007,0.017005051896144263,-0.008547359208379256
B1_V1_Global50,B0_C0,65005,pre_relaxation_max_force,0.16093678772449493,0.22913455963134766,-0.06819777190685272
B1_V1_Global50,B0_C0,65006,e_hull,0.10849051475390503,0.06880231986487839,0.03968819488902664
B1_V1_Global50,B0_C0,65006,stable,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65006,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65006,novel,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65006,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65006,rmsd,0.008439423358315738,0.0009972894927156415,0.007442133865600097
B1_V1_Global50,B0_C0,65006,pre_relaxation_max_force,0.14108267426490784,0.010208654217422009,0.13087402004748583
B1_V1_Global50,B0_C0,65007,e_hull,0.07647075120311708,0.07408067232618976,0.0023900788769273262
B1_V1_Global50,B0_C0,65007,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65007,nus,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65007,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65007,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65007,rmsd,0.0842250771409639,0.07151171548690417,0.01271336165405973
B1_V1_Global50,B0_C0,65007,pre_relaxation_max_force,0.20547479391098022,0.36783021688461304,-0.1623554229736328
B1_V1_Global50,B0_C0,65008,e_hull,0.20364613648247776,0.28680647068536835,-0.0831603342028906
B1_V1_Global50,B0_C0,65008,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65008,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65008,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65008,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65008,rmsd,0.05961885188147089,0.3057979223689237,-0.24617907048745283
B1_V1_Global50,B0_C0,65008,pre_relaxation_max_force,0.5854469537734985,1.1992942094802856,-0.6138472557067871
B1_V1_Global50,B0_C0,65009,e_hull,0.3892631515197742,0.1017028086425853,0.2875603428771889
B1_V1_Global50,B0_C0,65009,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65009,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65009,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65009,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65009,rmsd,0.10407712752523568,0.02975667699868804,0.07432045052654764
B1_V1_Global50,B0_C0,65009,pre_relaxation_max_force,0.9038615226745605,0.332765132188797,0.5710963904857635
B1_V1_Global50,B0_C0,65010,e_hull,0.021977870621745055,0.05976134311686376,-0.03778347249511871
B1_V1_Global50,B0_C0,65010,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65010,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65010,novel,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65010,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65010,rmsd,0.0016117588289336281,0.00839745084263276,-0.0067856920136991315
B1_V1_Global50,B0_C0,65010,pre_relaxation_max_force,0.07764711230993271,0.10447023063898087,-0.026823118329048157
B1_V1_Global50,B0_C0,65011,e_hull,0.1162524446761708,0.14476277359374912,-0.02851032891757832
B1_V1_Global50,B0_C0,65011,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65011,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65011,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65011,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65011,rmsd,0.09778448232724869,0.024031852117856044,0.07375263020939266
B1_V1_Global50,B0_C0,65011,pre_relaxation_max_force,0.3477262258529663,0.5451765060424805,-0.19745028018951416
B1_V1_Global50,B0_C0,65012,e_hull,0.14280669745768293,0.14852389949923328,-0.005717202041550351
B1_V1_Global50,B0_C0,65012,stable,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65012,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65012,novel,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65012,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65012,rmsd,0.06965776959546963,0.041456576122912606,0.02820119347255702
B1_V1_Global50,B0_C0,65012,pre_relaxation_max_force,0.6384814977645874,0.28138744831085205,0.35709404945373535
B1_V1_Global50,B0_C0,65013,e_hull,0.06345188093261811,0.09789802752344734,-0.03444614659082923
B1_V1_Global50,B0_C0,65013,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65013,nus,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65013,novel,0.0,1.0,-1.0
B1_V1_Global50,B0_C0,65013,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65013,rmsd,0.0026180853058456574,0.019026720329645357,-0.0164086350237997
B1_V1_Global50,B0_C0,65013,pre_relaxation_max_force,0.02318769134581089,0.07146461308002472,-0.04827692173421383
B1_V1_Global50,B0_C0,65014,e_hull,0.07154417591089679,0.0714392717360921,0.0001049041748046875
B1_V1_Global50,B0_C0,65014,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65014,nus,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65014,novel,0.0,0.0,0.0
B1_V1_Global50,B0_C0,65014,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65014,rmsd,0.0021055646436887983,0.002064414494896734,4.115014879206439e-05
B1_V1_Global50,B0_C0,65014,pre_relaxation_max_force,0.018982699140906334,0.00990274827927351,0.009079950861632824
B1_V1_Global50,B0_C0,65015,e_hull,-0.02725542147216764,0.05086550237792942,-0.07812092385009706
B1_V1_Global50,B0_C0,65015,stable,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65015,nus,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65015,novel,1.0,0.0,1.0
B1_V1_Global50,B0_C0,65015,unique,1.0,1.0,0.0
B1_V1_Global50,B0_C0,65015,rmsd,0.03632158079209378,0.0020346024485453657,0.034286978343548415
B1_V1_Global50,B0_C0,65015,pre_relaxation_max_force,0.18823808431625366,0.036920465528964996,0.15131761878728867
B2_V2_Global50,B0_C0,65000,e_hull,0.14887273289550773,0.2182105039063602,-0.06933777101085248
B2_V2_Global50,B0_C0,65000,stable,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65000,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65000,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65000,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65000,rmsd,0.038119820818254456,0.06397255339087012,-0.02585273257261566
B2_V2_Global50,B0_C0,65000,pre_relaxation_max_force,0.24472980201244354,0.2741708755493164,-0.029441073536872864
B2_V2_Global50,B0_C0,65001,e_hull,0.10718178867548644,0.1593434256253614,-0.05216163694987497
B2_V2_Global50,B0_C0,65001,stable,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65001,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65001,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65001,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65001,rmsd,0.02681250945786961,0.08798622686308669,-0.06117371740521708
B2_V2_Global50,B0_C0,65001,pre_relaxation_max_force,0.3980916440486908,0.7314927577972412,-0.3334011137485504
B2_V2_Global50,B0_C0,65002,e_hull,-0.005912760444335419,0.06524279367920016,-0.07115555412353558
B2_V2_Global50,B0_C0,65002,stable,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65002,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65002,novel,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65002,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65002,rmsd,0.002214829846909659,0.04964934366115585,-0.04743451381424619
B2_V2_Global50,B0_C0,65002,pre_relaxation_max_force,0.023876065388321877,0.15262770652770996,-0.12875164113938808
B2_V2_Global50,B0_C0,65003,e_hull,0.16746554460186225,0.06911517929086486,0.09835036531099739
B2_V2_Global50,B0_C0,65003,stable,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65003,nus,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65003,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65003,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65003,rmsd,0.021892815470481705,0.02433187230865006,-0.002439056838168356
B2_V2_Global50,B0_C0,65003,pre_relaxation_max_force,0.31376534700393677,0.190921351313591,0.12284399569034576
B2_V2_Global50,B0_C0,65004,e_hull,0.14553949763020846,0.231977066672016,-0.08643756904180755
B2_V2_Global50,B0_C0,65004,stable,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65004,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65004,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65004,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65004,rmsd,0.02414201982952745,0.6745899969207836,-0.6504479770912561
B2_V2_Global50,B0_C0,65004,pre_relaxation_max_force,0.23983220756053925,3.366518974304199,-3.12668676674366
B2_V2_Global50,B0_C0,65005,e_hull,0.033188070627442556,0.13009585014648373,-0.09690777951904117
B2_V2_Global50,B0_C0,65005,stable,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65005,nus,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65005,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65005,unique,1.0,1.0,0.0
