method,seed,success,formula,num_atoms,guidance_schedule,coverage_target,checkpoint_sha256,adapter_checkpoint_sha256,timing_includes_teacher_recording,failure_return_code,failure_log_path,run_summary_path,structure_path,elapsed_seconds,time_per_sample,samples_per_hour,mattergen_score_calls,saved_score_calls,adapter_calls,adapter_accept_calls,adapter_acceptance_overall,adapter_acceptance_eligible,fallback_calls,adapter_coverage,second_forward_avoidance,forward_reduction,peak_allocated_bytes,adapter_seconds,exact_fallback_seconds,dagger_teacher_seconds,dagger_teacher_calls,late_exact_calls,early_reuse_calls,field_risk_fallback_calls
C0,66010,True,BaEu2(CuO2)3,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66010/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66010/generated_crystals.extxyz,114.24613513797522,114.24613513797522,31.510912781883388,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328158208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66011,True,Fe3Ru,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66011/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66011/generated_crystals.extxyz,113.48385279602371,113.48385279602371,31.72257472145093,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316137984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66012,True,EuFeF6,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66012/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66012/generated_crystals.extxyz,112.26147704012692,112.26147704012692,32.067990684936476,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286730752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66013,True,EuMn2GeP,5,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66013/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66013/generated_crystals.extxyz,120.95575421792455,120.95575421792455,29.76294946261029,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264457728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66014,True,Fe2CoIr,4,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66014/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66014/generated_crystals.extxyz,118.69934493000619,118.69934493000619,30.328726768650856,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257890304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66015,True,Cr2FeHO6,10,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66015/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66015/generated_crystals.extxyz,116.60242051607929,116.60242051607929,30.874144670981043,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302016512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66016,True,Fe2CoRu,4,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66016/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66016/generated_crystals.extxyz,112.97637639497407,112.97637639497407,31.865068741575886,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259383808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66017,True,ZnFe3H,10,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66017/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66017/generated_crystals.extxyz,113.83111524605192,113.83111524605192,31.62579925724536,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303209984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66018,True,EuGaH2,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66018/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66018/generated_crystals.extxyz,114.63432058296166,114.63432058296166,31.40420758541204,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286782464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66019,True,Eu7Pt2,9,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66019/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66019/generated_crystals.extxyz,120.04203752917238,120.04203752917238,29.989494297988195,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295481856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
