method,n,successful_n,seed_start,seed_end,generation_success_rate,elapsed_seconds_total,attempted_elapsed_seconds_total,elapsed_seconds_mean,elapsed_seconds_std,time_per_sample_mean,time_per_sample_std,samples_per_hour_mean,samples_per_hour_std,mattergen_score_calls_mean,mattergen_score_calls_std,saved_score_calls_mean,saved_score_calls_std,adapter_calls_mean,adapter_calls_std,adapter_accept_calls_mean,adapter_accept_calls_std,adapter_acceptance_overall_mean,adapter_acceptance_overall_std,adapter_acceptance_eligible_mean,adapter_acceptance_eligible_std,fallback_calls_mean,fallback_calls_std,adapter_coverage_mean,adapter_coverage_std,second_forward_avoidance_mean,second_forward_avoidance_std,forward_reduction_mean,forward_reduction_std,peak_allocated_bytes_mean,peak_allocated_bytes_std,adapter_seconds_mean,adapter_seconds_std,exact_fallback_seconds_mean,exact_fallback_seconds_std,dagger_teacher_seconds_mean,dagger_teacher_seconds_std,dagger_teacher_calls_mean,dagger_teacher_calls_std,late_exact_calls_mean,late_exact_calls_std,early_reuse_calls_mean,early_reuse_calls_std,field_risk_fallback_calls_mean,field_risk_fallback_calls_std,paired_speedup_mean,paired_speedup_std,paired_speedup_n
C0,8,8,66000,66007,1.0,949.9911567294039,949.9911567294039,118.74889459117549,3.025607321097733,118.74889459117549,3.025607321097733,30.33366101958618,0.7893136621323794,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297566464.0,24876018.439076345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
V1_Fallback50,8,8,66000,66007,1.0,742.681346944999,742.681346944999,92.83516836812487,7.637041993918159,92.83516836812487,7.637041993918159,39.01264318925844,3.261367805255036,1444.0,140.67185727277302,556.0,140.67185727277302,1000.0,0.0,556.0,140.67185727277302,0.556,0.14067185727277307,0.556,0.14067185727277307,444.0,140.67185727277302,0.556,0.14067185727277307,0.556,0.14067185727277307,0.278,0.07033592863638653,297008896.0,24841173.579277493,4.661718839837704,0.26745996209937906,24.669122968334705,7.571906881256962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2870717859218759,0.1144036217561611,8
V2_Frozen_Atomic75_Late30,8,8,66000,66007,1.0,699.0696871848777,699.0696871848777,87.38371089810971,5.473915476283161,87.38371089810971,5.473915476283161,41.33762306420128,2.5561858374522872,1385.875,81.78794444869523,614.125,81.78794444869523,700.0,0.0,614.125,81.78794444869523,0.614125,0.08178794444869522,0.8773214285714286,0.11683992064099316,385.875,81.78794444869523,0.614125,0.08178794444869522,0.614125,0.08178794444869522,0.3070625,0.04089397222434761,295794432.0,23403894.300897826,3.173118288483238,0.19749608680393624,21.229405524238246,4.763262865525163,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,85.875,81.78794444869523,1.362267487999486,0.06651312022837662,8
