epoch,train_normalized_loss,validation_normalized_mse,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine,weighted_pos_mse,weighted_pos_cosine,weighted_cell_mse,weighted_cell_cosine,weighted_atomic_numbers_mse,weighted_atomic_numbers_cosine
1,1.1307217144668102,1.3953408349535987,2205.1918770108473,0.3672484445351829,6.180443416418301,0.22434405461616222,3.9119846189821783,0.25409181599010544,3628.7093890411593,0.36745726724517813,10.259915018302422,0.21503282546999175,2.937976214345849,0.2434239177647093
2,1.1009237836748362,1.39860337910042,2203.5101727937626,0.3680659023626056,6.2455373472091225,0.186700972928308,3.8534615195596085,0.28227693758277833,3626.4315431770165,0.3681938613355377,10.381794858971542,0.1599376362989303,2.89038647943156,0.27466062567331784
3,1.09770315541327,1.3640628732102942,2196.57630779604,0.37214314786158664,5.935522544162141,0.2923616919214331,3.835843210610466,0.28943960972427046,3615.4383064035446,0.37202839174539887,9.870442068436597,0.27890627615654107,2.877262666062496,0.2819408078462741
4,1.0856458631902932,1.3624496262899835,2191.694369496931,0.3783652558757402,5.885455427332057,0.3052513344705912,3.9283064452122733,0.2650266428973687,3608.0744119797537,0.3779507798518071,9.786723732586639,0.2929463943943003,2.932148299344273,0.26298158863994
5,1.0899910560697317,1.3556235380940036,2180.703816412453,0.3799733777322118,5.909818914020641,0.29629228231356625,3.796363671087925,0.3059446392057618,3590.423354344019,0.37960095541881483,9.82941128104425,0.2798170291477229,2.849048057641517,0.2976278180400086
6,1.0833095942139626,1.354542549100899,2210.0767833546934,0.38718773864926687,5.851158276553369,0.3096325220847232,3.770764207144919,0.31409140270319,3639.7435039384823,0.38672186794623764,9.731561090532967,0.2942647629705372,2.826912371369747,0.3082131239203481
7,1.0737898311167955,1.3631119620260526,2164.734360255629,0.3903572449289806,6.0181672238061825,0.2657006978676472,3.8008394584112253,0.30233043820658356,3564.483689948572,0.3898315492138795,10.01113387278971,0.24800716845845946,2.8464308006030525,0.29789115909252384
8,1.071103701800108,1.3388510140660133,2159.9738001249048,0.3945780896722636,5.796217501978494,0.32763228597847127,3.794977483278195,0.304120597649908,3556.8567055784624,0.3940285723821089,9.6426259055644,0.3150645138251086,2.8439495414863467,0.29897520540304073
9,1.0737404247820377,1.47049906361604,2437.50128845977,0.37887580724789305,6.452720434229821,0.15298803961797827,3.7757384199461654,0.31165105125246473,4019.505621846378,0.3787317439155593,10.735769059668744,0.12486891274698218,2.8298237617355726,0.30642663214820826
10,1.0837642506211995,1.3734872492325307,2147.492139627348,0.39671280584542207,6.178524000817289,0.21700746706779256,3.7751091531929952,0.31397519802411183,3536.5594248904317,0.3960934075857197,10.277930122270007,0.1930515900944832,2.8184619407712153,0.314212419451994
11,1.0722390870451928,1.327525803472924,2139.2685040846723,0.40092038676168956,5.747254936646256,0.33590741916747147,3.7736987005923286,0.3126021627213853,3523.2130250820105,0.40024922439459065,9.559647937685906,0.3227956480832447,2.8268174548971667,0.30854874819290634
12,1.0898352716565132,1.3247538730551884,2136.030876912435,0.4033825211063428,5.736925244944791,0.34218271283224116,3.762828478288317,0.31657928205770863,3518.054312715117,0.4026669196171426,9.542350885989316,0.3304708152016342,2.815313328056148,0.31389320238822666
13,1.066943709909916,1.331012470571962,2144.5625199740184,0.40497731069807363,5.790551794872516,0.33448545001140073,3.740343862272409,0.3250922461485192,3532.4897858141107,0.40427834136059376,9.631618296813254,0.32386217608119944,2.7996110574648134,0.32213271749150707
14,1.0824491851329803,1.3267759331848412,2144.2457568025666,0.3991330485619531,5.75155141753662,0.34500005712537435,3.735414386409344,0.3271791974480219,3531.96090202161,0.3983481745925592,9.566735086932399,0.335160902665644,2.798243131105579,0.3234669032741774
15,1.066803922832012,1.3736459368186311,2135.0104338387123,0.40592335619837955,6.2248280488281615,0.28300138257582436,3.7339618602569367,0.32755058422661454,3516.7067517981036,0.4051400030378695,10.355315887160703,0.2685587352837102,2.7960513753613863,0.324179699723535
16,1.0618796315044166,1.3352389990193128,2134.2323449999803,0.40381702933821356,5.854865394767374,0.3154039682731356,3.7373536071961584,0.32628707593559614,3515.626063129831,0.4029864347771746,9.738377814382417,0.30249984643251054,2.798715115967632,0.32235238454364323
17,1.0604667235463858,1.3282310488330302,2178.6982350097596,0.39667415992815286,5.694526820076009,0.34977627384764076,3.7253647614004417,0.33037970140813927,3589.849095801764,0.3959589987953016,9.470964734929234,0.3379411424078354,2.7904147154503973,0.3265127413091532
18,1.0567399135679008,1.3172586675755802,2125.9214554363034,0.407589240563976,5.707202979397029,0.343675558976268,3.731170230661893,0.3289756061486934,3501.9225926280214,0.40672776552731515,9.491554249386233,0.33050342063193716,2.7907885402693875,0.3270133778546459
19,1.0558570236861706,1.3545667802542818,2127.605262400309,0.4064333483499953,6.070409739402847,0.24965011018574768,3.7148212446421423,0.33415905043236455,3504.8129889225766,0.4055381593865252,10.096726552015516,0.2296237314613539,2.7808127013145607,0.3310338097326557
20,1.067824643328786,1.3539517594534065,2138.1059873491613,0.4051099070798162,6.021105140820145,0.26370256091388955,3.7632266803180445,0.3207259442740992,3522.50863596084,0.40422806579706194,10.015183303766126,0.24489081354181227,2.8044592965003288,0.3225470535786266
