trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
910,oracle_stable_quality,0.06251374398483389,0.05143208575996573,0.828125,0.5,1.0,1.0,0.609375,0.921875,1.0,-0.07614774879097466,-0.46272178182945944,0.421875,0.265625
910,oracle_nus_quality,0.07366830372030791,0.04787987859447042,0.828125,0.65625,1.0,1.0,0.828125,0.9375,1.0,-0.06499318905550064,-0.49982942598289803,0.421875,0.421875
911,baseline_first,0.14354474673147655,0.0533519432834261,0.46875,0.21875,0.84375,1.0,0.6875,0.953125,1.0,0.0,0.0,0.0,0.0
911,oracle_min_ehull,0.0593457266896273,0.021140827710768712,0.875,0.4375,1.0,1.0,0.5625,0.9375,1.0,-0.08419902004184925,-0.603747747322708,0.40625,0.21875
911,oracle_min_rmsd,0.08825392882166119,0.006096732746034629,0.65625,0.234375,1.0,1.0,0.484375,0.921875,1.0,-0.055290817909815354,-0.885726135341567,0.1875,0.015625
911,oracle_stable_quality,0.0593457266896273,0.021140827710768712,0.875,0.4375,1.0,1.0,0.5625,0.9375,1.0,-0.08419902004184925,-0.603747747322708,0.40625,0.21875
911,oracle_nus_quality,0.06715315753684996,0.027456413585379435,0.875,0.65625,1.0,1.0,0.78125,0.96875,1.0,-0.07639158919462659,-0.48537181786387096,0.40625,0.4375
912,baseline_first,0.14301945327179993,0.04588592888822125,0.453125,0.234375,0.859375,1.0,0.65625,0.921875,1.0,0.0,0.0,0.0,0.0
912,oracle_min_ehull,0.06041844777369536,0.021019427276370253,0.859375,0.453125,1.0,1.0,0.546875,0.921875,1.0,-0.08260100549810458,-0.5419199788332962,0.40625,0.21875
912,oracle_min_rmsd,0.10830082170098787,0.005950554801687033,0.625,0.21875,1.0,1.0,0.515625,0.890625,1.0,-0.034718631570812064,-0.8703185280136169,0.171875,-0.015625
912,oracle_stable_quality,0.06041844777369536,0.021019427276370253,0.859375,0.453125,1.0,1.0,0.546875,0.921875,1.0,-0.08260100549810458,-0.5419199788332962,0.40625,0.21875
912,oracle_nus_quality,0.06541011125885311,0.04431325206014069,0.859375,0.59375,1.0,1.0,0.734375,0.96875,1.0,-0.07760934201294682,-0.03427361864922962,0.40625,0.359375
913,baseline_first,0.16137156825278345,0.08034893233236699,0.34375,0.171875,0.859375,1.0,0.734375,0.953125,1.0,0.0,0.0,0.0,0.0
913,oracle_min_ehull,0.06176701392491214,0.05147776888454727,0.84375,0.453125,1.0,1.0,0.546875,0.96875,1.0,-0.09960455432787131,-0.3593223034799373,0.5,0.28125
