seed,gate_confidence,gate_on,c0_max_force,e3g_max_force,force_gain,spearman_rho,spearman_p
40000,0.308567377288957,False,0.0435168295016891,0.0435168715508086,-4.204911949884371e-08,0.37542200732433045,5.440778131205153e-10
40001,0.5028613563253412,True,0.3633457287587006,0.3466608312713276,0.016684897487373007,0.37542200732433045,5.440778131205153e-10
40002,0.9782834653693858,True,0.0277001002903104,0.0234407215407731,0.004259378749537298,0.37542200732433045,5.440778131205153e-10
40003,0.9080629442526432,True,0.3152022898947454,0.2798311324513445,0.035371157443400914,0.37542200732433045,5.440778131205153e-10
40004,0.971784496464344,True,0.038761978993788,0.0477916977882136,-0.0090297187944256,0.37542200732433045,5.440778131205153e-10
40005,0.8925125992589624,True,0.0861209245302652,0.0852249073726796,0.0008960171575855963,0.37542200732433045,5.440778131205153e-10
40006,0.931873499548729,True,0.0806513172310036,0.0640272255659003,0.0166240916651033,0.37542200732433045,5.440778131205153e-10
40007,0.005783193452607,False,0.0466071282154513,0.0466063876765129,7.405389383999261e-07,0.37542200732433045,5.440778131205153e-10
40008,0.8379986904206073,True,0.0819497061410838,0.072750186815931,0.009199519325152797,0.37542200732433045,5.440778131205153e-10
40009,0.1119758477274674,False,0.0494847174704753,0.049485225757156,-5.082866806963016e-07,0.37542200732433045,5.440778131205153e-10
40010,0.0681481761714538,False,0.0377530898544384,0.0377532528581862,-1.6300374779815163e-07,0.37542200732433045,5.440778131205153e-10
40011,0.907727368125334,True,0.0545215032678923,0.1610750764536177,-0.10655357318572542,0.37542200732433045,5.440778131205153e-10
40012,0.6413429823777773,True,0.188239630297881,0.1890655260423975,-0.0008258957445165249,0.37542200732433045,5.440778131205153e-10
40013,0.5021117883958977,True,0.1137804164117546,0.1048350906488418,0.008945325762912792,0.37542200732433045,5.440778131205153e-10
40014,0.5948117938598857,True,0.0052137777708655,0.0047027732005539,0.0005110045703115998,0.37542200732433045,5.440778131205153e-10
40015,0.8686738037918926,True,0.2972886031665158,0.3300139638303014,-0.03272536066378562,0.37542200732433045,5.440778131205153e-10
40016,0.1857618964330877,False,0.4284057216906876,0.428406134369972,-4.126792844116878e-07,0.37542200732433045,5.440778131205153e-10
40017,0.9827588717146994,True,0.4857422929854494,0.2477243317186857,0.23801796126676372,0.37542200732433045,5.440778131205153e-10
40018,0.2596042569999757,False,0.112912872143033,0.1129125505103967,3.216326363020272e-07,0.37542200732433045,5.440778131205153e-10
40019,0.38621079777729,False,0.0892522715874585,0.0892521308593471,1.4072811140020125e-07,0.37542200732433045,5.440778131205153e-10
40020,0.95632568870993,True,0.3300862630621138,0.3449386218373746,-0.01485235877526081,0.37542200732433045,5.440778131205153e-10
40021,0.1231370601616929,False,0.1765484868627135,0.1765484750594146,1.1803298893831027e-08,0.37542200732433045,5.440778131205153e-10
40022,0.9625970411304215,True,0.0772120273798153,0.0862789817422456,-0.009066954362430296,0.37542200732433045,5.440778131205153e-10
40023,0.9885244987353776,True,0.1001318829876671,0.0752772378553546,0.024854645132312503,0.37542200732433045,5.440778131205153e-10
40024,0.4276309680226393,False,0.0197432874797019,0.0197437079211089,-4.204414069987339e-07,0.37542200732433045,5.440778131205153e-10
