seed,c0_max_force,e3a_max_force,e3g_max_force,gate_on,exact_fallback
40000,0.0435168295016891,0.054507383450392,0.0435168715508086,False,True
40001,0.3633457287587006,0.346660183907486,0.3466608312713276,True,False
40002,0.0277001002903104,0.0234407799023443,0.0234407215407731,True,False
40003,0.3152022898947454,0.2798295470863658,0.2798311324513445,True,False
40004,0.038761978993788,0.0477909324931767,0.0477916977882136,True,False
40005,0.0861209245302652,0.0852230311776422,0.0852249073726796,True,False
40006,0.0806513172310036,0.0640213357780599,0.0640272255659003,True,False
40007,0.0466071282154513,0.0166890764048834,0.0466063876765129,False,True
40008,0.0819497061410838,0.0727499972498026,0.072750186815931,True,False
40009,0.0494847174704753,0.0386446396927565,0.049485225757156,False,True
40010,0.0377530898544384,0.0345660037241849,0.0377532528581862,False,True
40011,0.0545215032678923,0.1610753706073854,0.1610750764536177,True,False
40012,0.188239630297881,0.1890649802930866,0.1890655260423975,True,False
40013,0.1137804164117546,0.1048351012339533,0.1048350906488418,True,False
40014,0.0052137777708655,0.0047005454500922,0.0047027732005539,True,False
40015,0.2972886031665158,0.3300137111978202,0.3300139638303014,True,False
40016,0.4284057216906876,0.58816464170938,0.428406134369972,False,True
40017,0.4857422929854494,0.2477210260961627,0.2477243317186857,True,False
40018,0.112912872143033,0.1248193020633283,0.1129125505103967,False,True
40019,0.0892522715874585,0.0803363834668954,0.0892521308593471,False,True
40020,0.3300862630621138,0.3449368368000605,0.3449386218373746,True,False
40021,0.1765484868627135,0.1681224189977047,0.1765484750594146,False,True
40022,0.0772120273798153,0.0862781530946123,0.0862789817422456,True,False
40023,0.1001318829876671,0.0752772920275687,0.0752772378553546,True,False
40024,0.0197432874797019,0.0236505832151757,0.0197437079211089,False,True
40025,0.1122995215082351,0.0976966509553303,0.0976969309067548,True,False
40026,0.2770941739978289,0.2896089484627536,0.289609503086031,True,False
40027,0.2505322947937914,0.2441951238013853,0.2441960856432952,True,False
40028,0.1863642389519597,0.1843448605866458,0.1843457244069295,True,False
40029,0.0516357424684915,0.0492047328994772,0.0492053417026854,True,False
40030,0.1550873186433854,0.1646939417921778,0.1646939290552837,True,False
40031,0.040903204425627,0.0524924369076287,0.0409028199080592,False,True
40032,0.145929161649701,0.1355051915330108,0.1459293486474428,False,True
40033,0.2365317244648334,0.201530791079137,0.2015299833222397,True,False
40034,0.2137216407849771,0.2275191981427752,0.2275164394833943,True,False
40035,0.066651085873554,0.0149398905271417,0.0149404160679575,True,False
40036,0.971332436879817,0.7843952025404147,0.7843947515454025,True,False
40037,0.714860454158644,0.5195900302811045,0.7148601592407987,False,True
40038,0.0082569189652045,0.0076892473097473,0.0082568933428945,False,True
40039,0.9122853442815502,0.4484155241781373,0.4484348785680691,True,False
40040,0.4087847195261517,0.3043565758730768,0.4087847494757458,False,True
40041,0.1301782015129586,0.1145459433044902,0.1145463724300658,True,False
40042,0.3024205859710564,0.256609969004149,0.2566093778852012,True,False
40043,0.1072258827698018,0.0914351446595651,0.1072266486077888,False,True
40044,0.6174260117855039,0.6458919648832968,0.6458908669739559,True,False
40045,0.1658104479913522,0.1471644217629494,0.165810603495338,False,True
40046,0.3751889030519675,0.3342227090864257,0.3751886197872714,False,True
40047,0.8999487647023761,0.8177335094684328,0.8177339447724302,True,False
40048,0.0774403230939118,0.054864986932173,0.0548645592007508,True,False
40049,0.2870065809996485,0.1611690166711715,0.1612122158654661,True,False
40050,0.2313089323903688,0.2057682796489855,0.2057684013276178,True,False
40051,0.022948700755638,0.0209548251135097,0.0209548810251105,True,False
40052,0.3400654571234955,0.2519563768323781,0.2519574861497501,True,False
40053,0.2088867177165284,0.1432402840413137,0.208886543311588,False,True
40054,0.0424253827911361,0.0276333049884404,0.0424253931782116,False,True
40055,0.229798215758171,0.2784941169633567,0.2784937922126221,True,False
40056,0.2845401282697279,0.2836981101557186,0.2845411460434006,False,True
40057,0.2500186820059971,0.2325213744043488,0.2325233563712172,True,False
40058,0.1300346014165267,0.1509261826054543,0.1509232657376154,True,False
40059,0.216624580996958,0.1948004919098204,0.1948008580689842,True,False
40060,0.2218557424730206,0.2345539141029329,0.2218564255534038,False,True
40061,0.0123690477543023,0.0108499963477752,0.0108496888020949,True,False
40062,0.4767113155433012,0.4678476377878957,0.4678472320028562,True,False
40063,0.2077874575914105,0.2239751757747646,0.2239735655076935,True,False
40064,0.655239609682242,0.3402813889377029,0.3402812116855543,True,False
40065,0.0363915143214577,0.0269378298769481,0.0269370322786527,True,False
40066,0.035435721167292,0.0322417114869905,0.0322415522878617,True,False
40067,0.1317752255654396,0.1206670542786233,0.1206665370969013,True,False
40068,0.9269635698668036,0.703822357338104,0.9269639346439188,False,True
