cohort,seed_range,n,mean_difference,ci_low,ci_high,relative_change,p_value
Cohort 1,41000–41063,64,-0.0588853179104311,-0.0923413083993804,-0.0297539475598033,-0.2709842977928487,7.73986718896914e-05
Cohort 2,50000–50063,64,-0.0504499018047,-0.1022127402273131,-0.0106962584194155,-0.19017613183171514,0.0005873765238793
