architecture,trainable_params,steps,batch_size,learning_rate,first_50_train_loss_mean,last_50_train_loss_mean,last_50_atomic_loss_mean,last_50_pos_loss_mean,last_50_cell_loss_mean,final_validation_loss,final_validation_atomic_loss,final_validation_pos_loss,final_validation_cell_loss,all_losses_finite,zero_init_passed,frozen_parameters_unchanged,changed_adapter_state_entries,adapter_state_entries,mean_step_seconds,elapsed_seconds,peak_cuda_memory_mb,final_parameter_norm,checkpoint_sha256
MLP,1090936,1000,16,0.0001,0.2772494721412659,0.2975552144646645,0.11074009135365487,1.7689246869087218,0.009922649059444667,0.2903814036399126,0.10190047603100538,1.7846110090613365,0.010019813576946035,True,True,True,8,8,0.04534144983557053,54.272948995931074,1223.8486328125,30.965164184570312,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78
Transformer,1089924,1000,16,0.0001,0.27742085605859756,0.2977410998940468,0.11069165542721748,1.7706125116348266,0.009988195039331913,0.29124175757169724,0.1019936054944992,1.791699767112732,0.010078170074848458,True,True,True,29,30,0.04893769383104518,57.918557584052905,1228.908203125,50.27596664428711,4f8ba858f690ed6c7dc4a763843cc0e9b64445569a34e0658bd05ec55ff5956c
