method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,force_p95_ev_per_a,force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_max
C0,8,1.0,1.0,False,0.1352988586440732,0.10001641701670838,0.3129908032360237,0.39667181440971255,0.5,0.125,0.625,1.0,0.036992443892818604,0.01531657885070948,0.12221762159504403,0.13384455619587513,0.23085199469620335,0.17263715825313797,0.6517784274302664,0.37317809971713495,3.6773266861834752,62.375,200
MLP,8,1.0,1.0,False,0.05526391914407491,0.029016633261881086,0.15690061918721523,0.17969536869892977,0.75,0.5,0.75,1.0,0.03551210893219907,0.023779434965029662,0.07822636625497709,0.08663887505926669,0.2195287474133745,0.17755770556427133,0.34786188131662615,0.709209443926103,0.9696451139276221,43.625,104
Transformer,8,1.0,1.0,False,0.07278758033093913,0.06577678241899143,0.15755514515028743,0.16924749787110205,0.75,0.625,0.875,1.0,0.11867522279501577,0.042822591305892437,0.4452814532389512,0.584502018696846,0.19290349889081185,0.17547784592152138,0.31338303922479327,0.5195805149923846,0.6980608742321347,166.75,884
