atomic_numbers_unchanged,converged,elapsed_seconds,finished_at,frozen_a0_relax_reused,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_path,pid,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,minimum_distance_angstrom,chgnet_energy_per_atom_ev
True,True,2.0628288550069556,2026-07-26T23:39:57+08:00,False,-72.6701889038086,-7.267018890380859,0.5227168694973244,0.01605192733688029,4c0987e47dc99da96b24ce8cf2538b2c05b01ac5ded5204e1a62ebf2807f2995,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20010.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20010,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20010/relaxed_structure.extxyz,901765,10,56,-72.75135803222656,-7.275135803222656,0.048677198588848114,20010,2026-07-26T23:39:54+08:00,success,pos_1_20010,0.19227117254396298,0.057711333745528615,False,True,True,True,True,1.3404455255112484,-7.375024795532227
True,True,0.35811701603233814,2026-07-26T23:39:55+08:00,False,-42.567989349365234,-8.513597869873047,0.008321765768315672,0.009569240846293868,028c98c0a11854d7974bc09fe19d366011e4c84b85eb45e289ac46ee30607c58,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20011.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20011,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20011/relaxed_structure.extxyz,901766,11,3,-42.57560348510742,-8.515120697021484,0.007981105707585812,20011,2026-07-26T23:39:55+08:00,success,pos_1_20011,0.09888380138019137,0.0016648135778079055,True,False,True,False,True,2.5515800733053307,-8.624491691589355
True,True,1.1819083169684745,2026-07-26T23:39:56+08:00,False,-63.102115631103516,-7.8877644538879395,0.12318955136866741,0.004192114091176663,17a49b389a1c7c3f143b55e8ed39e89fcc1c2241c4a7a8fff3bd47d65ecb3152,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20012.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20012,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20012/relaxed_structure.extxyz,901767,12,30,-63.132171630859375,-7.891521453857422,0.047623537480831146,20012,2026-07-26T23:39:55+08:00,success,pos_1_20012,0.03254810177889311,0.06091506479793222,True,True,True,True,True,2.8875423383322825,-7.883738040924072
True,True,0.4828017329564318,2026-07-26T23:39:55+08:00,False,-32.83195495605469,-8.207988739013672,0.011244829485252959,0.029642664899464932,3efaf1825fdcbb0e18ce87d719c17f80cbcfbccea07cb06ad8c0a37f23113d75,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20013.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20013,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20013/relaxed_structure.extxyz,901768,13,8,-32.8402214050293,-8.210055351257324,0.008360445499420166,20013,2026-07-26T23:39:54+08:00,success,pos_1_20013,0.012620858196886076,0.0006732817429834558,True,True,True,False,True,2.6611465816037083,-8.160247802734375
True,True,1.0157824530033395,2026-07-26T23:39:56+08:00,False,-117.88145446777344,-6.5489696926540795,0.16722458583164485,0.004849030906959008,64c06fa3d2a434084241eb1951e95dd6863d6a0fdaf2425ccbaacdee67c1a0a9,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20014.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20014,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20014/relaxed_structure.extxyz,901769,14,25,-117.89449310302734,-6.549694061279297,0.03274819999933243,20014,2026-07-26T23:39:55+08:00,success,pos_1_20014,0.1648572555200385,0.01696164967423564,False,True,True,True,True,1.88019868046768,-7.445672035217285
True,True,1.2889477189746685,2026-07-26T23:39:56+08:00,False,-179.2426300048828,-8.96213150024414,0.3047255522740266,0.0030849377545503357,1ffca8e59b1b663fc1011ee0c41126d3b619a7c095ef5df103d62a4d1808cd7c,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20015.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20015,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20015/relaxed_structure.extxyz,901770,15,35,-179.272216796875,-8.96361083984375,0.04322849586606026,20015,2026-07-26T23:39:55+08:00,success,pos_1_20015,0.22386423119172072,0.015309948217511504,False,True,True,True,True,2.111535787439488,-9.390765190124512
True,True,0.6173449800116941,2026-07-26T23:39:56+08:00,False,-59.738433837890625,-7.467304229736328,0.08817679761854426,0.018333656287130698,e2c9dad63993e073b8d8bcf9e885122851216030cb012db2174de82ae84698fb,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20016.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20016,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20016/relaxed_structure.extxyz,901755,0,20,-59.742244720458984,-7.467780590057373,0.04863906651735306,20016,2026-07-26T23:39:56+08:00,success,pos_1_20016,0.008107152111429983,0.0029077295073743556,True,False,True,True,True,2.316710362648021,-7.41411828994751
True,True,2.7060907509876415,2026-07-26T23:39:58+08:00,False,-116.19076538085938,-6.4550425211588545,0.42218633780037473,0.009498763469809627,023f40de453a2e075e6fdf524afb1b680206a68fd4434d63e8287f8f1361403d,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20017.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20017,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20017/relaxed_structure.extxyz,901756,1,90,-116.28671264648438,-6.4603729248046875,0.04616297036409378,20017,2026-07-26T23:39:56+08:00,success,pos_1_20017,0.2735971683070213,0.05197076327905564,False,True,True,True,True,1.8672988739373084,-7.434216022491455
True,True,2.392267321993131,2026-07-26T23:39:57+08:00,False,-114.3284912109375,-7.145530700683594,0.5279595283224457,0.010681819271892073,cf1fca1264ca96ef107686740fc32c77df25641001ac764eeb186840ebbff00e,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20018.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20018,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20018/relaxed_structure.extxyz,901757,2,76,-114.39308166503906,-7.149567604064941,0.04964793473482132,20018,2026-07-26T23:39:54+08:00,success,pos_1_20018,0.21469808944354618,0.04171078912155774,False,True,True,True,True,1.987379264786437,-8.135480880737305
True,True,2.064486160990782,2026-07-26T23:39:59+08:00,False,-90.12035369873047,-7.510029474894206,0.20791215677633704,0.015804619029323133,584f925d5d8f8f69ce6a3893ebc82a7948fca61730c6335935be77b8879e6855,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20019.extxyz,pos_1,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20019,/data/dxl/results/rp_qtfg/phase0/offline_relax/pos_1/20019/relaxed_structure.extxyz,901758,3,62,-90.22135925292969,-7.518446604410808,0.038120023906230927,20019,2026-07-26T23:39:57+08:00,success,pos_1_20019,0.09867263041282648,0.07589272507050876,True,True,True,False,True,2.4185578987624163,-7.485789775848389
