atomic_numbers_unchanged,converged,elapsed_seconds,finished_at,frozen_a0_relax_reused,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_path,pid,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,minimum_distance_angstrom,chgnet_energy_per_atom_ev
True,True,0.6338849170133471,2026-07-26T23:39:54+08:00,True,-72.64582061767578,-7.2645820617675785,1.1404196404071576,0.020377622203456947,28eeea304f262f642ad96cb080f2d0f7c85c88d67239a9adc051be47fba8f006,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20010.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20010,/data/dxl/results/formal_256/relaxed/A0/20010/relaxed_structure.extxyz,901765,10,65,-72.75391387939453,-7.275391387939453,0.04343092441558838,20010,2026-07-26T23:39:53+08:00,success,baseline_20010,0.1919879846777519,0.0644647451388795,False,True,True,True,True,1.3213170728002213,-7.372988700866699
True,True,0.4520552899921313,2026-07-26T23:39:54+08:00,True,-42.567989349365234,-8.513597869873047,0.008872736656214039,0.009569167285278112,02cd486cbbcf038fa5e52e6cf301e98c5b1e3c84e79e338971b6cf9975b95cdd,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20011.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20011,/data/dxl/results/formal_256/relaxed/A0/20011/relaxed_structure.extxyz,901766,11,3,-42.575599670410156,-8.515119934082032,0.00849391520023346,20011,2026-07-26T23:39:54+08:00,success,baseline_20011,0.0988846467171047,0.0017226031839222,True,False,True,False,True,2.5515139799715896,-8.624490737915039
True,True,0.43783480499405414,2026-07-26T23:39:54+08:00,True,-63.10216522216797,-7.887770652770996,0.12556271073851466,0.0042153250208204224,fbbf770d7682175fcbc322b73047c9e7f5ecd043e6022e8dd49dfafdf8894205,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20012.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20012,/data/dxl/results/formal_256/relaxed/A0/20012/relaxed_structure.extxyz,901767,12,30,-63.13217544555664,-7.89152193069458,0.047351352870464325,20012,2026-07-26T23:39:54+08:00,success,baseline_20012,0.0325475734433222,0.0607286703662664,True,True,True,True,True,2.889450439283141,-7.883596897125244
True,True,0.7312248750240542,2026-07-26T23:39:54+08:00,True,-32.83195495605469,-8.207988739013672,0.011575032988591792,0.029642680376371786,188e83f8109cdfb72a49c3745fa55fe1328822f80c0368bed92b3a62db3e1b37,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20013.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20013,/data/dxl/results/formal_256/relaxed/A0/20013/relaxed_structure.extxyz,901768,13,8,-32.84022521972656,-8.21005630493164,0.00859653390944004,20013,2026-07-26T23:39:53+08:00,success,baseline_20013,0.0126198015257426,0.0007070240798019,True,True,True,False,True,2.661096962961221,-8.160247802734375
True,True,0.45025842502946034,2026-07-26T23:39:54+08:00,True,-117.88020324707031,-6.5489001803927955,0.18784957241173791,0.004795003809200795,7021ecead2eb5458d0e8c78a16f3e37d86319d7634d141c91cfcb369558a718d,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20014.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20014,/data/dxl/results/formal_256/relaxed/A0/20014/relaxed_structure.extxyz,901769,14,24,-117.89424896240234,-6.5496804979112415,0.04115181788802147,20014,2026-07-26T23:39:54+08:00,success,baseline_20014,0.1648722837318441,0.0159608994509953,False,True,True,True,True,1.8841873097576252,-7.44553279876709
True,True,0.43628987699048594,2026-07-26T23:39:54+08:00,True,-179.21775817871094,-8.960887908935547,0.41610627131272737,0.0026903426256523234,9000b23dc43672cf586332883cee56e6cdc7e381508cdace53588503933f513c,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20015.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20015,/data/dxl/results/formal_256/relaxed/A0/20015/relaxed_structure.extxyz,901770,15,33,-179.2734832763672,-8.963674163818359,0.04392973706126213,20015,2026-07-26T23:39:54+08:00,success,baseline_20015,0.2237940682278534,0.0225474218466024,False,True,True,True,True,2.1038328137616684,-9.387959480285645
True,True,0.03664649400161579,2026-07-26T23:39:54+08:00,True,-59.73882293701172,-7.467352867126465,0.06805254742946501,0.01828624781657303,62ba66af977c63e3810e4d89fadacb993f6f457ca5ec2cf28590c587053fcb00,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20016.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20016,/data/dxl/results/formal_256/relaxed/A0/20016/relaxed_structure.extxyz,901755,0,12,-59.74231719970703,-7.467789649963379,0.04629160091280937,20016,2026-07-26T23:39:54+08:00,success,baseline_20016,0.0080971137355749,0.002352818292475,True,False,True,True,True,2.319244759135515,-7.413801670074463
True,True,0.04395320697221905,2026-07-26T23:39:54+08:00,True,-116.1834716796875,-6.454637315538195,0.44811941434101527,0.009812692203016534,14276819ac69d980ed0107dc136b192f826c45ec76780f8f8fe44c19bd118b32,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20017.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20017,/data/dxl/results/formal_256/relaxed/A0/20017/relaxed_structure.extxyz,901756,1,81,-116.28750610351562,-6.460417005750868,0.03977152705192566,20017,2026-07-26T23:39:54+08:00,success,baseline_20017,0.2735483266186547,0.0547291922568365,False,True,True,True,True,1.865294127618859,-7.43381404876709
True,True,0.3085685850237496,2026-07-26T23:39:53+08:00,True,-114.32360076904297,-7.1452250480651855,0.5838450467100464,0.011441893435403284,6b3746823eef609fef192b0d9da2aad4dc6c6acdebeab3d7d4663aaeb26706d7,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20018.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20018,/data/dxl/results/formal_256/relaxed/A0/20018/relaxed_structure.extxyz,901757,2,68,-114.3921890258789,-7.149511814117432,0.04935871809720993,20018,2026-07-26T23:39:53+08:00,success,baseline_20018,0.2147599047053869,0.0402790533616029,False,True,True,True,True,1.9930089418900216,-8.135124206542969
True,True,0.03176682302728295,2026-07-26T23:39:54+08:00,True,-90.12014770507812,-7.510012308756511,0.2178524895736502,0.016046871470063586,476224f4251dc1c36bd6f3011c47fb73407c13082c49a19f2b7d4c229fdb5fb7,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20019.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20019,/data/dxl/results/formal_256/relaxed/A0/20019/relaxed_structure.extxyz,901758,3,63,-90.22137451171875,-7.5184478759765625,0.0379340834915638,20019,2026-07-26T23:39:54+08:00,success,baseline_20019,0.0986712215179697,0.0753506535401909,True,True,True,False,True,2.4180064580359133,-7.485598564147949
