method,n,initial_energy_per_atom_mean,initial_max_force_mean,relaxation_rmsd_mean,average_ehull,stable_rate,composition_validity,structure_validity,convergence_rate,severe_short_bond_count
baseline,64,-7.604624913419995,0.2494885506724715,0.059183136472292286,0.1340949428632926,0.53125,0.859375,1.0,0.984375,0
pos_1,64,-7.604838705323045,0.2118619872433003,0.05912981890645772,0.13407186172716434,0.53125,0.859375,1.0,0.984375,0
pos_3,64,-7.605008640672478,0.19445784898484045,0.058808245960354256,0.1340824869328858,0.53125,0.859375,1.0,0.984375,0
pos_5,64,-7.605068695072144,0.18952476309683344,0.05840787353878121,0.13410352239351667,0.53125,0.859375,1.0,0.984375,0
poscell_1,64,-7.605006369120545,0.21053937924129418,0.05882852923250267,0.13408488753143052,0.53125,0.859375,1.0,0.984375,0
poscell_3,64,-7.6054408229296175,0.192682141366532,0.05799276163119155,0.1340896510688867,0.53125,0.859375,1.0,0.984375,0
