atomic_numbers_unchanged,config_id,converged,elapsed_seconds,finished_at,frozen_a0_relax_reused,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,output_dir,output_path,pid,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,generation_success,generation_elapsed_seconds,generation_composition_valid,generation_structure_valid,initial_state_hash,minimum_distance_angstrom,chgnet_forward_count,chgnet_backward_count,backtracking_count,fallback_count,conflict_count,clipping_count,eligible_calls,guided_calls,atomic_numbers_modified,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique
True,G1_P60_M,True,1.2001311489730142,2026-07-27T00:14:47+08:00,False,-68.86021423339844,-6.260019475763494,0.4360502834393389,0.0209559132469921,c6f4ab26f04218ac17ec9ec4e885be7714e8c5ea0a2166c272671582303db3e7,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22000/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22000,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22000/relaxed_structure.extxyz,937213,0,44,-68.9260482788086,-6.2660043889826,0.0452262498438358,22000,2026-07-27T00:14:46+08:00,success,G1_P60_M_22000,True,114.19923036498948,False,True,f4029523655b190814e4aa0065b5436b383d21fa0ca79e4f173c59f0c930f8cb,1.9530909952470843,1580,1580,0,76,66,2,800,724,False,0.5328707538509168,0.0369310669188127,False,False,True,True,True
True,G1_P60_M,True,2.6963212930131704,2026-07-27T00:14:47+08:00,False,-129.02044677734375,-10.75170389811198,0.4882823621643043,0.0178861246650481,9b356e9f6da6657390028ce6ba7faec38745bf79aafa6467024b55bddbae9d6a,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22001/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22001,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22001/relaxed_structure.extxyz,937214,1,105,-129.07847595214844,-10.756539662679035,0.0475654043257236,22001,2026-07-27T00:14:45+08:00,success,G1_P60_M_22001,True,113.59933711896883,True,True,2630450e8a199e65c060b1c593dc25e68b57d3b9f13a1571c59419bd20b8cb88,1.4264535380486183,1596,1596,0,346,344,554,800,454,False,0.1636878422524574,0.0531944392490909,False,True,True,True,True
True,G1_P60_M,True,3.9641666800016537,2026-07-27T00:14:49+08:00,False,-83.73090362548828,-6.977575302124023,0.9032485093586172,0.0739790488561879,6d5db049690970d29f229187e3d9028ad85ba5cdf6e8824bf5627f48adc036fc,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22002/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22002,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22002/relaxed_structure.extxyz,937215,2,162,-86.07605743408203,-7.173004786173503,0.0461464039981365,22002,2026-07-27T00:14:45+08:00,success,G1_P60_M_22002,True,102.70477047399618,False,True,89906dac04fa92cdb842d9aab4bd1955e40e47f42f14e50e8e2fbf66d9c78dcb,2.667871308815279,1490,1490,0,240,181,20,800,560,False,0.0978677495272597,0.554340646233607,True,False,True,True,True
True,G1_P60_M,True,8.246751872007735,2026-07-27T00:14:54+08:00,False,-164.0976104736328,-9.116533915201822,0.3203804302534779,0.0091018952562484,485e93897519aefde19dab1351050fc3345e3b384b58a791648ae5119990c95b,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22003/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22003,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22003/relaxed_structure.extxyz,937216,3,405,-164.8063507080078,-9.1559083726671,0.0472322180867195,22003,2026-07-27T00:14:46+08:00,success,G1_P60_M_22003,True,118.6650162320002,True,True,12faca051c6b500d49861675885f8cc7c2548003156ec28af19a5673388c1007,2.212066290651963,1600,1600,0,120,120,0,800,680,False,0.058801465891527,0.3842024216498286,True,True,True,True,True
True,G1_P60_M,True,0.5681357170105912,2026-07-27T00:14:45+08:00,False,-41.63268280029297,-5.204085350036621,0.1837815764447924,0.0085942130473267,de02b185f8e18a523b01fd49bf5976b1c73f91eb94b56c5c84a299b96d6e12f0,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22004/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22004,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22004/relaxed_structure.extxyz,937217,4,21,-41.68714904785156,-5.210893630981445,0.0321330092847347,22004,2026-07-27T00:14:44+08:00,success,G1_P60_M_22004,True,90.80104648397536,True,True,84abf35c7cb75293233236a88bf89b9f07dc7e1d9db8ecccaf1e96c1f576a08e,3.179519644318681,1410,1410,0,103,8,0,800,697,False,0.0234707158225591,0.0712112894300778,True,True,True,False,True
True,G1_P60_M,True,0.1372431489871814,2026-07-27T00:14:44+08:00,False,-26.175865173339844,-6.543966293334961,0.0101181479022695,0.0081459012584105,eaaea138361001afcb620fd4854b4664c96fde67ed8d4dcafbbc1534ee979f4b,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22005/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22005,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22005/relaxed_structure.extxyz,937218,5,4,-26.176773071289062,-6.544193267822266,0.0093726199120283,22005,2026-07-27T00:14:44+08:00,success,G1_P60_M_22005,True,109.57416036003268,True,True,72c174a3bfa725d65d58fc3b1deb95d32ae86856def698c82744ff6d3051c34b,2.709035585620844,1620,1620,6,295,288,0,800,505,False,0.1110957123779297,0.0009869773654018,False,True,True,False,True
True,G1_P60_M,True,2.0939368389663287,2026-07-27T00:14:49+08:00,False,-83.95178985595703,-6.995982487996419,0.1524600666989025,0.0194714811128397,84ac8bfc352f7895e4de6b9b85c060e995318acd213f123f24535bc4d41a8e6f,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22006/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22006,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22006/relaxed_structure.extxyz,937219,6,80,-84.0225830078125,-7.001881917317708,0.0487764030694961,22006,2026-07-27T00:14:46+08:00,success,G1_P60_M_22006,True,120.88649727700977,True,True,48e924ee5c575d1a96bbe981af963dc64a6952a92c1b25381430d36b6be9a2bc,2.3612451307741145,1600,1600,0,243,243,0,800,557,False,0.1661890756297568,0.0617292740453441,False,True,True,False,True
True,G1_P60_M,True,0.6237104709725827,2026-07-27T00:14:45+08:00,False,-24.143295288085938,-6.035823822021484,0.0704059444388871,0.0091533495924664,c6171af5e62317eb93663eb9fdc4ba79105499f57661022e2e1d195d9766a425,/data/dxl/results/rp_qtfg/phase0/generation/G1_P60_M/22007/generated_crystals.extxyz,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22007,/data/dxl/results/rp_qtfg/phase0/relax/G1_P60_M/22007/relaxed_structure.extxyz,937220,7,24,-24.172964096069336,-6.043241024017334,0.049369066953659,22007,2026-07-27T00:14:44+08:00,success,G1_P60_M_22007,True,88.51796634501079,True,True,f0684ffa3a94060193115ac90be91a658b83e1ea7a432f3f7f2244034100209b,3.072783683855602,1315,1315,1,595,452,0,800,205,False,0.0675362778021266,0.011964392980434,True,True,True,False,True
