method,baseline,n,harm_rate_ehull,harm_rate_stable,harm_rate_property,ehull_degradation_p75,ehull_degradation_p90,worst_quartile_ehull_degradation_mean,property_degradation_p75,property_degradation_p90
A_OLD,C0,32,0.4375,0.1875,0.53125,0.045095132303008434,0.14384203746249918,0.12968761878258706,0.030449468718648745,0.04350608978541568
A_NORM,C0,32,0.34375,0.21875,0.46875,0.04603870076433614,0.12235982930615051,0.1018143438732162,0.0220856033238291,0.0416603872049343
A_ROBUST,C0,32,0.4375,0.1875,0.53125,0.04712020521252547,0.12668176770136738,0.1088469622439523,0.026599200596685052,0.04397907506994617
