seed,C0_e_hull,C0_stable,C0_nus,C0_novel,C0_unique,C0_validity,C0_mag_mae,C0_mag_hit,C0_maxf,C0_atomic_force,C0_rmsd,C0_runtime,A_OLD_e_hull,delta_A_OLD_minus_C0_e_hull,A_OLD_stable,delta_A_OLD_minus_C0_stable,A_OLD_nus,delta_A_OLD_minus_C0_nus,A_OLD_novel,delta_A_OLD_minus_C0_novel,A_OLD_unique,delta_A_OLD_minus_C0_unique,A_OLD_validity,delta_A_OLD_minus_C0_validity,A_OLD_mag_mae,delta_A_OLD_minus_C0_mag_mae,A_OLD_mag_hit,delta_A_OLD_minus_C0_mag_hit,A_OLD_maxf,delta_A_OLD_minus_C0_maxf,A_OLD_atomic_force,delta_A_OLD_minus_C0_atomic_force,A_OLD_rmsd,delta_A_OLD_minus_C0_rmsd,A_OLD_runtime,delta_A_OLD_minus_C0_runtime,A_NORM_e_hull,delta_A_NORM_minus_C0_e_hull,A_NORM_stable,delta_A_NORM_minus_C0_stable,A_NORM_nus,delta_A_NORM_minus_C0_nus,A_NORM_novel,delta_A_NORM_minus_C0_novel,A_NORM_unique,delta_A_NORM_minus_C0_unique,A_NORM_validity,delta_A_NORM_minus_C0_validity,A_NORM_mag_mae,delta_A_NORM_minus_C0_mag_mae,A_NORM_mag_hit,delta_A_NORM_minus_C0_mag_hit,A_NORM_maxf,delta_A_NORM_minus_C0_maxf,A_NORM_atomic_force,delta_A_NORM_minus_C0_atomic_force,A_NORM_rmsd,delta_A_NORM_minus_C0_rmsd,A_NORM_runtime,delta_A_NORM_minus_C0_runtime,A_ROBUST_e_hull,delta_A_ROBUST_minus_C0_e_hull,A_ROBUST_stable,delta_A_ROBUST_minus_C0_stable,A_ROBUST_nus,delta_A_ROBUST_minus_C0_nus,A_ROBUST_novel,delta_A_ROBUST_minus_C0_novel,A_ROBUST_unique,delta_A_ROBUST_minus_C0_unique,A_ROBUST_validity,delta_A_ROBUST_minus_C0_validity,A_ROBUST_mag_mae,delta_A_ROBUST_minus_C0_mag_mae,A_ROBUST_mag_hit,delta_A_ROBUST_minus_C0_mag_hit,A_ROBUST_maxf,delta_A_ROBUST_minus_C0_maxf,A_ROBUST_atomic_force,delta_A_ROBUST_minus_C0_atomic_force,A_ROBUST_rmsd,delta_A_ROBUST_minus_C0_rmsd,A_ROBUST_runtime,delta_A_ROBUST_minus_C0_runtime
813000,-0.0025546144677743854,True,False,False,True,True,0.004382744270499325,True,0.14134704941206838,0.07776836416623123,0.025537077490494664,87.69528107199585,-0.0009193731722003662,0.0016352412955740192,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.019941928898235317,0.015559184627735992,False,-1.0,0.07021999171884458,-0.0711270576932238,0.03877621594339113,-0.0389921482228401,0.009033886128865404,-0.01650319136162926,86.47400865599047,-1.2212724160053767,-0.0021799765315737574,0.000374637936200628,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,0.02141050570002409,0.017027761429524765,False,-1.0,0.1048850936404149,-0.03646195577165348,0.051277525507593104,-0.026490838658638126,0.012532503470053632,-0.013004574020441032,86.80404642299982,-0.8912346489960328,0.13551446228537412,0.1380690767531485,False,-1.0,False,0.0,True,1.0,True,0.0,True,0.0,0.001951402155710255,-0.00243134211478907,True,0.0,0.4835453190326609,0.3421982696205925,0.15911705477869312,0.08134869061246189,0.2243986531963947,0.19886157570590005,86.95246167102596,-0.7428194009698927
813001,0.13315680803222563,False,False,False,True,True,0.03302826226123448,False,0.00351835211901822,0.002841695249729014,0.001544413476949808,87.37109852296999,0.12920866707600887,-0.003948140956216761,False,0.0,False,0.0,True,1.0,True,0.0,True,0.0,0.022038933865193844,-0.010989328396040637,False,0.0,0.0036799849577953438,0.0001616328387771238,0.002413172923321279,-0.0004285223264077348,0.001983783803329045,0.00043937032637923713,86.12806999799795,-1.2430285249720328,0.12921057442464168,-0.003946233607583949,False,0.0,False,0.0,True,1.0,True,0.0,True,0.0,0.0221976358657157,-0.01083062639551878,False,0.0,0.0050608758486451735,0.0015425237296269535,0.004627172743681802,0.0017854774939527877,0.0021790229354468793,0.0006346094584970714,86.40951716800919,-0.9615813549607992,0.1292153427962237,-0.0039414652360019176,False,0.0,False,0.0,True,1.0,True,0.0,True,0.0,0.021948383169506175,-0.011079879091728306,False,0.0,0.006594382169051169,0.003076030050032949,0.005244471372281261,0.002402776122552247,0.00030378701762623464,-0.0012406264593235732,86.30032291600946,-1.0707756069605239
813002,0.17102109152409284,False,False,True,True,True,0.05146570068537662,False,0.6360066723307156,0.26875845580042007,0.2373517365401663,87.85374123696238,-0.0025619499277311775,-0.17358304145182402,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.03233373913454249,-0.01913196155083413,False,0.0,0.16798024863176803,-0.4680264236989476,0.09002301147557669,-0.1787354443248434,0.01439270583643221,-0.2229590307037341,86.42719583096914,-1.426545405993238,0.10248102231001432,-0.06854006921407851,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.04061623824941041,-0.010849462435966212,False,0.0,0.24655435896845831,-0.3894523133622573,0.10081120093488465,-0.1679472548655354,0.024839922593463803,-0.21251181394670252,86.76203094702214,-1.091710289940238,0.11472712305435095,-0.056293968469741884,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.04127384466669415,-0.010191856018682471,False,0.0,0.25612819066085174,-0.3798784816698639,0.14087139690904002,-0.12788705889138005,0.039849323830548344,-0.19750241270961796,86.68990368698724,-1.1638375499751419
813003,0.11279932536946635,False,False,True,True,True,0.04616152722490499,False,0.03740886797195286,0.02557442631390033,0.0011007111919779803,85.0684582060203,0.0813426959342447,-0.03145662943522165,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.04084803532828102,-0.005313491896623973,False,0.0,0.08312084270212496,0.0457119747301721,0.05552303295300875,0.029948606639108418,0.012580526787185797,0.011479815595207818,83.95559866400436,-1.11285954201594,0.08932777854492358,-0.023471546824542777,True,1.0,False,0.0,False,-1.0,True,0.0,True,0.0,0.004020032440632412,-0.04214149478427258,True,1.0,0.030675064117399984,-0.006733803854552873,0.025583499065478656,9.07275157832621e-06,0.0009855297174524002,-0.00011518147452558008,84.60300299397204,-0.4654552120482549,0.046368038162977854,-0.0664312872064885,True,1.0,False,0.0,False,-1.0,True,0.0,True,0.0,0.039147632184516445,-0.007013895040388546,False,0.0,0.015564453077451839,-0.021844414894501018,0.010770311732534356,-0.014804114581365975,0.0013084437004691164,0.0002077325084911361,85.04656523704762,-0.021892968972679228
813004,0.21411158512322714,False,False,True,True,True,0.01127708758929867,False,0.7917947378242585,0.32767148386898803,0.33028842884783177,85.6503460999811,0.23385239871094043,0.01974081358771329,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.009383918606989866,-0.0018931689823088044,True,1.0,0.9072474885053523,0.11545275068109384,0.34475630694961346,0.017084823080625422,0.10265415670109633,-0.22763427214673543,84.43005829502363,-1.2202878049574792,0.1621167102315919,-0.051994874891635234,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.006389053017780519,-0.004888034571518152,True,1.0,0.5582521472488696,-0.23354259057538884,0.39469021051776665,0.06701872664877861,0.09953220788044591,-0.23075622096738585,85.2371305769775,-0.41321552300360054,0.08904305316685246,-0.12506853195637468,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.037039592768548874,0.025762505179250203,False,0.0,0.4571919115923935,-0.334602826231865,0.19164118350774748,-0.13603030036124056,0.033800222641831336,-0.2964882062060004,85.87251729797572,0.22217119799461216
813005,0.03785049359741244,True,False,False,True,True,0.009518112416413135,True,0.1776689703258363,0.08962625675217156,0.07611127156204144,84.33294750499772,-9.870743408235683e-05,-0.037949201031494795,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.006518471869658288,-0.0029996405467548476,True,0.0,0.026335845131200936,-0.15133312519463538,0.014510906708196235,-0.07511535004397532,0.0006892014032244877,-0.07542207015881695,83.19420532794902,-1.138742177048698,0.11043597824218665,0.07258548464477421,False,-1.0,False,0.0,True,1.0,True,0.0,True,0.0,0.006311999533146401,-0.0032061128832667346,True,0.0,0.015469656542965006,-0.1621993137828713,0.009559755101495529,-0.08006650165067604,0.002837433373205936,-0.0732738381888355,83.31293954298599,-1.0200079620117322,0.058934383119302325,0.021083889521889887,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,0.03261278426344827,0.023094671847035134,False,-1.0,0.007847428136376912,-0.1698215421894594,0.004602106185772969,-0.08502415056639859,0.0016563547431942493,-0.07445491681884718,83.37049938295968,-0.9624481220380403
813006,0.10878626066545927,False,False,True,True,True,0.0048752316801412565,True,0.25623927627442167,0.122012251742446,0.009733552374708942,86.72237814200344,0.28647199238690035,0.1776857317214411,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.0060127139375365235,0.001137482257395267,True,0.0,2.0687208131171597,1.812481536842738,0.7832305999657604,0.6612183482233144,0.20697507127485124,0.1972415189001423,85.33637853199616,-1.385999610007275,0.047887933359373136,-0.06089832730608613,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.06691937674009454,0.06204414505995329,False,-1.0,0.3791409740363324,0.12290169776191073,0.2975270108672627,0.17551475912481668,0.041087494075169886,0.03135394170046094,85.6208382039913,-1.101539938012138,0.04764800997488905,-0.06113825069057022,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.050782578669356315,0.04590734698921506,False,-1.0,0.2596966995454132,0.003457423270991522,0.12922358859198627,0.00721133684954027,0.00773002666844082,-0.002003525706268122,85.55019261996495,-1.1721855220384896
813007,0.12429453466796936,False,False,True,True,True,0.02118921842408454,False,0.37848139983235757,0.19224668119529728,0.0153155813922291,87.12854450498708,0.12653366934678978,0.0022391346788204203,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.02785390001544344,0.006664681591358898,False,0.0,0.8583200016599746,0.479838601827617,0.41580442166948856,0.22355774047419127,0.4384514120023813,0.4231358306101522,87.43280705600046,0.3042625510133803,0.14385381215711845,0.019559277489149096,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.014772989747887016,-0.006416228676197525,False,0.0,0.6798741937261045,0.3013927938937469,0.2451833756928462,0.052936694497548925,0.061390149871043076,0.04607456847881398,87.3752133299713,0.24666882498422638,0.1167136474685222,-0.007580887199447162,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.029700008473394268,0.008510790049309727,False,0.0,0.44603579830399137,0.0675543984716338,0.2517950810850876,0.0595483998897903,0.0713032160707225,0.0559876346784934,87.55705210898304,0.42850760399596766
813008,0.09252055824316407,True,True,True,True,True,0.00019204556603813483,True,0.2476575455063982,0.1371830243100274,0.09017539445412129,87.04151522001484,0.06761303523111994,-0.02490752301204413,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.06115441712965151,0.06096237156361337,False,-1.0,0.11566723473511978,-0.13199031077127843,0.05486647656157905,-0.08231654774844835,0.08259691563432768,-0.007578478819793608,86.99029837897979,-0.05121684103505686,0.10182939238606803,0.009308834142903955,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.02188058145398135,0.021688535887943214,False,-1.0,0.1671536595857578,-0.0805038859206404,0.09593169697074942,-0.041251327339277985,0.08652871029086376,-0.0036466841632575298,87.40220611402765,0.3606908940128051,0.008759777260742396,-0.08376078098242168,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.026526429519933448,0.026334383953895313,False,-1.0,0.1548676983870691,-0.09278984711932911,0.07018147489944956,-0.06700154941057784,0.04441675699403316,-0.045758637460088125,86.65701232996071,-0.3845028900541365
813009,0.024157550454102505,True,True,True,True,True,0.05175816041375761,False,0.06262384447652906,0.03140943248978439,0.006056232827743084,84.5840583590325,0.021791320668945957,-0.0023662297851565484,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.01818111525850398,-0.03357704515525363,False,0.0,0.014624487168738601,-0.047999357307790466,0.007568219537489094,-0.023841212952295292,0.0011278673204475566,-0.004928365507295527,85.54750286199851,0.9634445029660128,0.06631441285205142,0.04215686239794891,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.017968179260928974,-0.033789981152828635,False,0.0,0.06866247831346826,0.0060386338369392,0.034866697550536556,0.0034572650607521682,0.03752259915200282,0.03146636632425973,86.1120121779968,1.5279538189643063,0.06628580262255923,0.042128252168456726,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.01787114584802707,-0.03388701456573054,False,0.0,0.07646807089738501,0.013844226420855948,0.03873697252774506,0.00732754003796067,0.04079849510831678,0.0347422622805737,85.99232256703544,1.4082642080029473
