method,n,generation_success_count,generation_success_rate,mattersim_success_count,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_median_ev_per_a,structure_max_force_p95_ev_per_a,structure_max_force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,relaxation_steps_gt100_count,relaxation_steps_gt100_rate,relaxation_steps_gt200_count,relaxation_steps_gt200_rate,relaxation_steps_gt400_count,relaxation_steps_gt400_rate,generation_seconds_mean
C0,32,32,1.0,32,1.0,False,0.11099297854129528,0.07635942559838949,0.3373123653096318,0.4591276571431093,0.59375,0.28125,0.6875,1.0,0.050350107430167344,0.018685209350885003,0.2813307344585836,0.4414834586058685,0.14936010932817037,0.3271009013654647,0.13647700797140314,1.2666414160621293,1.8006957310999954,47.125,26.5,173.14999999999992,285,3,0.09375,2,0.0625,0,0.0,116.30329355152935
FT0,32,32,1.0,32,1.0,False,0.14449189827958087,0.1404531292140181,0.22871420257707023,0.2411593074322571,0.21875,0.09375,0.84375,0.96875,0.11745682848984307,0.03862093090673489,0.42945545974850863,1.223280765128862,0.29345078323014845,0.5822106680293992,0.5473381488426707,1.354408553966983,1.8098775325217011,75.09375,49.0,234.39999999999995,502,6,0.1875,3,0.09375,1,0.03125,116.66637423706561
TCL,32,32,1.0,32,1.0,False,0.12669519801429077,0.09718507255038888,0.30131703625433026,0.40352915806943646,0.5,0.3125,0.75,1.0,0.09105252915864517,0.039525277076894044,0.2638208582795717,1.1112833253683838,0.20056870685635286,0.43098928065915487,0.1972932409942601,1.7183658063693352,2.378615400919436,52.9375,45.5,139.49999999999997,178,5,0.15625,0,0.0,0,0.0,116.06479686489911
