method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
C0,68000,Fe2Li2Mn4O11Ta,20,350,0.1560401615787832,0.0,0.0,1.0,1.0,0.1605229016906457,0.292412913345074,0.4654403115334885,0.0,0.0,0,0
C0,68001,CdMn7O8,16,33,0.0355469094873051,1.0,1.0,1.0,1.0,0.0031258660050658073,0.04428765335772097,0.09605525523611605,0.0,0.0,0,0
C0,68002,Fe2Rh2,4,14,0.06323250609252895,1.0,0.0,0.0,1.0,0.0010967525353718119,0.009995129000781347,0.01453455655483166,0.0,0.0,0,0
C0,68003,Eu2NiO6Pd,10,24,0.022446413312499303,1.0,0.0,0.0,1.0,0.005356425020908993,0.09494016275452373,0.19525322022199249,0.0,0.0,0,0
C0,68004,AuBaEu3,5,6,0.06967037583333191,1.0,0.0,0.0,1.0,0.0014460013684736242,0.0014397451711838235,0.002084009544843785,0.0,0.0,0,0
C0,68005,Co5EuGe2,8,53,0.2452098323022458,0.0,0.0,1.0,1.0,0.03765618409482838,0.27490126450307106,0.6974739622238355,0.0,0.0,0,0
C0,68006,Eu2InNi2,5,34,0.034263007505856535,1.0,0.0,0.0,1.0,0.013371128191559688,0.037576540683076885,0.08630513873815046,0.0,0.0,0,0
C0,68007,Eu2Ge2,4,12,0.014690371740723407,1.0,0.0,0.0,1.0,0.003597702892352926,0.06170157823362585,0.08069164573126576,0.0,0.0,0,0
C0,68008,Fe5MnO6,12,89,0.07068263988607093,1.0,0.0,0.0,1.0,0.06262309249715219,0.0807205606294738,0.1349808147018683,0.0,0.0,0,0
C0,68009,Eu4In2,6,6,0.02466146109537881,1.0,1.0,1.0,1.0,0.003652770580810106,0.018586843704966518,0.02883254415699558,0.0,0.0,0,0
C0,68010,Eu2Pt,3,3,0.04471248815917939,1.0,1.0,1.0,1.0,0.002185054390050374,0.00876104590907736,0.012107388689924017,0.0,0.0,0,0
C0,68011,EuIn2Sb,4,6,0.033517925971679574,1.0,0.0,0.0,1.0,0.0004857912734893746,0.00277415434048117,0.004195999818803618,0.0,0.0,0,0
