baseline,method,metric,n_paired,baseline_value,method_value,delta_method_minus_baseline,paired_bootstrap95_low,paired_bootstrap95_high,wilcoxon_pratt_p,mcnemar_exact_p,bootstrap_samples,bootstrap_seed
C0,V3_AnchorK16,e_hull,32,0.11552433038439361,0.11700658209018164,0.0014822517057880291,-0.049986675994599175,0.04969911503687965,0.7608502637594938,,20000,20260905
C0,V3_AnchorK16,stable,32,0.59375,0.59375,0.0,-0.21875,0.21875,1.0,1.0,20000,20260905
C0,V3_AnchorK16,nus,32,0.25,0.28125,0.03125,-0.1875,0.25,0.7815112949987133,1.0,20000,20260905
C0,V3_AnchorK16,novel,32,0.59375,0.65625,0.0625,-0.125,0.25,0.5270892568655381,0.75390625,20000,20260905
C0,V3_AnchorK16,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
C0,V3_AnchorK16,rmsd,32,0.08459043684485033,0.020590862916486978,-0.06399957392836336,-0.16136006182152743,-0.006440812845047791,0.04976938618347049,,20000,20260905
C0,V3_AnchorK16,force_mean,32,0.18490009562471527,0.11278597695963433,-0.07211411866508094,-0.2266195637062171,0.021592466362773278,0.7190234316512942,,20000,20260905
C0,V3_AnchorK16,force_max,32,0.5447135193445964,0.24376966746899698,-0.30094385187559947,-0.9389319230757487,0.06682899091995488,0.8754460029304028,,20000,20260905
C0,V3_AnchorK16,force_p95,32,1.2688633905530184,0.6433205961370196,-0.6255427944159988,-8.834628485140689,0.1778802846035311,,,20000,20260905
C0,V3_AnchorK16,force_p99,32,7.133126685181679,0.7796223794046028,-6.353504305777077,-8.831596242550672,0.13006357452728434,,,20000,20260905
C0,V3_AnchorK16,force_gt1,32,0.0625,0.0,-0.0625,-0.15625,0.0,0.15729920705028502,0.5,20000,20260905
C0,V3_AnchorK16,force_gt2,32,0.03125,0.0,-0.03125,-0.09375,0.0,0.31731050786291415,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,e_hull,32,0.10737237361718573,0.11449702244420601,0.007124648827020283,-0.030153314017040304,0.041719699151714626,0.4211259800940752,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,stable,32,0.6875,0.46875,-0.21875,-0.40625,-0.03125,0.034808478811867126,0.0654296875,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,nus,32,0.3125,0.21875,-0.09375,-0.28125,0.09375,0.31731050786291415,0.5078125,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,novel,32,0.59375,0.75,0.15625,-0.03125,0.34375,0.0955807045456294,0.1796875,20000,20260905
