method,n,mean,median,p75,p90,p95,max
C0,256,0.1938906372800398,0.08886908657245085,0.17930793128740993,0.4058529685767663,0.6612338398317142,5.072047194017873
F0,256,0.16605730423045764,0.08518204525289204,0.158509108232127,0.42539916302152486,0.6962488834866791,1.8144349401054207
