epoch,train_normalized_loss,validation_normalized_mse,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine
1,0.9279726971387863,1.0892345374792538,2168.688811445878,0.3583158540507823,7.6555523477296035,0.22925023109058454,3.6466979469968623,0.1649769895998158
2,0.9046989550292492,1.0792780339549821,2166.5967497874294,0.36010269853201504,7.707026032441192,0.2180836099606026,3.493350775465503,0.2320508913735069
3,0.8969342528283596,1.0899617006553948,2163.59601572142,0.3613051868074825,7.6012620856132775,0.25129122214647537,3.704113045780499,0.20109912206145122
4,0.8891116336286068,1.0649438654702332,2162.776060266228,0.36313083309914873,7.5515962232549985,0.2524709224324464,3.442376826838582,0.2596330364495217
5,0.8845931930840015,1.0664505885629778,2164.055897310222,0.36386933894923185,7.541927294400003,0.2530949880933973,3.465282142542541,0.25589724786070484
6,0.8788293428122997,1.0693673576713694,2158.4286609113046,0.36550321541682995,7.4538516827374695,0.27018019237263735,3.574635516991243,0.19400036308408608
7,0.8758650697767735,1.0587287025930765,2166.0493886642294,0.368945729399585,7.451133546193441,0.2733269846159773,3.4359390395180083,0.26802052225204775
8,0.872776299804449,1.0753811506346151,2149.8650600812057,0.37008236129585614,7.524954269361165,0.2538990912446337,3.6094243853817387,0.2374686881858607
9,0.8762051491737366,1.052741551237126,2146.841280133276,0.3716325352760939,7.411148733460241,0.2824077213767437,3.427063956833149,0.2673997124447999
10,0.8765362102091312,1.0537934420356698,2145.4964595376928,0.37167703313150563,7.415820436065395,0.28380068252914764,3.438578532121216,0.2615014433671427
11,0.8734476326406002,1.067684406422915,2148.492506781461,0.37261275739672833,7.663930427352588,0.2141235527355297,3.417692811702875,0.2722718949288517
12,0.8673534334301949,1.0636317675097657,2140.5208781958872,0.37452601190502527,7.508033782021867,0.260579312625641,3.497425166566389,0.2317479585794326
13,0.8754112386703491,1.0441424705415012,2136.938525427876,0.37642315671503435,7.326447083123856,0.3008816063814375,3.403489130275304,0.2792374100022989
14,0.8660499894917011,1.056067409626454,2151.125785702854,0.3762219683232343,7.317351766761806,0.3030701602782828,3.5282314649033375,0.22101391191857014
15,0.8633961090445519,1.0551990153483983,2138.631154433997,0.3780779251385985,7.516421845099992,0.25773232859694195,3.3935803511951366,0.283889475074633
16,0.8680661100745201,1.0441384534944749,2133.2668677257993,0.3800031835194196,7.272433114710782,0.3089157064844126,3.4494674140144927,0.2601010116911998
17,0.8661706513166427,1.0443462970666022,2124.0278865879563,0.3847871166509498,7.360662117868662,0.3006592173994042,3.4033409387288542,0.27921315720602563
18,0.8645268062353134,1.0493915093438002,2121.259314900548,0.3839792512041741,7.378389651849866,0.2971008485701152,3.455582187976701,0.27453181120949294
19,0.8571887777745724,1.0444400804749658,2117.5865420536534,0.38598761769501505,7.260813596225447,0.3180400266431118,3.4889437498988136,0.2649872808812327
20,0.8586135936677456,1.0529484113657868,2132.415814448869,0.3830323623776417,7.231687711357242,0.32212914791336816,3.586345515564513,0.25728572600486216
