method,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0,20013,A0_seed_20013,-32.84022521972656,-8.21005630493164,0.00859653390944004,True,0.2338962170179002,8,Mn2PtRh,Mn-Pt-Rh,188e83f8109cdfb72a49c3745fa55fe1328822f80c0368bed92b3a62db3e1b37,3d75c6cbf23216326c7c2cd9c548c83120bf3850e4c7c6da534e17f28c70bd5c,0.012619801525742602,0.0007070240798019374,False,True,True,True,True,False,False,True,True,False,True,0.012619801525742602,0.0
A0,20014,A0_seed_20014,-117.89424896240234,-6.5496804979112415,0.04115181788802147,True,0.6876903459778987,24,Mn2OF3,F-Mn-O,7021ecead2eb5458d0e8c78a16f3e37d86319d7634d141c91cfcb369558a718d,24c8c6ffff639124f6127be20be9f38bf43e677a3bb31a99de975adb7d2a641d,0.16487228373184415,0.015960899450995315,False,False,True,True,True,True,True,True,True,True,True,0.16487228373184415,0.16487228373184415
A0,20015,A0_seed_20015,-179.2734832763672,-8.963674163818359,0.04392973706126213,True,0.9245775299496017,33,Gd2MgSbO6,Gd-Mg-O-Sb,9000b23dc43672cf586332883cee56e6cdc7e381508cdace53588503933f513c,0e4875d336e462242b70679766831ebca4874487fee12974fc1886021cf82f05,0.22379406822785342,0.022547421846602494,False,False,True,True,True,True,True,True,True,True,False,0.22379406822785342,0.22379406822785342
A0,20016,A0_seed_20016,-59.74231719970703,-7.467789649963379,0.04629160091280937,True,0.34889117401326075,12,BeFe5Si2,Be-Fe-Si,62ba66af977c63e3810e4d89fadacb993f6f457ca5ec2cf28590c587053fcb00,78c82bfcb2ae09fd8da4fd90851e6305aef59ef16c5cef78ca554a4630fe599e,0.008097113735574979,0.0023528182924750104,True,True,False,False,True,True,True,True,True,True,True,0.008097113735574979,0.0
A0,20017,A0_seed_20017,-116.28750610351562,-6.460417005750868,0.03977152705192566,True,2.508017092011869,81,Mn5FeO5F7,F-Fe-Mn-O,14276819ac69d980ed0107dc136b192f826c45ec76780f8f8fe44c19bd118b32,df591242aa3275f0f5057fc77bb4f417659132292be3d1c2002d0c0fa40fbabb,0.2735483266186547,0.05472919225683651,False,False,True,True,True,True,True,True,True,True,False,0.2735483266186547,0.2735483266186547
A0,20018,A0_seed_20018,-114.3921890258789,-7.149511814117432,0.04935871809720993,True,1.90010979201179,68,LiMn3O4,Li-Mn-O,6b3746823eef609fef192b0d9da2aad4dc6c6acdebeab3d7d4663aaeb26706d7,63828a1299348df1858ce6843a1bc1cec3b467ced2e41a4c52b372188161bd59,0.21475990470538697,0.04027905336160291,False,False,True,True,True,True,True,True,True,True,True,0.21475990470538697,0.17203077976163428
A0,20019,A0_seed_20019,-90.22137451171875,-7.5184478759765625,0.0379340834915638,True,1.9235827410011552,63,FeCo2,Co-Fe,476224f4251dc1c36bd6f3011c47fb73407c13082c49a19f2b7d4c229fdb5fb7,a6b15917c0d1fb87ebbf0314236ed1eaf20d1c19295eacee1c65acf352937bad,0.0986712215179697,0.07535065354019092,False,True,True,True,True,False,False,True,True,False,True,0.0986712215179697,0.07681697710437518
A0,20020,A0_seed_20020,-102.29351806640625,-6.393344879150391,0.043702382594347,True,0.8008947980124503,28,CaMn2FeS4,Ca-Fe-Mn-S,45eae4201138426da7728e8de69b58fd1df1f3e3d1c832646670db9214ef1a35,15e478146e4ebcda3953c35f7b7b4f8e3bbf60aa3c1361e1a2e44740539a8e23,0.2643647606838675,0.005850592149049141,False,False,True,True,True,True,True,True,True,True,False,0.2643647606838675,0.2643647606838675
A0,20021,A0_seed_20021,-83.72383117675781,-8.372383117675781,0.04019888490438461,True,1.2938303239643574,43,Mn7HN2,H-Mn-N,e45842ef138fdde5d657ba4d89973f5ef8f4f0f15e2e50addc58e332b4e78c72,5149ca151b66f7204e29ee4997f6293037dde4cc1cb757ea1b68243f897cf4e4,0.28419670595912194,0.035926511439283014,False,False,True,True,True,True,True,True,True,True,True,0.28419670595912194,0.28419670595912194
A0,20022,A0_seed_20022,-70.67817687988281,-8.834772109985352,0.014911897480487823,True,0.16635903500718996,6,PrEu3,Eu-Pr,c6d2b56c659d51e44fcc2bb6bc42ec92acc6aee77bffc826c89501f4fc58559f,5feb6d7b0eb451a7dd4078ec0c5e0784b6f135832b153f940f1e16113f95decc,0.09433410896622973,0.0021738929603437786,False,True,True,True,True,False,False,True,True,False,True,0.09433410896622973,0.09433410896622973
