split,model,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine,score_after_mse
stage_c_test,lightweight_adapter,decile,0,atomic_numbers,2939100,4.801834645153353,2.1913088885762666,0.2742024646052806,4.801834645153353
stage_c_test,lightweight_adapter,decile,0,cell,28800,0.011231716658828899,0.10597979363458347,0.9729782818625237,0.011231716658828899
stage_c_test,lightweight_adapter,decile,0,pos,87300,0.016349722974845455,0.12786603526678011,-0.002289484623013831,0.016349722974845455
stage_c_test,lightweight_adapter,decile,1,atomic_numbers,2939100,5.832891412227307,2.415137969604906,0.29271925034251134,5.832891412227307
stage_c_test,lightweight_adapter,decile,1,cell,28800,0.011372114484225272,0.10664011667391063,0.9738642040206473,0.011372114484225272
stage_c_test,lightweight_adapter,decile,1,pos,87300,0.01719399580217912,0.13112587769841283,0.002088372063463612,0.01719399580217912
stage_c_test,lightweight_adapter,decile,2,atomic_numbers,2939100,5.948157441893081,2.43888446669642,0.291742592539039,5.948157441893081
stage_c_test,lightweight_adapter,decile,2,cell,28800,0.012729503711550731,0.11282510231127969,0.9660648909202977,0.012729503711550731
stage_c_test,lightweight_adapter,decile,2,pos,87300,0.04271894834370274,0.20668562684352954,-0.005219415449633718,0.04271894834370274
stage_c_test,lightweight_adapter,decile,3,atomic_numbers,2939100,5.8592154366295714,2.4205816318871736,0.2852668802761905,5.8592154366295714
stage_c_test,lightweight_adapter,decile,3,cell,28800,0.011692039719334085,0.10812973559263929,0.9685552356142701,0.011692039719334085
stage_c_test,lightweight_adapter,decile,3,pos,87300,0.596051165251582,0.7720434995850829,-0.00016381999201637594,0.596051165251582
stage_c_test,lightweight_adapter,decile,4,atomic_numbers,2939100,5.781019570506169,2.4043750893956144,0.3116140913019498,5.781019570506169
stage_c_test,lightweight_adapter,decile,4,cell,28800,0.021359965640577787,0.14615048970351685,0.9430418815295362,0.021359965640577787
stage_c_test,lightweight_adapter,decile,4,pos,87300,21.293749213584647,4.614515057249748,0.44568881746601463,21.293749213584647
stage_c_test,lightweight_adapter,decile,5,atomic_numbers,2939100,5.198348863091669,2.279988785738138,0.30953285753717813,5.198348863091669
stage_c_test,lightweight_adapter,decile,5,cell,28800,0.06518668406705223,0.2553168307555384,0.8435666511278731,0.06518668406705223
stage_c_test,lightweight_adapter,decile,5,pos,87300,107.3205794458291,10.359564635921197,0.496307583718175,107.3205794458291
stage_c_test,lightweight_adapter,decile,6,atomic_numbers,2939100,2.7075881583624692,1.645475055527269,0.21753924083948636,2.7075881583624692
stage_c_test,lightweight_adapter,decile,6,cell,28800,0.11714010346693916,0.342257364372104,0.8705338175162408,0.11714010346693916
stage_c_test,lightweight_adapter,decile,6,pos,87300,361.8344111987242,19.021945515607076,0.41703676043364124,361.8344111987242
stage_c_test,lightweight_adapter,decile,7,atomic_numbers,2939100,1.2899808160756812,1.1357732238768798,0.1427912739954973,1.2899808160756812
stage_c_test,lightweight_adapter,decile,7,cell,28800,0.20620724239818325,0.45410047610433446,0.9102075360519162,0.20620724239818325
stage_c_test,lightweight_adapter,decile,7,pos,87300,1221.9156278269834,34.955909769693925,0.38928949122321355,1221.9156278269834
stage_c_test,lightweight_adapter,decile,8,atomic_numbers,2939100,0.45855330388262316,0.6771656399158357,0.07470836539315423,0.45855330388262316
stage_c_test,lightweight_adapter,decile,8,cell,28800,0.16546137892974205,0.4067694419812556,0.9212026879785364,0.16546137892974205
stage_c_test,lightweight_adapter,decile,8,pos,87300,4148.473268897197,64.408642812104,0.37712618416314053,4148.473268897197
stage_c_test,lightweight_adapter,decile,9,atomic_numbers,2939100,0.09135531599268706,0.30225041934245034,0.030365325254603077,0.09135531599268706
stage_c_test,lightweight_adapter,decile,9,cell,28800,72.79759029004671,8.53215039073074,0.209584891352037,72.79759029004671
