method,n,maxF_mean_ev_per_a,maxF_median_ev_per_a,maxF_p95_ev_per_a,atomic_force_mean_ev_per_a,rmsd_mean_a,e_hull_mean_ev_per_atom,stable_fraction,nus_fraction,novel_fraction,unique_fraction,mag_mae_a3,mag_hit_fraction,validity_fraction,minimum_distance_min_a,relaxation_steps_mean,surrogate_property_eval,dft_verified
C0,8,0.14307247185846794,0.0977469844347798,0.3277398658435105,0.07871332449917912,0.0543601120556627,0.04337111738668664,1.0,0.25,0.25,1.0,0.031306022643093935,0.0,1.0,0.9708360596508208,42.875,True,False
A0,8,0.19575959218370953,0.13575990729462206,0.5064664430991984,0.09344980932803623,0.02932295027039982,0.08587734637278566,0.625,0.25,0.625,1.0,0.0196549049962327,0.25,1.0,1.8818746982991723,24.875,True,False
POS_ONLY,8,0.35473811410387107,0.10939469468699069,1.2486458986294058,0.12436569706176534,0.16969776886839302,0.07445925009835752,0.75,0.25,0.5,1.0,0.018286411502958323,0.375,1.0,1.003095727255804,74.5,True,False
NO_EMA,8,0.18518600616961903,0.17067061169709008,0.4159939327216448,0.09282927432611246,0.029476884649096775,0.0772005969274897,0.75,0.125,0.25,1.0,0.024201142613056933,0.25,1.0,1.9649371084287233,32.0,True,False
SHARED_EMA,8,0.1887286575541257,0.17164467157115937,0.4299294380050502,0.0789272357918181,0.13378524346100223,0.08839360837627297,0.5,0.25,0.5,1.0,0.026822889799720834,0.375,1.0,2.28083228471436,31.25,True,False
NO_CLIP,8,0.19578554046612112,0.13586423009402204,0.5064662243493667,0.0934814922628029,0.018536716363952294,0.08588073986389488,0.625,0.25,0.625,1.0,0.0196568295819153,0.25,1.0,1.8818746982991723,24.875,True,False
