method,seed,formula,num_atoms,chgnet_mag_density,target_mag_density,mag_absolute_error,mag_hit,tau,structure_valid,minimum_periodic_distance_angstrom,volume_angstrom3,surrogate_property_eval,surrogate_calibration_mae,surrogate_calibration_pearson,dft_verified
C0,746000,Fe2Co5Pt,8,0.15237365910893005,0.1,0.05237365910893005,False,0.01,True,2.481008600903184,97.03144080916992,True,0.001449,0.9499,False
C0,746001,EuHO2,8,0.13180082333106444,0.1,0.03180082333106443,False,0.01,True,0.9708360596508208,97.8499381327532,True,0.001449,0.9499,False
C0,746002,FeNi,16,0.1204312652982991,0.1,0.020431265298299098,False,0.01,True,2.4723703042452128,184.50857051092376,True,0.001449,0.9499,False
C0,746003,Eu2TlIn,4,0.11297938619181395,0.1,0.01297938619181395,False,0.01,True,3.4047204880955273,121.95195885224986,True,0.001449,0.9499,False
C0,746004,Fe2CoIr,4,0.147562870698348,0.1,0.047562870698348,False,0.01,True,2.546911905428058,50.96058583432421,True,0.001449,0.9499,False
C0,746005,NaEu2Rh,4,0.11291809790844717,0.1,0.012918097908447168,False,0.01,True,3.027181316129826,121.20864842597612,True,0.001449,0.9499,False
C0,746006,Eu8Cd2CuP4,15,0.1134272389411259,0.1,0.013427238941125894,False,0.01,True,2.544773329124847,488.78559864923034,True,0.001449,0.9499,False
C0,746007,Mn3Co,8,0.041045160333277105,0.1,0.0589548396667229,False,0.01,True,2.445557581580492,85.3815651593399,True,0.001449,0.9499,False
A0,746000,Co3Pt,8,0.10951808913962348,0.1,0.009518089139623473,True,0.01,True,2.3300436068925015,101.59301227290723,True,0.001449,0.9499,False
A0,746001,Eu2IrO5,8,0.1138089357618635,0.1,0.013808935761863497,False,0.01,True,1.8818746982991723,115.20976666122705,True,0.001449,0.9499,False
A0,746002,LiCaEu4MnFeO8,16,0.14788943077594152,0.1,0.047889430775941516,False,0.01,True,1.8965529054803414,234.94028501756907,True,0.001449,0.9499,False
A0,746003,LiEu2In,4,0.11053535231839741,0.1,0.010535352318397403,False,0.01,True,3.4358305263986524,125.18462568968269,True,0.001449,0.9499,False
A0,746004,Fe2CoIr,4,0.14779906868876502,0.1,0.04779906868876502,False,0.01,True,2.555363190603981,51.10884937367683,True,0.001449,0.9499,False
A0,746005,EuCd,4,0.11068617019225101,0.1,0.010686170192251002,False,0.01,True,3.415390105811181,124.760049648476,True,0.001449,0.9499,False
A0,746006,Eu5Mn(CdP2)3,15,0.10042631292889202,0.1,0.000426312928892017,True,0.01,True,2.524468952719739,378.630639542558,True,0.001449,0.9499,False
A0,746007,Mn2(BeFe)3,8,0.11657588016412768,0.1,0.01657588016412767,False,0.01,True,2.3638474328074985,82.90290259732198,True,0.001449,0.9499,False
POS_ONLY,746000,Co7Pt,8,0.12926296129520073,0.1,0.02926296129520073,False,0.01,True,2.536556476920061,92.65749849466037,True,0.001449,0.9499,False
POS_ONLY,746001,EuHO2,8,0.12886496528489516,0.1,0.028864965284895155,False,0.01,True,1.003095727255804,101.02131544857669,True,0.001449,0.9499,False
POS_ONLY,746002,MgMn2NiO4,16,0.10764228184667803,0.1,0.00764228184667802,True,0.01,True,1.9790559777217835,204.70637687942826,True,0.001449,0.9499,False
POS_ONLY,746003,Eu2TlIn,4,0.10687100379741785,0.1,0.006871003797417841,True,0.01,True,3.4694920899682296,129.34320897964122,True,0.001449,0.9499,False
POS_ONLY,746004,LiEu2Mg,4,0.10496547529780371,0.1,0.004965475297803709,True,0.01,True,3.50324164909746,132.64210909592438,True,0.001449,0.9499,False
POS_ONLY,746005,LiGdYAl,4,0.0697432364306837,0.1,0.03025676356931631,False,0.01,True,3.203452719678992,101.54970849093962,True,0.001449,0.9499,False
POS_ONLY,746006,Eu5(Cd2P3)2,15,0.088453478477285,0.1,0.011546521522715,False,0.01,True,2.605900287894903,387.64578721672524,True,0.001449,0.9499,False
POS_ONLY,746007,Mn2Be5Fe,8,0.0731186805903602,0.1,0.02688131940963981,False,0.01,True,2.3140380783014867,75.21944121267634,True,0.001449,0.9499,False
NO_EMA,746000,Co7Pt,8,0.12670418523151417,0.1,0.02670418523151416,False,0.01,True,2.468911553953874,91.74870639024176,True,0.001449,0.9499,False
NO_EMA,746001,Eu2MnO3F2,8,0.14922229545376847,0.1,0.049222295453768466,False,0.01,True,1.9649371084287233,116.9493406687828,True,0.001449,0.9499,False
NO_EMA,746002,MnNi3O4,16,0.1319140962703256,0.1,0.0319140962703256,False,0.01,True,2.088083178861779,162.91834281174533,True,0.001449,0.9499,False
NO_EMA,746003,Eu2TlIn,4,0.1090042697491336,0.1,0.009004269749133598,True,0.01,True,3.441420027889307,126.61084904293051,True,0.001449,0.9499,False
NO_EMA,746004,Fe3Ir,4,0.14531078861413882,0.1,0.045310788614138814,False,0.01,True,2.4551940824414236,46.80361833431879,True,0.001449,0.9499,False
NO_EMA,746005,NaEu2Rh,4,0.11291334249048277,0.1,0.01291334249048276,False,0.01,True,3.027204891466472,121.21411816880567,True,0.001449,0.9499,False
NO_EMA,746006,Eu5(P3Pd2)2,15,0.10406227050577238,0.1,0.004062270505772375,True,0.01,True,2.255390980116149,328.42677078197306,True,0.001449,0.9499,False
NO_EMA,746007,Mn3Be,8,0.08552210741068031,0.1,0.014477892589319696,False,0.01,True,2.3655825475203756,85.14644814786055,True,0.001449,0.9499,False
SHARED_EMA,746000,Co3Pt,8,0.10669208152252385,0.1,0.006692081522523846,True,0.01,True,2.516870552745908,98.1166251006995,True,0.001449,0.9499,False
SHARED_EMA,746001,Eu4O3F,8,0.19979856706875943,0.1,0.09979856706875942,False,0.01,True,2.417932024046823,133.62694131821962,True,0.001449,0.9499,False
SHARED_EMA,746002,EuNi3,16,0.10211206897018185,0.1,0.0021120689701818463,True,0.01,True,2.3240666578887765,269.02222515389303,True,0.001449,0.9499,False
SHARED_EMA,746003,Eu2InAu,4,0.14989422404603078,0.1,0.04989422404603078,False,0.01,True,2.8942073301796363,90.8168403023569,True,0.001449,0.9499,False
SHARED_EMA,746004,Eu2ErPb,4,0.10886328368995114,0.1,0.008863283689951137,True,0.01,True,3.4853225274858146,126.58540883497429,True,0.001449,0.9499,False
SHARED_EMA,746005,NaEu2Rh,4,0.11297111367057487,0.1,0.012971113670574866,False,0.01,True,3.0265012392752686,121.14778015402204,True,0.001449,0.9499,False
SHARED_EMA,746006,Eu6Ge2P7,15,0.11010584773381542,0.1,0.010105847733815412,False,0.01,True,2.357298742808888,372.97917754960355,True,0.001449,0.9499,False
SHARED_EMA,746007,MnBe2Co,8,0.07585406830407065,0.1,0.02414593169592935,False,0.01,True,2.28083228471436,78.07068260540542,True,0.001449,0.9499,False
NO_CLIP,746000,Co3Pt,8,0.10951808356597119,0.1,0.009518083565971183,True,0.01,True,2.3300436068925015,101.59301227290723,True,0.001449,0.9499,False
NO_CLIP,746001,Eu2IrO5,8,0.11380892787216057,0.1,0.013808927872160565,False,0.01,True,1.8818746982991723,115.20976666122705,True,0.001449,0.9499,False
NO_CLIP,746002,LiCaEu4MnFeO8,16,0.14788942960257323,0.1,0.047889429602573225,False,0.01,True,1.8965529054803414,234.94028501756907,True,0.001449,0.9499,False
NO_CLIP,746003,LiEu2In,4,0.11053179637689965,0.1,0.010531796376899646,False,0.01,True,3.435870565167428,125.18883799432074,True,0.001449,0.9499,False
NO_CLIP,746004,Fe2CoIr,4,0.1477990768523711,0.1,0.047799076852371086,False,0.01,True,2.555363190603981,51.10884937367683,True,0.001449,0.9499,False
NO_CLIP,746005,EuCd,4,0.11070514457982093,0.1,0.010705144579820927,False,0.01,True,3.414960945219244,124.73789907757538,True,0.001449,0.9499,False
NO_CLIP,746006,Eu5Mn(CdP2)3,15,0.10042631489666215,0.1,0.0004263148966621444,True,0.01,True,2.524468952719739,378.630639542558,True,0.001449,0.9499,False
NO_CLIP,746007,Mn2(BeFe)3,8,0.11657586290886363,0.1,0.01657586290886362,False,0.01,True,2.3638474328074985,82.90290259732198,True,0.001449,0.9499,False
