method,max_force_ev_ang,RMSD_ang,E_hull_ev_atom,Stable,NUS,Novel,Unique
C0,0.34296426286559617,0.04938950865947697,0.1561356966317432,0.4453125,0.22265625,0.71875,0.984375
Always-on E3-A,0.24395595983940943,0.04505749632343868,0.15617885541764848,0.4453125,0.22265625,0.71875,0.984375
Learned-gated E3-G,0.26310701792559776,0.04593743918984518,0.1561766907002915,0.4453125,0.22265625,0.71875,0.984375
