step,objective,raw_loss,configured_weighted_loss,balance_scale,balanced_weighted_loss,raw_configured_gradient_l2,balanced_gradient_l2,gradient_over_base,cosine_vs_base,t_low_mean,t_high_mean
1,base,0.2260577231645584,0.2260577231645584,1.0,0.2260577231645584,0.6455872034179182,0.6455872034179182,1.0,1.0,0.2572062611579895,0.7946456074714661
1,atomic_tcl,2.3748972415924072,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,position_tcl,0.3172781467437744,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,position_anchor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
1,cell_anchor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.2572062611579895,0.7946456074714661
25,base,0.23903566598892212,0.23903566598892212,1.0,0.23903566598892212,0.2572981735464804,0.2572981735464804,1.0,1.0,0.2726503014564514,0.758704662322998
25,atomic_tcl,1.7869281768798828,0.014439824037253857,1.0,0.014439824037253857,0.016977956667576056,0.016977956667576056,0.06598553123622941,0.4335125388117249,0.2726503014564514,0.758704662322998
25,position_tcl,0.3032380938529968,0.0024504088796675205,1.0,0.0024504088796675205,0.0023200246007836875,0.0023200246007836875,0.009016871627207955,0.9013550117572798,0.2726503014564514,0.758704662322998
25,position_anchor,0.002087244763970375,2.7093603421235457e-05,1.0,2.7093603421235457e-05,0.001384547023889559,0.001384547023889559,0.0053810993090452055,-0.31103852739776955,0.2726503014564514,0.758704662322998
25,cell_anchor,0.0002140263095498085,1.7434211940781097e-06,1.0,1.7434211940781097e-06,0.0001500759532282372,0.0001500759532282372,0.0005832764032470922,-0.136697644545492,0.2726503014564514,0.758704662322998
50,base,0.32835909724235535,0.32835909724235535,1.0,0.32835909724235535,0.17991144725094493,0.17991144725094493,1.0,1.0,0.2230817675590515,0.735301673412323
50,atomic_tcl,1.6462763547897339,0.02716078795492649,1.0,0.02716078795492649,0.026183437381960547,0.026183437381960547,0.14553513843640667,0.48457692883342984,0.2230817675590515,0.735301673412323
50,position_tcl,0.5582890510559082,0.009210829623043537,1.0,0.009210829623043537,0.002237835295521348,0.002237835295521348,0.012438537567873376,0.6052890295130354,0.2230817675590515,0.735301673412323
50,position_anchor,0.0009316504001617432,2.5481873308308423e-05,1.0,2.5481873308308423e-05,0.0008746896821694443,0.0008746896821694443,0.004861778922546299,-0.3362163144617284,0.2230817675590515,0.735301673412323
50,cell_anchor,0.00022879250172991306,5.3165617828199174e-06,1.0,5.3165617828199174e-06,0.0008794299607495257,0.0008794299607495257,0.004888126765624174,-0.11079627537880254,0.2230817675590515,0.735301673412323
