comparison,field,stage,n,rms_diff_mean,relative_l2_diff_mean,relative_l2_diff_median,cosine_to_c0_mean,c0_rms_mean,candidate_rms_mean
GBSA-TCL_vs_C0,atomic_numbers,early_0_30,192,1.327175037181179,0.10865332599716708,0.1087923469279176,0.9950368036425375,12.558609770786385,11.963756265558375
GBSA-TCL_vs_C0,atomic_numbers,late_70_100,192,0.6043592620896975,0.05274979230388339,0.052274212027117205,0.9986755854301433,11.601355743720076,11.596257274804694
GBSA-TCL_vs_C0,atomic_numbers,mid_30_70,256,0.9002403120790335,0.07425953023325615,0.0652029090785415,0.99736377298104,12.486234075767811,12.357762123827817
GBSA-TCL_vs_C0,cell,early_0_30,192,0.010960205920354557,0.01175632275388129,0.01002418988985876,0.9999193333864898,0.9607179486064967,0.9608247609536299
GBSA-TCL_vs_C0,cell,late_70_100,192,0.031053331890106017,0.03711339350478058,0.025857899980335122,0.9991072114874967,0.9221759830184686,0.9344632923781401
GBSA-TCL_vs_C0,cell,mid_30_70,256,0.025130711773882094,0.02966983399833911,0.021083444737278505,0.9993649789109462,0.9482187882779644,0.9544370264933753
GBSA-TCL_vs_C0,pos,early_0_30,192,0.001283203898151328,0.4912168267897379,0.33965631665487017,0.8955136659026547,0.006249756256051141,0.006879770977068143
GBSA-TCL_vs_C0,pos,late_70_100,192,0.04685484223818256,0.05106541267268977,0.04658117855002021,0.9987582649577766,0.9239354596111248,0.9441991960971041
GBSA-TCL_vs_C0,pos,mid_30_70,256,0.06099159576606485,0.21802016943202962,0.1490365179116795,0.9892695411967275,0.5452147182527418,0.5814305539571986
TCL_vs_C0,atomic_numbers,early_0_30,192,2.881699123916015,0.22563221182147472,0.2236479746270031,0.975423883411529,12.558609770786385,12.063770195772817
TCL_vs_C0,atomic_numbers,late_70_100,192,1.7008412821577261,0.14798141264814638,0.13799623090194696,0.9925148372593678,11.601355743720076,12.185970997764484
TCL_vs_C0,atomic_numbers,mid_30_70,256,2.321064593625034,0.18567229579030264,0.1841068631059819,0.9848809413917751,12.486234075767811,12.170878346371108
TCL_vs_C0,cell,early_0_30,192,0.05975829900476041,0.06673779428718818,0.04982788074038753,0.9969135274810742,0.9607179486064967,0.949801241621696
TCL_vs_C0,cell,late_70_100,192,0.09486084285979657,0.1103020328002902,0.08579269872439246,0.9920243990118123,0.9221759830184686,0.9183292065810562
TCL_vs_C0,cell,mid_30_70,256,0.07956460053632787,0.09057535025193764,0.0674431570889609,0.994675810439173,0.9482187882779644,0.9375059378619321
TCL_vs_C0,pos,early_0_30,192,0.005814839018053762,2.083454299381985,1.9414609619855385,0.45326425109486596,0.006249756256051141,0.007163757586967856
TCL_vs_C0,pos,late_70_100,192,0.1856611498450094,0.2022971392811126,0.18938113684297753,0.9721356700866893,0.9239354596111248,0.8855107881256125
TCL_vs_C0,pos,mid_30_70,256,0.15045893664513074,0.6342963035074134,0.3923697913286449,0.9256166760985355,0.5452147182527418,0.5500334632790831
