comparison,source_method,seed,field,sampling_progress,forward_diffusion_t,stage,rms_diff,relative_l2_diff,cosine_to_c0,c0_rms,candidate_rms
TCL_vs_C0,C0,85000,atomic_numbers,0.05,0.95,early_0_30,5.017026255127971,0.4299843560102014,0.9041070757705563,11.667927414105598,11.10816144648402
TCL_vs_C0,C0,85000,pos,0.05,0.95,early_0_30,0.00432059757354044,0.8098741413522749,0.67444926465596,0.0053349000207935865,0.005373751212816879
TCL_vs_C0,C0,85000,cell,0.05,0.95,early_0_30,0.023527365194728672,0.035745865548513577,0.9993726684003109,0.6581842356788872,0.6609618156350374
TCL_vs_C0,C0,85001,atomic_numbers,0.05,0.95,early_0_30,2.3064148269988802,0.2036988888107771,0.9793036132252634,11.32266769084532,10.827956228964878
TCL_vs_C0,C0,85001,pos,0.05,0.95,early_0_30,0.00801626370838826,0.44971452343558,0.8950633601374125,0.01782522754023656,0.014918148277442617
TCL_vs_C0,C0,85001,cell,0.05,0.95,early_0_30,0.07521154595168349,0.06771347678941146,0.9983322411316723,1.1107323020141318,1.0695722052886718
TCL_vs_C0,C0,85002,atomic_numbers,0.05,0.95,early_0_30,4.112675370476075,0.23042514640805167,0.9766146684021756,17.84820552177532,15.951251669209826
TCL_vs_C0,C0,85002,pos,0.05,0.95,early_0_30,0.004301299798119773,0.7613959102517659,0.6752951979888814,0.005649228923094016,0.004882994959478817
TCL_vs_C0,C0,85002,cell,0.05,0.95,early_0_30,0.054125207302114856,0.06046521344854201,0.9983345318030503,0.895146220697249,0.8774465755541064
TCL_vs_C0,C0,85003,atomic_numbers,0.05,0.95,early_0_30,3.5485994487502883,0.21095896160185706,0.9801794979336048,16.82127851694473,15.268412976700306
TCL_vs_C0,C0,85003,pos,0.05,0.95,early_0_30,0.00522376585841259,0.6003429390178909,0.8422717376646872,0.008701303070138909,0.009628267625796438
TCL_vs_C0,C0,85003,cell,0.05,0.95,early_0_30,0.03959241175961379,0.0493913454541526,0.9991343976045012,0.801606261088096,0.7795672308406257
TCL_vs_C0,C0,85004,atomic_numbers,0.05,0.95,early_0_30,2.2153248188889023,0.20039635101933453,0.9801756231652357,11.05471635396776,11.167748014550442
TCL_vs_C0,C0,85004,pos,0.05,0.95,early_0_30,0.005818386066432668,0.3577832650216622,0.9488980019638228,0.01626232033541421,0.012689922809202479
TCL_vs_C0,C0,85004,cell,0.05,0.95,early_0_30,0.05399023252455474,0.04348886277927975,0.9994284728381528,1.2414726225096502,1.2067967613843926
TCL_vs_C0,C0,85005,atomic_numbers,0.05,0.95,early_0_30,3.915532868600099,0.2983782115351578,0.9577101970311196,13.122717132912147,11.531283099784659
TCL_vs_C0,C0,85005,pos,0.05,0.95,early_0_30,0.003271004953561272,0.48670351560099967,0.8790409469896112,0.006720734181511127,0.005249535637688169
TCL_vs_C0,C0,85005,cell,0.05,0.95,early_0_30,0.03174721728993795,0.05141699476164555,0.9992286937947222,0.6174459910990316,0.5964756606623551
TCL_vs_C0,C0,85006,atomic_numbers,0.05,0.95,early_0_30,1.9355949076044596,0.16989655788644686,0.9854708544937968,11.392784713732368,11.27511435814597
TCL_vs_C0,C0,85006,pos,0.05,0.95,early_0_30,0.008963235942563267,0.5384078086392797,0.8747560177343986,0.016647670778059648,0.010655549362428846
TCL_vs_C0,C0,85006,cell,0.05,0.95,early_0_30,0.04011144700784098,0.04599356441812908,0.9990177467640435,0.8721099900670108,0.8605059923615767
TCL_vs_C0,C0,85007,atomic_numbers,0.05,0.95,early_0_30,2.8379501260823567,0.25416384286419147,0.9720049792517153,11.165829466934726,11.93540248202191
TCL_vs_C0,C0,85007,pos,0.05,0.95,early_0_30,0.01686467461682271,0.6832116575172843,0.8008006621922109,0.02468440699344486,0.011652917392331335
TCL_vs_C0,C0,85007,cell,0.05,0.95,early_0_30,0.1468113644541514,0.09742012713573933,0.9960664904790884,1.5069921254526113,1.4400519313745332
TCL_vs_C0,C0,85008,atomic_numbers,0.05,0.95,early_0_30,2.816827627316101,0.22878660116936486,0.9748992044226237,12.312030568743296,11.354790194462286
TCL_vs_C0,C0,85008,pos,0.05,0.95,early_0_30,0.0045906856793605,0.5658849636446228,0.8328284423698894,0.008112400884084034,0.007710230546417542
TCL_vs_C0,C0,85008,cell,0.05,0.95,early_0_30,0.04144601917453324,0.027716570247125774,0.9996171531007808,1.4953516544432919,1.497218484966278
TCL_vs_C0,C0,85009,atomic_numbers,0.05,0.95,early_0_30,1.9355302090120634,0.17757095326458022,0.9850487546433951,10.90003839833043,11.206213343688757
TCL_vs_C0,C0,85009,pos,0.05,0.95,early_0_30,0.006913271951963819,0.4049376309332294,0.9322898856483649,0.017072436404666366,0.012808576849925112
TCL_vs_C0,C0,85009,cell,0.05,0.95,early_0_30,0.05405870082309909,0.039470003999743555,0.9992926684199989,1.369614779452526,1.385065305506821
TCL_vs_C0,C0,85010,atomic_numbers,0.05,0.95,early_0_30,1.7059751146766593,0.15164762833401246,0.9884560323258826,11.249599703063952,11.192927163856616
TCL_vs_C0,C0,85010,pos,0.05,0.95,early_0_30,0.006833713291324238,0.2506937969099086,0.9719410555652493,0.02725920375995605,0.02413098119723698
TCL_vs_C0,C0,85010,cell,0.05,0.95,early_0_30,0.15790000904631507,0.20649330127036103,0.9784860855315161,0.7646737597534802,0.7416223409897177
TCL_vs_C0,C0,85011,atomic_numbers,0.05,0.95,early_0_30,2.1865294113579,0.19716759043996565,0.9804306424081699,11.0896999171051,10.751553205726529
TCL_vs_C0,C0,85011,pos,0.05,0.95,early_0_30,0.008460633585200439,0.5274379100579171,0.9300864149554128,0.016041003924559368,0.008848227895252702
TCL_vs_C0,C0,85011,cell,0.05,0.95,early_0_30,0.02319740439759318,0.024482268818064652,0.9997075202883943,0.9475185723177986,0.9436324527449317
TCL_vs_C0,C0,85012,atomic_numbers,0.05,0.95,early_0_30,2.864293361195473,0.23644720588369522,0.9721781173872068,12.113881195975628,12.167055063742072
TCL_vs_C0,C0,85012,pos,0.05,0.95,early_0_30,0.0058735201962233086,0.5866753758111919,0.8180191682390615,0.010011533530109445,0.009346093068165544
TCL_vs_C0,C0,85012,cell,0.05,0.95,early_0_30,0.039915851271918164,0.02922442935243618,0.9996073611916213,1.3658385178559778,1.3539613495804697
TCL_vs_C0,C0,85013,atomic_numbers,0.05,0.95,early_0_30,2.0361094606670465,0.18067793172578198,0.9838180750584613,11.269275894508713,10.824432724299722
TCL_vs_C0,C0,85013,pos,0.05,0.95,early_0_30,0.008126922412871863,0.5197758109096536,0.919299295942849,0.015635437898983855,0.00906500511713033
TCL_vs_C0,C0,85013,cell,0.05,0.95,early_0_30,0.051361760891346545,0.04685712460790092,0.9989919975651804,1.0961355678808784,1.080299914691328
TCL_vs_C0,C0,85014,atomic_numbers,0.05,0.95,early_0_30,2.6554974995706813,0.21692658596102488,0.9763664635256815,12.241457116961188,11.72358514391457
TCL_vs_C0,C0,85014,pos,0.05,0.95,early_0_30,0.004655442027299672,0.4924905696839868,0.8891428230104708,0.009452855168956633,0.006684572682470471
TCL_vs_C0,C0,85014,cell,0.05,0.95,early_0_30,0.021408140491955753,0.03114710078997768,0.9996467924316859,0.6873236978397788,0.698245476928203
TCL_vs_C0,C0,85015,atomic_numbers,0.05,0.95,early_0_30,2.2509499400140074,0.19614974651836592,0.9806538966497597,11.475670909435744,11.397354058315159
TCL_vs_C0,C0,85015,pos,0.05,0.95,early_0_30,0.006563799733032371,0.3941770105071109,0.9272933517943875,0.01665190906133264,0.013384948251429203
TCL_vs_C0,C0,85015,cell,0.05,0.95,early_0_30,0.05422467402339431,0.08741869392824382,0.9963219577149124,0.6202869384882794,0.6072712800235897
TCL_vs_C0,C0,85016,atomic_numbers,0.05,0.95,early_0_30,1.7858641654417515,0.16421889954389907,0.9867739414706165,10.874900333651022,11.01686481165509
TCL_vs_C0,C0,85016,pos,0.05,0.95,early_0_30,0.005770268123764376,0.3696161206316356,0.9341408296123458,0.015611516385983343,0.013083091702946964
TCL_vs_C0,C0,85016,cell,0.05,0.95,early_0_30,0.0498551167392468,0.1114006921426225,0.9942563445159152,0.44752968568111756,0.4587950119750199
TCL_vs_C0,C0,85017,atomic_numbers,0.05,0.95,early_0_30,3.411749197885789,0.28665996155147333,0.9585508888662949,11.901729070989113,11.033227115106808
