method,n,generation_success_count,generation_success_rate,mattersim_success_count,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,rmsd_mean_angstrom,rmsd_median_angstrom,rmsd_p95_angstrom,rmsd_max_angstrom,atomic_force_mean_mean_ev_per_angstrom,atomic_force_mean_median_ev_per_angstrom,atomic_force_mean_p95_ev_per_angstrom,atomic_force_mean_max_ev_per_angstrom,stable_count,stable_rate,nus_count,nus_rate,novel_count,novel_rate,unique_count,unique_rate,structure_max_force_mean_ev_per_angstrom,structure_max_force_median_ev_per_angstrom,structure_max_force_p95_ev_per_angstrom,structure_max_force_p99_ev_per_angstrom,structure_max_force_max_ev_per_angstrom,structure_max_force_gt1_count,structure_max_force_gt2_count,relaxation_steps_mean,relaxation_steps_median,relaxation_steps_p95,relaxation_steps_max,relaxation_steps_gt200_count,relaxation_steps_gt400_count,rmsd_gt0p5_count,generation_seconds_mean
C0,32,32,1.0,32,1.0,False,0.13957895281241792,0.11627316498754459,0.37846195955898027,0.7026949363895101,0.08799352581280293,0.026248422102858215,0.47445050222805174,0.8311573763180503,0.127401024241208,0.11072585111136438,0.276175261872224,0.4915016781901522,14,0.4375,7,0.21875,24,0.75,32,1.0,0.24620737989911634,0.18242576257281953,0.671497595834863,0.9943388436306305,1.0898020799515615,1,0,58.34375,26.5,244.84999999999997,443,3,1,2,117.34615541739913
FT0,32,32,1.0,32,1.0,False,0.14815414895341553,0.1577202962033155,0.2598409252593394,0.31354139576755635,0.09892997660800593,0.0373526061171572,0.41385520097061085,0.5160412652156856,0.26841336825000317,0.23637312686453907,0.5627836718789202,0.7103764987718397,12,0.375,6,0.1875,25,0.78125,32,1.0,0.5216360759660874,0.4371245333874464,1.087042785801064,1.341151947720687,1.4286614649048048,5,0,86.75,43.0,278.9,706,3,1,1,116.92324472702603
TCL,32,32,1.0,32,1.0,False,0.10304255454993291,0.09627358893432669,0.21275433671007443,0.538297536175044,0.06663240307176228,0.025302261208855308,0.18134338204908335,0.6282654008615938,0.16554427348669398,0.09843048728038475,0.5025375130674907,0.6217349468467601,16,0.5,10,0.3125,25,0.78125,32,1.0,0.354639547645824,0.1711744069904912,1.0802313566549462,1.6636996419538312,1.8889070981360492,3,0,58.59375,42.5,183.8999999999999,338,2,0,1,115.8486144179551
GBSA-TCL,32,32,1.0,32,1.0,False,0.11865513209697015,0.0802814838978132,0.3461808198039464,0.5809197429270565,0.04411394727590728,0.033078533877689144,0.10524348469008225,0.3355601417528636,0.17952128622274477,0.07490261330930978,0.3064418981768038,3.046884414318734,19,0.59375,15,0.46875,27,0.84375,32,1.0,0.39111680979955327,0.14660286778751228,0.8007386328381711,4.732783361157246,6.342232233031367,2,1,36.875,27.0,79.69999999999999,214,1,0,0,116.8312652059758
