epoch,train_normalized_loss,pos_mse,pos_cosine,cell_mse,cell_cosine,atomic_numbers_mse,atomic_numbers_cosine
1,0.9134768071472645,2161.245833142693,0.36369799944865927,7.633037610047394,0.23047796936044068,3.5824916497497767,0.199218088095491
2,0.9018897930085659,2158.128105078069,0.36464918410469066,7.663791248366237,0.22420199999906332,3.6056654078171544,0.2046798496976596
3,0.9005710775852204,2210.1917042837513,0.36555612523448405,7.52725049855974,0.26232136087004015,3.741035327283353,0.12993604522971514
4,0.892312807649374,2176.2914492599207,0.3658296660025941,7.70860997487439,0.2092450607136979,3.492129739535176,0.25127536145319157
5,0.8994815516471862,2178.0251330275423,0.3674657989713738,7.628788623982006,0.22418453752216705,3.4898293701354572,0.2469639044339505
6,0.8818145789206028,2147.9572394646934,0.37145845840271113,7.507154672265052,0.26189129930764715,3.62111307121767,0.17550620405744252
7,0.8832220965027809,2148.1245635812006,0.3743723412848678,7.3526587077743475,0.2963996184983981,3.6119358025958617,0.23592489844004577
8,0.8730745321810246,2139.3468242205245,0.3769668270523867,7.583445832977692,0.2449457744733616,4.275922520317132,0.21117977019911716
9,0.8977250816524028,2147.2680795375027,0.3764991962718736,7.517672825276851,0.25858320184020395,3.4333204322374007,0.27810761245107185
10,0.886791068047285,2160.861516204124,0.3690131617969945,7.686058300306399,0.211280955607967,3.4805289676674165,0.2564532505720465
11,0.8731736446917057,2126.792536570734,0.38109784912408995,7.954627753605445,0.127400691580993,3.4764781484865193,0.24781712249855595
12,0.8727534780204296,2184.3535608891034,0.37463286600378226,7.7527605875266925,0.1871776100651345,3.7851054390686163,0.11886180524127819
