candidate,high_quality_low_force_weight,middle_weight,low_quality_high_force_weight,contrast_fraction_vs_original,steps,batch_size,learning_rate,replay_fraction,anchor_lambda,trainable_params,all_losses_finite,zero_init_passed,frozen_parameters_unchanged,adapter_gradient_parameter_count,frozen_gradient_parameter_count,first_20_train_loss_mean,last_20_train_loss_mean,validation_loss_step_1,validation_loss_step_200,best_recorded_validation_loss,elapsed_seconds,peak_cuda_memory_mb,checkpoint_sha256
M2-L1,1.125,1.0,0.875,0.5,200,16,0.0003,0.5,0.05,134272,True,True,True,12,0,0.2780791260302067,0.2833026073873043,0.3195970803499222,0.3278725892305374,0.232786625623703,17.173321136040613,1199.6474609375,76eecaf64ccf81c08fa34839366ee352b63704434c023f15d5cd04acf7222693
M2-L2,1.075,1.0,0.925,0.2999999999999998,200,16,0.0003,0.5,0.05,134272,True,True,True,12,0,0.2788588970899582,0.28283791691064836,0.3192593902349472,0.3331854343414306,0.2327324673533439,17.76071870001033,1199.6474609375,83421ca821f44baee339cb08ddbb8b3c77be4bb97952001e8be1e491d858dcb2
