stage,comparison,metric,preferred_direction,n_pairs,reference_mean,candidate_mean,mean_delta_candidate_minus_reference,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max
screen16_exploratory,M2-L2-C0,novel,higher,16,0.9375,0.6875,-0.25,0.0,-0.5,-0.0625,20000,0,4,12,-0.26666666666666666,-0.2
screen16_exploratory,M2-L2-C0,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L2-C0,rmsd_a,lower,16,0.04693742969480348,0.02658747194312918,-0.02034995775167429,0.0013942664176909768,-0.05841907793237814,0.010258483946074834,20000,8,8,0,-0.028247104653877697,-0.004902793393951174
screen16_exploratory,M2-L2-C0,structure_force_mean_ev_per_a,lower,16,0.20638892525823063,0.07718544590282561,-0.12920347935540502,-0.04183348356178927,-0.2515346259521415,-0.03323569025720864,20000,12,4,0,-0.14301666604260654,-0.08138764253615302
screen16_exploratory,M2-L2-C0,structure_max_force_ev_per_a,lower,16,0.4382357448724925,0.1546310404112426,-0.28360470446124986,-0.11037793876776851,-0.5407215642626091,-0.07297665457769927,20000,12,4,0,-0.31897381969690936,-0.19200513570519356
screen16_exploratory,M2-L2-M1,e_hull_ev_per_atom,lower,16,0.12825867833440652,0.10084573964550486,-0.027412938688901656,0.01269136276936944,-0.083376559567198,0.024587183967493,20000,6,9,1,-0.03763568157834734,-0.01434108628144326
screen16_exploratory,M2-L2-M1,stable,higher,16,0.4375,0.5625,0.125,0.0,-0.1875,0.4375,20000,4,2,10,0.06666666666666667,0.2
screen16_exploratory,M2-L2-M1,nus,higher,16,0.25,0.25,0.0,0.0,-0.3125,0.3125,20000,3,3,10,-0.06666666666666667,0.06666666666666667
screen16_exploratory,M2-L2-M1,novel,higher,16,0.8125,0.6875,-0.125,0.0,-0.375,0.125,20000,1,3,12,-0.2,-0.06666666666666667
screen16_exploratory,M2-L2-M1,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L2-M1,rmsd_a,lower,16,0.09044609194725242,0.02658747194312918,-0.06385862000412325,-0.012158554324179244,-0.18689598712768987,0.009135173234429094,20000,12,4,0,-0.07663508880659799,-0.006964452779439046
screen16_exploratory,M2-L2-M1,structure_force_mean_ev_per_a,lower,16,0.3725059749140993,0.07718544590282561,-0.2953205290112737,-0.07059617633578594,-0.7168755776389866,-0.05008639805499384,20000,13,3,0,-0.32120100299092896,-0.0976302345999081
screen16_exploratory,M2-L2-M1,structure_max_force_ev_per_a,lower,16,1.1775406343829085,0.1546310404112426,-1.0229095939716655,-0.16461236440099586,-2.664603780688532,-0.10606490892582864,20000,12,4,0,-1.1172910638779032,-0.23726431095778236
screen16_exploratory,M2-L2-M2,e_hull_ev_per_atom,lower,16,0.13427183927841302,0.10084573964550486,-0.03342609963290816,-0.0008565154193767022,-0.08925102886290666,0.017806022488525208,20000,8,8,0,-0.045424921263578534,-0.01642191544897358
screen16_exploratory,M2-L2-M2,stable,higher,16,0.4375,0.5625,0.125,0.0,-0.1875,0.4375,20000,4,2,10,0.06666666666666667,0.2
screen16_exploratory,M2-L2-M2,nus,higher,16,0.125,0.25,0.125,0.0,-0.125,0.375,20000,3,1,12,0.06666666666666667,0.2
screen16_exploratory,M2-L2-M2,novel,higher,16,0.625,0.6875,0.0625,0.0,-0.1875,0.3125,20000,3,2,11,0.0,0.13333333333333333
screen16_exploratory,M2-L2-M2,unique,higher,16,1.0,1.0,0.0,0.0,0.0,0.0,20000,0,0,16,0.0,0.0
screen16_exploratory,M2-L2-M2,rmsd_a,lower,16,0.06941626971936912,0.02658747194312918,-0.042828797776239935,-0.004305055102228272,-0.12847348514296764,0.013673126172167437,20000,11,5,0,-0.05567299095121979,-0.0054054383241810035
screen16_exploratory,M2-L2-M2,structure_force_mean_ev_per_a,lower,16,0.14378964249808812,0.07718544590282561,-0.06660419659526252,-0.03427712958701171,-0.13565896590397294,-0.006008405228709584,20000,12,4,0,-0.07763402636737103,-0.042943787981684065
screen16_exploratory,M2-L2-M2,structure_max_force_ev_per_a,lower,16,0.2867053347348874,0.1546310404112426,-0.1320742943236448,-0.07376281330926383,-0.27400418520475345,-0.005362603911433984,20000,12,4,0,-0.16445189502601446,-0.08477196268108524
