stage,method,n,generation_success_rate,mattersim_success_rate,dft_verified,e_hull_mean_ev_per_atom,e_hull_median_ev_per_atom,e_hull_p95_ev_per_atom,e_hull_max_ev_per_atom,stable,nus,novel,unique,rmsd_mean_a,rmsd_median_a,rmsd_p95_a,rmsd_max_a,atomic_force_mean_ev_per_a,atomic_force_p95_ev_per_a,structure_force_mean_ev_per_a,structure_max_force_mean_ev_per_a,structure_max_force_p95_ev_per_a,force_max_ev_per_a,relaxation_steps_mean,relaxation_steps_max,composition_family_count,unique_reduced_formula_count,unique_element_count,atom_count_unique_count,atom_count_mean,element_jsd_vs_M1,family_jsd_vs_M1,formula_jsd_vs_M1,atom_count_jsd_vs_M1,element_jsd_vs_M2,family_jsd_vs_M2,formula_jsd_vs_M2,atom_count_jsd_vs_M2,element_jsd_vs_C0,family_jsd_vs_C0,formula_jsd_vs_C0,atom_count_jsd_vs_C0
screen16,C0,16,1.0,1.0,False,0.12055695347912965,0.12515187591970323,0.22619773222690487,0.31449953772481365,0.375,0.3125,0.9375,1.0,0.04693742969480348,0.024984447432249784,0.13492181598203679,0.2536213565650556,0.2437776714011079,0.901409555434668,0.20638892525823063,0.4382357448724925,1.3537897465032684,1.7215428752831277,46.9375,141,16,16,27,9,10.9375,0.19153287381563794,0.5631820842049555,0.6498254817749487,0.0,0.1351869694577411,0.5035088809273168,0.6498254817749487,0.0,,,,
screen16,M1,16,1.0,1.0,False,0.12825867833440652,0.12872416614062665,0.2992397838720766,0.31213516316015344,0.4375,0.25,0.8125,1.0,0.09044609194725242,0.024395270920612125,0.3208191698931415,0.9967980138356884,0.5714480647923741,1.8708826125076403,0.3725059749140993,1.1775406343829085,4.295818696807422,13.262427491990358,50.9375,229,16,16,18,9,10.9375,,,,,0.14990050216584172,0.5035088809273168,0.6498254817749487,0.0,0.19153287381563794,0.5631820842049555,0.6498254817749487,0.0
screen16,M2,16,1.0,1.0,False,0.13427183927841302,0.1158473197260701,0.26245185690559913,0.3041264492239586,0.4375,0.125,0.625,1.0,0.06941626971936912,0.02582077699592707,0.2474924956126304,0.606804085013436,0.1779132291431514,0.5515352470536313,0.14378964249808812,0.2867053347348874,0.674862713448777,0.9886272231967346,58.5625,195,15,16,20,9,10.9375,0.14990050216584172,0.5035088809273168,0.6498254817749487,0.0,,,,,0.1351869694577411,0.5035088809273168,0.6498254817749487,0.0
screen16,M2-L1,16,1.0,1.0,False,0.11709558944903675,0.09674379067103533,0.29845642337947575,0.3197757934114591,0.5,0.375,0.875,1.0,0.10410208728889843,0.020859207994031757,0.4491310590891241,0.6321030401355698,0.28591897491829604,1.1702265568015258,0.18679853729999263,0.494639535922703,1.7239097813325976,4.197173494066482,106.375,631,16,16,21,9,10.9375,0.12927999147191374,0.5631820842049555,0.6498254817749487,0.0,0.0813077680067158,0.6065037829899521,0.6498254817749487,0.0,0.12305320698615244,0.5631820842049555,0.6065037829899521,0.0
screen16,M2-L2,16,1.0,1.0,False,0.10084573964550486,0.09270148563639369,0.225413124041435,0.23922328570480822,0.5625,0.25,0.6875,1.0,0.02658747194312918,0.00562361968915933,0.09981676041876984,0.16068638529117296,0.09645052728115587,0.28221067058594307,0.07718544590282561,0.1546310404112426,0.4660691336502641,0.49976057616972,33.75,147,14,16,19,9,10.9375,0.08058231320567794,0.5035088809273168,0.6065037829899521,0.0,0.12830765089198112,0.5468305797123134,0.6931471805599453,0.0,0.11949373958227336,0.5468305797123134,0.6498254817749487,0.0
