method,seed,formula,e_hull_ev_per_atom,stable,nus,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,outlier_flags,dft_verified
C0,82017,Eu5V2N5,0.16278973025535137,0.0,0.0,0.2420960725575714,0.26948353161663713,0.7488153629890285,232,steps_gt_200,False
C0,82023,Fe7P2O,1.1858802597353515,0.0,0.0,0.1577482109198289,0.48892635933586276,1.0492081174193262,58,max_force_gt_1,False
C0,82028,Al(FeO2)2,0.1958047323060823,0.0,0.0,0.06023432345139553,0.6485723507632163,1.0986528261923598,29,max_force_gt_1,False
C0,82034,Rb3Mn2O5,0.10998725479004268,0.0,0.0,0.35998587119378417,0.4320641464849454,1.049024548963935,437,max_force_gt_1;steps_gt_200;steps_gt_300;steps_gt_400,False
C0,82052,Tb(Mn2Al)2,0.1046354640899203,0.0,0.0,0.09657081368386793,0.7872163146599306,1.3623244670079435,21,max_force_gt_1,False
C0,82053,EuSeO3,0.36636604748046864,0.0,0.0,0.4816772098461661,0.6911662367777428,1.1137489288109863,378,max_force_gt_1;steps_gt_200;steps_gt_300,False
C0,82055,GdMnFeCo9,0.36965652671111204,0.0,0.0,0.0790631904860618,0.379530395629786,1.0429912410518503,90,max_force_gt_1,False
C0,82059,GdCo13(B2H)2,0.4316267091835835,0.0,0.0,0.13612483420103985,0.9273648210694534,2.427681892363548,138,max_force_gt_1;max_force_gt_2,False
FT0,82003,Mn5C3,0.2928070463128396,0.0,0.0,0.06847159499899154,0.618597789788712,1.17193400963745,56,max_force_gt_1,False
FT0,82010,Mn2C,0.15975235291685586,0.0,0.0,1.1203544429555818,0.3972896724567271,0.6239212785223983,270,rmsd_gt_0.5;steps_gt_200,False
FT0,82015,Mn8(SnC)3,0.20889584927564453,0.0,0.0,0.2736058888732483,0.5510609617618429,1.4213446629418258,202,max_force_gt_1;steps_gt_200,False
FT0,82026,MnC,0.5436925722201931,0.0,0.0,0.46685192038794737,2.12919626405905,8.320858092571548,325,max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300,False
FT0,82027,Mn3C,0.3531798364455234,0.0,0.0,0.373201669117843,2.5657093614802995,6.539559196602843,163,max_force_gt_1;max_force_gt_2,False
FT0,82032,Mn13PC6,0.21757489859553303,0.0,0.0,0.521789963970804,1.1684898764533878,3.1572993360077284,509,rmsd_gt_0.5;max_force_gt_1;max_force_gt_2;steps_gt_200;steps_gt_300;steps_gt_400,False
FT0,82047,Mn11FeC6,0.2506267145137002,0.0,0.0,0.38412358431238647,0.5865902304100213,1.1719032894705466,387,max_force_gt_1;steps_gt_200;steps_gt_300,False
FT0,82049,Mn9C7,0.2783057327284304,0.0,0.0,0.06430984483835353,0.6690774881771213,1.4662900399435208,65,max_force_gt_1,False
FT0,82050,Mn5C3,0.3162445463128396,0.0,0.0,0.22262799446310197,0.9744884771140092,1.4044788257539755,81,max_force_gt_1,False
FT0,82059,Mn4C,0.21018571980789602,0.0,0.0,0.13396172139289877,0.43123301931542757,1.36230883807118,154,max_force_gt_1,False
TCL,82025,Gd2BeZn(Si3Pt)2,0.3421412370325818,0.0,0.0,0.06350554802624879,0.5893947587042108,1.8676290518413314,78,max_force_gt_1,False
TCL,82030,Mn,0.2221840881844166,0.0,0.0,0.36155043419744476,0.33984780729512604,0.5811180652133948,582,steps_gt_200;steps_gt_300;steps_gt_400,False
TCL,82047,Ti2Mn7P8C,0.37299556985677285,0.0,0.0,0.24639639938018437,0.336938577454819,1.1151574842915664,220,max_force_gt_1;steps_gt_200,False
TCL,82055,GdMn3C2,0.18295425140865262,0.0,0.0,0.15451872971377892,1.7547096054452143,2.3284363690874295,85,max_force_gt_1;max_force_gt_2,False
