metric,unit,p0_delta,p0_direction,p1_delta,p1_ci95_low,p1_ci95_high,p1_direction,p2_delta,p2_ci95_low,p2_ci95_high,p2_direction,replicated
e_hull,eV/atom,-0.00953533169182052,down,-0.01779670026529,-0.0570594808827544,0.0219773323159144,down,-0.03821704654853675,-0.07480828212353095,-0.0034712782985146574,down,yes_all_three
stable,percentage_points,0.0,flat,28.125,9.375,46.875,up,14.0625,-3.125,31.25,up,yes_p1_to_p2_only
nus,percentage_points,25.0,up,21.875,6.25,37.5,up,23.4375,9.375,37.5,up,yes_all_three
novel,percentage_points,25.0,up,-9.375,-25.0,6.25,down,10.9375,-4.6875,26.5625,up,no_p1_to_p2
rmsd,angstrom,-0.019737251544580375,down,-0.0264042993311979,-0.1287752230178757,0.0697544161453654,down,-0.04798013416629672,-0.0963493178973409,-0.008923987629502398,down,yes_all_three
atomic_force_mean,eV/angstrom,-0.083695,down,-0.0928820763737956,-0.1733511143697969,-0.0068030500049368,down,-0.15312997199701517,-0.282441802426737,-0.04105242972365716,down,yes_all_three
structure_max_force,eV/angstrom,-0.242409,down,-0.1512213873702444,-0.3639514950914378,0.0824828063460045,down,-0.3960606812379783,-0.7709434162302284,-0.10454145862277528,down,yes_all_three
relaxation_steps,steps,-9.125,down,-22.15625,-59.03203125,5.46875,down,-23.375,-50.39140625,3.891015624999966,down,yes_all_three
